date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_0,15.0,-10.0,1.501452432824982,-1.1474200281100833,-3.7962924890451486,-5.120728719512681,5.0,5.0,5.0,-5.0,-25.0,-15.508351488743646,-12.562644205775166,-9.616936922806689,-8.144083281322448,-20.0,-20.0,-20.0
20220908_1,10.0,-5.0,1.4306872037914693,-1.2330265043489406,-3.8967402124893504,-5.228597066559555,5.0,5.0,5.0,-10.0,-20.0,-16.537322274881518,-14.00295287144447,-11.468583468007424,-10.2013987662889,-20.0,-20.0,-20.0
20220908_2,10.0,-5.0,1.6276978417266188,-0.962505071355728,-3.552707984438075,-4.8478094409792485,5.0,5.0,5.0,-10.0,-25.0,-16.636690647482013,-14.01757119657978,-11.398451745677548,-10.088892020226432,-20.0,-20.0,-20.0
20220909_1,10.0,-10.0,1.876737720111214,-0.7381878986102928,-3.3531135173318,-4.660576326692553,5.0,5.0,5.0,-10.0,-25.0,-16.582483781278963,-14.023869300607638,-11.465254819936312,-10.18594757960065,-20.0,-20.0,-20.0
20220909_2,10.0,-15.0,-2.845036319612591,-5.718116675531856,-8.59119703145112,-10.027737209410752,0.0,0.0,0.0,-10.0,-25.0,-20.84443099273608,-17.85575675625888,-14.867082519781682,-13.372745401543083,-25.0,-25.0,-25.0
20220913_0,20.0,-5.0,1.2509064539521393,-1.3662693638841488,-3.9834451817204366,-5.29203309063858,5.0,5.0,5.0,-10.0,-40.0,-16.14213197969543,-13.431824121759846,-10.72151626382426,-9.366362334856468,-20.0,-20.0,-20.0
20220913_1,15.0,-10.0,-0.0115942028985507,-3.5853434181794333,-7.159092633460316,-8.945967241100757,5.0,5.0,5.0,0.0,-30.0,-18.33623188405797,-15.078661758343609,-11.821091632629242,-10.19230656977206,-20.0,-25.0,-25.0
20220913_2,5.0,-10.0,-3.1591511936339525,-5.91536927873686,-8.671587363839766,-10.04969640639122,0.0,0.0,0.0,-15.0,-30.0,-21.3315649867374,-18.518589678159053,-15.705614369580704,-14.299126715291528,-25.0,-25.0,-25.0
20220914_0,115.0,-85.0,1.0207979626485568,-3.1780786892587405,-7.376955341166038,-9.476393667119687,5.0,5.0,5.0,80.0,-125.0,-18.24066213921901,-13.65681046111894,-9.072958783018864,-6.781032943968826,-25.0,-25.0,-25.0
20220914_1,15.0,-10.0,-0.1358695652173913,-3.2829568306908867,-6.430044096164383,-8.00358772890113,5.0,5.0,5.0,-5.0,-30.0,-17.529264214046822,-14.10121110781746,-10.6731580015881,-8.959131448473418,-20.0,-25.0,-25.0
20220914_2,10.0,-5.0,1.6637010676156585,-0.7768437753459205,-3.217388618307499,-4.4376610397882885,5.0,5.0,5.0,-10.0,-25.0,-16.743772241992882,-14.232496440865738,-11.721220639738592,-10.46558273917502,-20.0,-20.0,-20.0
20220915_0,360.0,-15.0,5.025881591717891,-2.594732791872513,-10.215347175462917,-14.02565436725812,10.0,10.0,10.0,320.0,-40.0,-12.74183112261404,-5.677907067694454,1.3860169872251331,4.917979014684928,-15.0,-20.0,-20.0
20220915_1,35.0,-15.0,-1.2579030558482611,-4.976195016010646,-8.69448697617303,-10.55363295625422,5.0,5.0,5.0,5.0,-35.0,-19.64831401475237,-15.787920921055342,-11.927527827358317,-9.9973312805098,-25.0,-25.0,-25.0
20220915_2,10.0,-15.0,1.9605861546235472,-0.9401063570972744,-3.840798868818096,-5.291145124678507,5.0,5.0,5.0,-5.0,-30.0,-16.950480040424456,-14.10005060796615,-11.249621175507842,-9.82440645927869,-20.0,-20.0,-20.0
