date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220915_0,65.0,12.0,33.04545454545455,25.948635863509512,18.85181718156448,15.30340784059196,38.30000000000001,51.0,51.0,31.0,-24.0,19.3133971291866,29.60273003493259,39.892062940678585,45.03672939355158,0.7000000000000028,-8.0,-8.0
20220916_0,151.0,24.0,28.469135802469136,22.54225539060229,16.61537497873544,13.651934772802017,31.0,32.0,32.0,29.0,-103.0,18.874485596707817,25.30177015927745,31.72905472184707,34.94269700313188,15.0,12.0,12.0
20220916_1,30.0,20.0,24.901785714285715,22.19390658199244,19.486027449699165,18.13208788355253,29.0,30.0,30.0,23.0,13.0,17.732142857142858,20.538127911192884,23.344112965242907,24.74710549226792,14.0,14.0,14.0
20220916_2,24.0,18.0,21.12035010940919,19.737195863987417,18.35404161856564,17.662464495854753,23.0,23.19999999999999,23.19999999999999,19.0,13.0,14.446389496717725,15.51111141769627,16.575833338674816,17.10819429916409,13.0,13.0,13.0
20220919_0,34.0,25.0,29.557911908646,27.68830894528901,25.818705981932016,24.88390450025352,32.0,32.0,32.0,26.0,17.0,21.31810766721044,23.068443304909103,24.818778942607764,25.69394676145709,19.0,19.0,19.0
20220919_1,37.0,25.0,32.537373737373734,30.75290487489077,28.968436012407807,28.076201581166327,34.0,36.0,36.0,31.0,20.0,25.692929292929293,28.22264149613004,30.75235369933079,32.01720980093117,22.0,21.700000000000003,21.70000000000002
20220919_2,37.0,28.0,32.42535211267606,30.970988106038785,29.51662409940151,28.78944209608288,34.0,34.0,34.0,31.0,22.0,26.04225352112676,28.04956093228483,30.056868343442904,31.06052204902194,23.0,23.0,23.0
20220920_0,39.0,13.0,20.407239819004523,17.611593368513464,14.815946918022409,13.418123692776875,24.0,26.0,26.0,26.0,4.0,13.160633484162895,15.66667834056065,18.1727231969584,19.42574562515728,11.0,10.0,10.0
20220920_1,30.0,22.0,25.63220675944334,23.435252035114445,21.23829731078555,20.139819948621103,28.80000000000001,29.0,29.0,24.0,14.0,18.773359840954274,21.050110085717503,23.32686033048073,24.465235452862352,16.0,16.0,16.0
20220920_2,26.0,18.0,21.69767441860465,19.776926655794103,17.85617889298355,16.895805011578275,25.0,25.0,25.0,20.0,12.0,15.088372093023256,16.63985221981663,18.19133234661,18.967072410006683,14.0,13.0,13.0
20220921_0,29.0,15.0,21.996336996337,18.56844474695385,15.140552497570702,13.42660637287913,27.0,28.0,28.0,24.0,7.0,13.908424908424909,17.418154829663713,20.92788475090252,22.68274971152192,11.0,10.0,10.0
20220921_1,25.0,15.0,20.383838383838384,18.646205693436432,16.908573003034483,16.039756657833507,23.0,23.0,23.0,16.0,8.0,11.835016835016836,13.321227568301184,14.807438301585533,15.550543668227707,10.0,10.0,10.0
20220921_2,24.0,17.0,20.1,18.52357579674492,16.947151593489846,16.158939491862306,23.0,23.0,23.0,18.0,9.0,13.312903225806451,14.544431320051611,15.775959414296777,16.391723461419357,12.0,12.0,12.0
20220922_0,64.0,19.0,26.298657718120804,24.374534464248644,22.450411210376483,21.488349583440403,27.0,28.0,28.0,23.0,5.0,18.835570469798657,20.614950923795966,22.39433137779328,23.28402160479193,17.0,16.0,16.0
20220922_1,29.0,17.0,25.226987447698743,21.98141152629092,18.7358356048831,17.11304764417919,29.0,29.0,29.0,24.0,9.0,18.10355648535565,21.66700500450655,25.230453523657445,27.012177783232893,11.0,11.0,11.0
20220922_2,30.0,21.0,25.28488372093023,23.508720368459148,21.732557015988064,20.84447533975252,28.0,28.0,28.0,24.0,17.0,19.694767441860463,21.36158524186504,23.02840304186961,23.86181194187189,18.0,18.0,18.0
20220923_0,26.0,26.0,26.0,,,,26.0,26.0,26.0,18.0,18.0,18.0,,,,18.0,18.0,18.0
20220923_1,31.0,22.0,27.752525252525253,25.62877327812452,23.505021303723783,22.443145316523413,30.0,30.0,30.0,26.0,15.0,22.45117845117845,25.4802907591838,28.509403067189147,30.02395922119182,18.0,17.0,17.0
