date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20230220_1,6.39990234375,-4.599853515625,-2.0328751040850315,-2.906315834398538,-3.779756564712044,-4.216476929868797,-1.39990234375,-1.0,-1.0,1.0,-14.199951171875,-4.4043403151939655,-3.6548064294121705,-2.9052725436303755,-2.5305056007394784,-5.199951171875,-5.60009765625,-5.60009765625
20230220_2,2.19970703125,-4.39990234375,-1.8379439341871044,-2.478891190257991,-3.119838446328878,-3.4403120743643214,-1.0,-0.7998046875,-0.7998046875,-1.2001953125,-7.19970703125,-4.037018122719981,-3.4079427254405203,-2.77886732816106,-2.4643296295213304,-4.80029296875,-5.0,-5.0
20230221_1,1.0,-6.7998046875,-2.6569104037534435,-3.216459593837456,-3.776008783921468,-4.055783378963474,-2.0,-1.7998046875,-1.7998046875,-2.39990234375,-11.0,-4.994001861656336,-4.44179137001764,-3.889580878378944,-3.613475632559594,-5.60009765625,-6.0,-6.0
20230221_2,1.39990234375,-4.7998046875,-2.512440477354505,-3.0746149073234594,-3.636789337292413,-3.91787655227689,-1.80029296875,-1.60009765625,-1.60009765625,-1.60009765625,-7.80029296875,-4.768250657560231,-4.195601298015333,-3.6229519384704334,-3.3366272586979857,-5.400390625,-5.7998046875,-5.7998046875
20230222_1,-0.39990234375,-6.39990234375,-3.2739375650424174,-3.867801341129727,-4.461665117217036,-4.7585970052606905,-2.599609375,-2.39990234375,-2.39990234375,-1.7998046875,-13.39990234375,-5.37722927225768,-4.768982890188934,-4.160736508120188,-3.8566133170858152,-6.0,-6.39990234375,-6.39990234375
20230222_2,-1.60009765625,-6.0,-3.6676225280168224,-4.187904421179055,-4.708186314341287,-4.968327260922403,-3.0,-2.7998779296875,-2.7998779296875,-3.60009765625,-11.39990234375,-5.592175525619287,-5.070335266142956,-4.548495006666624,-4.287574876928458,-6.2001953125,-6.39990234375,-6.39990234375
20230223_1,0.7998046875,-6.19970703125,-3.4211323960112807,-3.946154803533322,-4.471177211055363,-4.733688414816385,-2.7998046875,-2.60009765625,-2.60009765625,-3.0,-12.39990234375,-5.464181970134307,-4.961305198365514,-4.458428426596719,-4.206990040712323,-6.0,-6.2001953125,-6.2001953125
20230223_2,-1.7998046875,-5.80029296875,-3.801927981105352,-4.282983081398491,-4.764038181691631,-5.004565731838201,-3.2001953125,-3.0,-3.0,-3.60009765625,-8.60009765625,-5.906880386632112,-5.394496958181679,-4.882113529731245,-4.625921815506029,-6.599853515625,-6.7998046875,-6.7998046875
20230224_1,1.7998046875,-9.0,-4.712913497866942,-5.440929829269692,-6.1689461606724425,-6.532954326373817,-3.800048828125,-3.60009765625,-3.60009765625,-3.400146484375,-10.0,-6.780347447562319,-6.1794181766115335,-5.578488905660748,-5.278024270185355,-7.599853515625,-7.800048828125,-7.800048828125
20230224_2,1.2001953125,-5.400146484375,-3.5742943940232754,-4.176649927606234,-4.779005461189193,-5.0801832279806725,-2.800048828125,-2.60009765625,-2.60009765625,-2.0,-8.0,-5.260346344718832,-4.544670980715557,-3.828995616712281,-3.471157934710644,-6.0,-6.199951171875,-6.199951171875
20230227_1,1.0,-5.800048828125,-3.2068985133495147,-3.7437064219985663,-4.280514330647618,-4.548918284972143,-2.599853515625,-2.39990234375,-2.39990234375,-2.60009765625,-13.800048828125,-5.377993413079944,-4.83551344806891,-4.293033483057875,-4.0217935005523575,-6.0,-6.199951171875,-6.199951171875
20230227_2,-0.800048828125,-5.0,-3.384235653069501,-3.9025306388597807,-4.42082562465006,-4.679973117545201,-2.7998046875,-2.60009765625,-2.60009765625,-2.800048828125,-7.39990234375,-5.185608243681694,-4.564583420656216,-3.943558597630738,-3.633046186118,-6.0,-6.199951171875,-6.199951171875
20230228_1,5.800048828125,-6.199951171875,-3.3697933261234945,-4.022847976841746,-4.6759026275599975,-5.0024299529191225,-2.400146484375,-2.199951171875,-2.199951171875,3.60009765625,-8.800048828125,-5.44115430770045,-4.859398161348303,-4.277642014996157,-3.986763941820084,-6.0,-6.199951171875,-6.199951171875
20230228_2,1.400146484375,-5.60009765625,-3.4231487951250097,-4.0103956400527885,-4.597642484980567,-4.891265907444456,-2.7998046875,-2.599853515625,-2.599853515625,-2.800048828125,-9.60009765625,-5.128195034897715,-4.501476453057975,-3.874757871218233,-3.561398580298363,-6.0,-6.199951171875,-6.199951171875
