date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220915_0,58.0,-50.0,-18.23326572008113,-29.473799193899147,-40.71433266771716,-46.33459940462616,-13.5,1.75,1.75,-22.0,-100.0,-46.030425963488845,-35.38014357543571,-24.72986118738258,-19.40471999335601,-54.0,-55.0,-55.0
20220916_0,-33.0,-59.0,-45.71345029239766,-52.34712510767671,-58.98079992295576,-62.29763733059528,-35.0,-34.0,-34.0,-45.0,-93.0,-67.36842105263158,-58.92839405459691,-50.48836705656224,-46.2683535575449,-83.0,-84.0,-84.0
20220916_1,-19.0,-24.0,-21.61627906976744,-22.341080472613765,-23.06588187546009,-23.42828257688325,-21.0,-21.0,-21.0,-27.0,-42.0,-38.01550387596899,-35.65175529951891,-33.28800672306883,-32.10613243484379,-40.0,-40.0,-40.0
20220916_2,-27.0,-62.0,-44.31308411214953,-51.16823426910508,-58.02338442606062,-61.4509595045384,-33.0,-31.0,-31.0,-48.0,-75.0,-54.754672897196265,-48.45400183256751,-42.15333076793874,-39.00299523562437,-65.0,-71.0,-71.0
20220919_0,33.0,-22.0,-8.348184818481847,-14.35885480813056,-20.36952479777927,-23.374859792603623,-3.0,-2.0,-2.0,15.0,-47.0,-30.24092409240924,-23.34011265581103,-16.43930121921282,-12.988895500913712,-38.0,-38.0,-38.0
20220919_1,-35.0,-44.0,-38.69824341279799,-40.73830899917212,-42.77837458554624,-43.7984073787333,-36.0,-36.0,-36.0,-40.0,-58.0,-46.232747804266,-44.282221845513526,-42.33169588676106,-41.35643290738482,-47.0,-48.0,-48.0
20220919_2,-20.0,-41.0,-33.99907407407407,-37.16852379930605,-40.337973524538015,-41.922698387154,-30.0,-30.0,-30.0,-28.0,-47.0,-42.51018518518519,-39.5218098136143,-36.53343444204341,-35.03924675625797,-45.0,-45.0,-45.0
20220920_0,18.0,-10.0,-3.734200743494424,-7.413371240018713,-11.092541736543,-12.932126984805148,-2.0,1.0,1.0,-10.0,-26.0,-16.221189591078065,-12.848973603348496,-9.47675761561893,-7.790649621754143,-21.0,-22.0,-22.0
20220920_1,-2.0,-27.0,-12.942244224422442,-19.16841911741309,-25.39459401040375,-28.507681456899075,-3.0,-3.0,-3.0,-12.0,-35.0,-28.65016501650165,-22.26011140978664,-15.870057803071637,-12.675030999714131,-34.0,-34.0,-34.0
20220920_2,-3.0,-18.0,-9.256619144602851,-11.82394364242194,-14.391268140241031,-15.674930389150576,-7.0,-7.0,-7.0,-10.0,-34.0,-17.96130346232179,-11.786921767129424,-5.612540071937058,-2.525349224340875,-31.0,-32.0,-32.0
