date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_0,514.0,-6952.0,37.29453262786596,-257.6088108626028,-552.5121543530717,-699.9638260983061,58.0,66.0,66.0,34.0,-54.0,14.811287477954144,24.035124296434823,33.25896111491551,37.870879524155846,8.0,6.0,6.0
20220908_1,82.0,54.0,68.14682539682539,62.11820991617079,56.08959443551619,53.07528669518889,76.0,78.0,78.0,64.0,22.0,46.34126984126984,54.805591123334175,63.2699124053985,67.50207304643067,36.0,30.0,30.0
20220908_2,86.0,32.0,61.11290322580645,48.0537120346404,34.99452084347435,28.46492524789133,78.0,80.0,80.0,64.0,4.0,37.774193548387096,51.79660843648588,65.81902332458468,72.83023076863407,22.0,20.0,20.0
20220909_0,136.0,136.0,136.0,,,,136.0,136.0,136.0,-2.0,-2.0,-2.0,,,,-2.0,-2.0,-2.0
20220909_1,134.0,54.0,81.75779816513761,68.39135440950758,55.02491065387755,48.34168877606253,96.0,100.0,100.0,72.0,-6.0,49.64770642201835,61.68047110001345,73.71323577800854,79.72961811700608,32.0,28.0,28.0
20220909_2,104.0,56.0,83.69158878504673,75.39213327380023,67.09267776255372,62.94295000693048,94.0,96.0,96.0,68.0,28.0,50.271028037383175,58.04853272846936,65.82603741955553,69.71478976509862,40.0,38.0,38.0
20220913_0,136.0,62.0,80.13609467455622,68.19839778431194,56.26070089406767,50.29185244894553,98.0,106.0,106.0,72.0,-7180.0,38.185404339250496,265.7233862504584,493.2613681616662,607.0303591172701,38.0,36.0,36.0
20220913_1,462.0,64.0,93.43993879112472,77.14297143931094,60.84600408749717,52.69752041159028,106.0,110.0,110.0,84.0,-594.0,52.60902830910482,80.1014080617002,107.59378781429558,121.33997769059326,38.0,-8.0,-8.0
20220913_2,88.0,70.0,79.03301886792453,75.60612697759417,72.1792350872638,70.46578914209863,84.0,86.0,86.0,60.0,-2.0,51.49528301886792,55.49764360070454,59.50000418254116,61.50118447345948,48.0,46.0,46.0
20220914_0,580.0,54.0,79.76186645213194,63.90030979951077,48.0387531468896,40.10797482057902,86.0,90.0,90.0,66.0,-40.0,50.28801287208367,56.94530648784592,63.60260010360817,66.9312469114893,42.0,40.0,40.0
20220914_1,94.0,68.0,77.81343283582089,74.11226427386623,70.41109571191157,68.56051143093423,82.0,84.0,84.0,60.0,32.0,48.00995024875622,51.797575179067394,55.585200109378576,57.47901257453417,44.0,42.0,42.0
20220914_2,88.0,70.0,78.9641873278237,74.96607505390409,70.96796277998448,68.96890664302468,84.0,86.0,86.0,58.0,44.0,50.52341597796144,53.9233473081858,57.323278638410166,59.02324430352235,46.0,46.0,46.0
20220915_0,264.0,-62.0,77.48367029548989,66.81887468427658,56.154079073063286,50.82168126745663,88.0,92.0,92.0,74.0,-168.0,48.0606531881804,60.76572644343014,73.47079969867988,79.82333632630474,36.0,34.0,34.0
20220915_1,106.0,64.0,78.30798845043311,74.36261925985502,70.41725006927695,68.4445654739879,84.0,84.0,84.0,68.0,42.0,51.67661212704524,55.75240438600963,59.82819664497402,61.86609277445622,46.0,46.0,46.0
20220915_2,96.0,68.0,79.5625,75.1265146414021,70.6905292828042,68.47253660350526,86.0,88.0,88.0,66.0,24.0,52.6171875,58.255510126492496,63.89383275298498,66.71299406623123,44.0,44.0,44.0
20220916_0,230.0,72.0,88.41981132075472,77.6759024085905,66.93199349642629,61.56003904034418,94.0,96.0,96.0,72.0,-7112.0,46.87264150943396,293.6340356732825,540.395429837131,663.7761269190553,46.0,44.0,44.0
20220916_1,100.0,62.0,73.8714859437751,70.23703633031982,66.60258671686455,64.78536191013691,78.0,80.0,80.0,54.0,10.0,46.39357429718876,51.41828329168154,56.44299228617432,58.95534678342071,40.0,40.0,40.0
20220916_2,146.0,58.0,79.26989079563182,70.9916900464167,62.713489297201576,58.57438892259402,90.0,92.0,92.0,68.0,30.0,52.5585023400936,60.83082594072177,69.10314954134995,73.23931134166403,40.0,38.0,38.0
20220919_0,700.0,60.0,79.99739921976592,52.85435619040389,25.711313161041844,12.13979164636082,94.0,102.0,102.0,124.0,-304.0,43.81794538361508,61.003760162880624,78.18957494214615,86.78248233177894,38.0,36.0,36.0
