date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220915_0,-1.0,-24.0,-9.893162393162394,-16.55879040733336,-23.22441842150432,-26.557232428589806,-3.0,-3.0,-3.0,-39.0,-75.0,-49.17094017094017,-42.68319590026126,-36.19545162958235,-32.95157949424289,-55.0,-63.0,-63.0
20220916_0,24.0,-50.0,-6.778787878787878,-16.827431198602238,-26.8760745184166,-31.900396178323778,7.0,19.0,19.0,-14.0,-410.0,-58.51515151515152,-15.138578052544888,28.237995410061743,49.92628214136506,-65.0,-111.55,-111.54999999999998
20220916_1,-16.0,-26.0,-20.11111111111111,-22.54524340003873,-24.97937568896635,-26.19644183343016,-18.0,-17.0,-17.0,-38.0,-45.0,-40.60493827160494,-39.2113905298171,-37.81784278802927,-37.12106891713536,-43.0,-43.0,-43.0
20220916_2,-7.0,-25.0,-17.403225806451612,-20.957063594432384,-24.51090138241316,-26.287820276403547,-13.0,-11.0,-11.0,-35.0,-49.0,-40.25483870967742,-38.54927220741422,-36.84370570515101,-35.99092245401941,-42.0,-43.0,-43.0
20220919_0,71.0,-23.0,-7.695081967213115,-26.62419511119324,-45.55330825517336,-55.017864827163415,14.200000000000044,45.80000000000001,45.80000000000001,5553.0,-159.0,-22.127868852459017,298.296869894466,618.721608641391,778.9339780148534,-42.0,-43.0,-43.0
20220919_1,-6.0,-28.0,-15.58312020460358,-19.397078574130987,-23.211036943658392,-25.11801612842209,-12.0,-11.0,-11.0,-35.0,-48.0,-39.25575447570333,-37.54273902647152,-35.82972357723972,-34.973215852623824,-41.0,-42.0,-42.0
20220919_2,-11.0,-27.0,-16.86842105263158,-20.44640847179804,-24.024395890964485,-25.813389600547712,-13.0,-12.0,-12.0,-36.0,-48.0,-39.675438596491226,-38.1388331837548,-36.60222777101838,-35.83392506465016,-41.0,-42.0,-42.0
20220920_0,245.0,-36.0,-13.453271028037385,-53.42127658402404,-93.38928214001068,-113.37328491800402,-12.0,-9.650000000000006,-9.650000000000006,5578.0,-358.0,36.425233644859816,699.3474679604276,1362.269702275995,1693.7308194337793,-44.0,-46.35,-46.35
20220920_1,-7.0,-35.0,-18.763698630136982,-26.235684157185617,-33.70766968423425,-37.44366244775856,-11.0,-10.0,-10.0,-36.0,-51.0,-39.842465753424655,-37.52953079412059,-35.21659583481652,-34.06012835516449,-42.0,-44.0,-44.0
20220920_2,-11.0,-36.0,-21.112244897959183,-25.92820344887601,-30.744161999792844,-33.15214127525126,-15.0,-14.0,-14.0,-36.0,-52.0,-40.30612244897959,-37.03989992871831,-33.77367740845702,-32.14056614832637,-44.3,-47.3,-47.29999999999999
20220921_0,0.0,-37.0,-23.110119047619047,-26.723909217063103,-30.33769938650716,-32.14459447122919,-21.0,-20.75,-20.75,-20.0,-47.0,-41.55952380952381,-39.05531271510673,-36.55110162068965,-35.29899607348111,-44.0,-45.0,-45.0
20220921_1,-13.0,-35.0,-25.57113821138212,-28.516157190501943,-31.461176169621773,-32.93368565918169,-23.0,-21.55000000000001,-21.55000000000001,-29.0,-48.0,-35.08739837398374,-31.577377261857247,-28.06735614973076,-26.312345593667512,-39.0,-40.45,-40.44999999999997
20220921_2,-19.0,-33.0,-29.74324324324324,-32.49789200210524,-35.25254076096724,-36.62986514039824,-25.0,-24.75,-24.75,-33.0,-43.0,-37.5945945945946,-35.761424374612744,-33.92825415463089,-33.01166904463997,-40.0,-40.0,-40.0
20220922_0,1.0,-33.0,-28.73598820058997,-30.85913275953472,-32.982277318479454,-34.04384959795183,-27.0,-27.0,-27.0,-24.0,-43.0,-36.88643067846608,-35.08939752436724,-33.29236437026841,-32.39384779321899,-39.0,-40.0,-40.0
20220922_1,-18.0,-37.0,-22.83371824480369,-25.80971314288286,-28.785708040962025,-30.273705490001607,-21.0,-21.0,-21.0,-34.0,-52.0,-41.15242494226328,-39.383388302218506,-37.614351662173725,-36.72983334215134,-43.0,-44.0,-44.0
20220922_2,-22.0,-35.0,-26.9812734082397,-28.963247026875145,-30.94522064551059,-31.93620745482832,-24.0,-23.0,-23.0,-38.0,-46.0,-40.47565543071161,-38.85739524886075,-37.23913506700988,-36.43000497608445,-42.4,-43.0,-43.0
20220923_1,-24.0,-36.0,-27.86688851913477,-29.096624996007485,-30.3263614728802,-30.94122971131655,-27.0,-26.0,-26.0,-32.0,-45.0,-38.09484193011647,-36.24570068349082,-34.396559436865175,-33.47198881355235,-40.0,-41.0,-41.0
20220923_2,-24.0,-29.0,-27.33333333333333,-28.93801398692145,-30.542694640509573,-31.34503496730364,-24.0,-24.0,-24.0,-33.0,-41.0,-37.851851851851855,-36.83805809680215,-35.824264341752446,-35.3173674642276,-39.0,-39.0,-39.0
20220926_0,-7.0,-32.0,-25.454873646209386,-28.50439601352521,-31.55391838084103,-33.07867956449894,-22.0,-22.0,-22.0,-22.0,-45.0,-36.07220216606498,-32.02960472803861,-27.98700729001225,-25.965708570999062,-41.0,-41.0,-41.0
20220926_1,-19.0,-26.0,-22.867532467532467,-24.035958398365977,-25.20438432919949,-25.788597294616245,-21.0,-21.0,-21.0,-28.0,-40.0,-32.47792207792208,-29.83608010605301,-27.194238134183944,-25.87331714824941,-36.0,-37.0,-37.0
20220926_2,-19.0,-33.0,-26.06642728904848,-28.49991007546221,-30.93339286187595,-32.15013425508282,-24.0,-23.0,-23.0,-31.0,-46.0,-36.41113105924596,-34.215299909583365,-32.01946875992076,-30.921553185089465,-39.0,-40.0,-40.0
20220927_0,8.0,-62.0,-26.54946996466431,-29.15990336745851,-31.77033677025271,-33.07555347164981,-25.0,-24.0,-24.0,-4.0,-70.0,-35.620141342756185,-33.038610484349256,-30.45707962594232,-29.166314196738856,-37.0,-38.0,-38.0
20220927_1,-20.0,-34.0,-29.495180722891565,-32.03876479484825,-34.58234886680493,-35.85414090278327,-25.0,-24.0,-24.0,-36.0,-47.0,-37.41566265060241,-36.2268545757761,-35.038046500949804,-34.443642463536655,-39.0,-39.0,-39.0
20220927_2,-22.0,-34.0,-26.89858490566038,-29.52534263122289,-32.15210035678541,-33.46547921956667,-24.0,-23.15000000000004,-23.15000000000004,-33.0,-41.0,-37.4316037735849,-36.068447488427736,-34.70529120327056,-34.023713060691975,-39.0,-40.0,-40.0
20220928_0,-1.0,-49.0,-25.84573002754821,-28.5855332635886,-31.325336499628992,-32.69523811764919,-23.0,-22.0,-22.0,-13.0,-60.0,-35.333333333333336,-30.6415435528356,-25.949753772337868,-23.603858882089,-40.0,-45.0,-45.0
20220928_1,-22.0,-36.0,-27.51192145862553,-30.017014211736225,-32.52210696484692,-33.77465334140227,-25.0,-25.0,-25.0,-30.0,-42.0,-36.12622720897616,-34.21799564958442,-32.30976409019267,-31.355648310496807,-39.0,-39.0,-39.0
20220928_2,-26.0,-35.0,-30.086021505376344,-32.01080822052595,-33.93559493567557,-34.89798829325037,-28.0,-27.0,-27.0,-35.0,-43.0,-37.98566308243728,-36.32145820139701,-34.65725332035676,-33.82515087983663,-40.0,-41.0,-41.0
20220929_0,10.0,-64.0,-30.38089171974522,-33.2257567177518,-36.07062171575837,-37.49305421476166,-29.0,-27.200000000000045,-27.200000000000045,-3.0,-76.0,-37.72611464968153,-35.28598599129244,-32.84585733290335,-31.62579300370881,-40.0,-40.0,-40.0
20220929_1,-19.0,-33.0,-27.60696517412936,-29.659820674285125,-31.71267617444089,-32.73910392451878,-25.0,-24.0,-24.0,-31.0,-38.0,-34.56716417910448,-32.91945998988467,-31.271755800664856,-30.44790370605495,-37.0,-37.0,-37.0
20220929_2,-25.0,-35.0,-29.940677966101696,-31.67661232381821,-33.412546681534735,-34.28051386039299,-28.0,-28.0,-28.0,-34.0,-42.0,-37.88418079096045,-36.10592734886269,-34.327673906764936,-33.43854718571606,-40.0,-41.0,-41.0
20220930_0,-28.0,-28.0,-28.0,,,,-28.0,-28.0,-28.0,-43.0,-43.0,-43.0,,,,-43.0,-43.0,-43.0
20220930_1,-22.0,-34.0,-30.89951573849879,-32.31743560044569,-33.7353554623926,-34.44431539336605,-30.0,-29.0,-29.0,-32.0,-41.0,-37.012106537530265,-35.7901463960265,-34.568186254522736,-33.95720618377085,-38.0,-39.0,-39.0
20220930_2,-25.0,-34.0,-30.876146788990827,-32.22659322569369,-33.57703966239655,-34.252262880747985,-29.0,-28.0,-28.0,-35.0,-42.0,-37.29816513761468,-36.01409963626853,-34.73003413492238,-34.0880013842493,-39.0,-40.0,-40.0
20221010_0,10.0,-19.0,-14.243523316062175,-17.120836157630784,-19.998148999199387,-21.43680541998369,-12.0,-11.0,-11.0,-17.0,-25.0,-21.51295336787565,-19.71855000751067,-17.924146647145697,-17.02694496696321,-24.0,-24.0,-24.0
20221010_1,-5.0,-31.0,-16.268575851393187,-20.110313712117662,-23.95205157284214,-25.87292050320438,-13.0,-12.0,-12.0,-18.0,-51.0,-24.980650154798763,-20.504660655961366,-16.028671157123966,-13.790676407705266,-30.0,-32.0,-32.0
20221010_2,-4.0,-17.0,-14.194392523364488,-16.01797050692216,-17.841548490479838,-18.753337482258672,-12.0,-12.0,-12.0,-18.0,-26.0,-20.6392523364486,-19.18239736554569,-17.725542394642773,-16.997114909191314,-23.0,-23.0,-23.0
