date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_0,28.0,18.0,22.1281943862589,20.593355531778588,19.058516677298275,18.29109725005812,24.0,24.0,24.0,20.0,10.0,14.294930875576036,16.021452054970553,17.747973234365066,18.61123382406232,12.0,12.0,12.0
20220908_1,30.0,20.0,22.915654038599,21.83637039511488,20.75708675163076,20.217444929888707,24.0,24.0,24.0,18.0,12.0,15.070050035739817,16.10850792011312,17.14696580448642,17.66619474667307,14.0,14.0,14.0
20220908_2,26.0,20.0,22.81800197823937,21.66751755302401,20.51703312780866,19.941790915200983,24.0,24.0,24.0,18.0,8.0,15.032640949554896,16.08445206808312,17.13626318661134,17.662168745875455,14.0,14.0,14.0
20220909_0,24.0,24.0,24.0,,,,24.0,24.0,24.0,12.0,12.0,12.0,,,,12.0,12.0,12.0
20220909_1,34.0,20.0,25.30565583634176,22.85349828865791,20.401340740974064,19.17526196713214,28.0,30.0,30.0,24.0,4.0,17.161853188929,19.34658965425333,21.53132611957766,22.623694352239824,14.0,14.0,14.0
20220909_2,36.0,22.0,31.02033271719039,28.9113522977516,26.80237187831281,25.74788166859341,34.0,34.0,34.0,30.0,14.0,23.228589032655577,25.96057447041167,28.69255990816776,30.05855262704581,20.0,18.0,18.0
20220913_0,46.0,30.0,34.973556797020485,32.932699669750164,30.89184254247984,29.87141397884468,38.0,38.0,38.0,32.0,16.0,25.50986964618249,27.32418066180025,29.138491677418006,30.045647185226883,24.0,22.0,22.0
20220913_1,134.0,22.0,31.82770590091512,27.76918794489512,23.71066998887512,21.68141101086512,36.0,36.0,36.0,32.0,-8.0,22.601451562006943,25.91434501695205,29.22723847189716,30.883685199369715,18.0,16.0,16.0
20220913_2,48.0,26.0,32.08275862068965,28.504001712013263,24.92524480333688,23.13586634899868,38.0,40.0,40.0,42.0,18.0,23.71172413793104,27.64451884169533,31.577313545459628,33.543710897341775,20.0,20.0,20.0
20220914_0,44.0,32.0,38.12978819287967,35.69593643990082,33.26208468692197,32.04515881043255,42.0,42.0,42.0,36.0,20.0,29.673726904010817,31.92043356886912,34.167140233727416,35.29049356615657,26.0,26.0,26.0
20220914_1,46.0,30.0,36.97072710103872,33.88203767026926,30.793348239499803,29.249003524115075,40.0,42.0,42.0,36.0,18.0,27.851746931067044,31.06701580962664,34.28228468818624,35.88991912746603,24.0,24.0,24.0
20220914_2,40.0,30.0,34.73996509598604,33.43545173539868,32.130938374811315,31.47868169451764,36.0,36.0,36.0,32.0,22.0,26.547993019197207,27.94413880053453,29.340284581871867,30.03835747254053,24.0,24.0,24.0
20220915_0,46.0,-90.0,30.77351247600768,27.825990298556867,24.87846812110606,23.404707032380653,34.0,34.0,34.0,26.0,-98.0,22.521433141394752,25.2598451763976,27.99825721140044,29.367463228901865,20.0,20.0,20.0
20220915_1,44.0,32.0,37.16436126932465,34.684355915371924,32.20435056141919,30.964347884442823,40.0,42.0,42.0,34.0,22.0,28.36452400325468,30.720802818406863,33.07708163355905,34.255221041135144,26.0,24.0,24.0
20220915_2,42.0,24.0,33.78125,30.489929517899583,27.198609035799173,25.552948794748968,40.0,40.0,40.0,34.0,18.0,24.92708333333333,28.39192135031662,31.856759367299905,33.58917837579155,22.0,20.0,20.0
20220916_0,32.0,14.0,24.86818000796496,23.50220654590268,22.13623308384041,21.45324635280928,26.0,26.0,26.0,22.0,6.0,16.514536041417763,17.939305462126445,19.364074882835126,20.07645959318947,14.0,14.0,14.0
20220916_1,34.0,26.0,30.05581395348837,28.64517710797032,27.234540262452267,26.529221839693243,32.0,32.0,32.0,24.0,18.0,22.574418604651164,23.90824345020961,25.242068295768057,25.90898071854728,20.0,20.0,20.0
20220916_2,32.0,20.0,25.62625727898359,23.8123313876416,21.9984054962996,21.091442550628603,28.0,28.0,28.0,24.0,14.0,17.893065113816835,19.62119711957872,21.34932912534059,22.213395128221528,16.0,16.0,16.0
20220919_0,162.0,-114.0,22.28303925099028,18.246930118821915,14.21082098665355,12.192766420569368,24.0,24.0,24.0,152.0,-126.0,12.95858840475333,16.878363771897632,20.798139139041936,22.758026822614084,12.0,12.0,12.0
20220919_1,32.0,22.0,25.747698971304818,24.27395958368196,22.8002201960591,22.06335050224768,28.0,28.0,28.0,22.0,12.0,17.518137520303195,18.88287909797501,20.24762067564683,20.92999146448274,16.0,16.0,16.0
20220919_2,30.0,20.0,23.32075471698113,21.83436356610729,20.347972415233446,19.604776839796525,26.0,26.0,26.0,20.0,8.0,14.851752021563344,16.097723265119146,17.34369450867495,17.96668013045285,14.0,14.0,14.0
20220920_0,44.0,4.0,22.085836909871244,20.50764885113967,18.929460792408097,18.140366763042312,24.0,24.0,24.0,36.0,-8.0,13.493562231759658,14.955363620754785,16.41716500974991,17.14806570424748,12.0,12.0,12.0
20220920_1,28.0,18.0,22.823230490018148,21.59228814996677,20.361345809915385,19.74587463988969,24.0,24.0,24.0,18.0,10.0,14.043557168784028,15.414854009488254,16.786150850192477,17.47179927054459,12.0,12.0,12.0
20220920_2,26.0,18.0,22.619883040935672,21.33303955529879,20.046196069661907,19.402774326843463,24.0,24.0,24.0,16.0,8.0,13.18234981392876,14.33146001868351,15.48057022343826,16.055125325815634,12.0,12.0,12.0
20220921_0,40.0,18.0,22.50849858356941,21.1694483131776,19.830398042785795,19.16087290758989,24.0,24.0,24.0,32.0,10.0,15.054532577903682,16.268397745189986,17.482262912476287,18.08919549611944,14.0,14.0,14.0
20220921_1,28.0,18.0,22.19622407923244,20.730876781165342,19.265529483098245,18.53285583406469,24.0,24.0,24.0,16.0,10.0,14.086041473228104,15.507251927360658,16.928462381493212,17.63906760855949,12.0,12.0,12.0
20220921_2,28.0,18.0,22.158590308370044,20.764953144899827,19.371315981429607,18.6744973996945,24.0,24.0,24.0,20.0,10.0,13.94625550660793,15.503371866493124,17.060488226378318,17.839046406320914,12.0,12.0,12.0
20220922_0,30.0,-68.0,24.27389078498293,21.934727093415848,19.59556340184876,18.425981556065217,26.0,26.0,26.0,20.0,-82.0,16.357508532423207,18.90391167214621,21.450314811869227,22.72351638173073,14.0,14.0,14.0
20220922_1,26.0,18.0,21.13686188537425,19.86676142212519,18.59666095887612,17.96161072725159,22.0,24.0,24.0,20.0,8.0,13.41747572815534,14.747260894436508,16.077046060717674,16.74193864385826,12.0,12.0,12.0
20220922_2,28.0,18.0,22.52792990142388,21.23663649121538,19.94534308100688,19.299696375902634,24.0,24.0,24.0,18.0,12.0,13.95618838992333,15.584111694500557,17.21203499907778,18.02599665136639,12.0,12.0,12.0
20220923_1,24.0,16.0,21.647892313142048,20.067761771110995,18.487631229079938,17.69756595806441,24.0,24.0,24.0,18.0,8.0,13.941905773999292,15.722826046992546,17.5037463199858,18.39420645648243,12.0,10.0,10.0
20220923_2,24.0,18.0,20.664,19.578892209116685,18.493784418233368,17.95123052279171,22.0,22.0,22.0,16.0,10.0,13.288,14.334540249099843,15.38108049819969,15.904350622749613,12.0,12.0,12.0
20220926_0,80.0,-44.0,13.554317548746518,11.279253009111851,9.004188469477185,7.866656199659851,16.0,16.0,16.0,68.0,-50.0,5.891674404209224,8.131068813272007,10.370463222334791,11.490160426866185,4.0,4.0,4.0
20220926_1,20.0,10.0,14.107831562377015,12.503892740337363,10.89995391829771,10.097984507277884,16.0,16.0,16.0,12.0,-4.0,6.444706808343172,7.967949478088863,9.491192147834552,10.2528134827074,4.0,4.0,4.0
20220926_2,18.0,8.0,12.7429718875502,11.499929653273435,10.25688741899667,9.635366301858287,14.0,14.0,14.0,8.0,0.0,4.956827309236948,6.185213965095164,7.41360062095338,8.027793948882488,4.0,4.0,4.0
20220927_0,82.0,-52.0,15.217414109624968,13.187679499537392,11.157944889449816,10.14307758440603,16.0,18.0,18.0,74.0,-60.0,7.468135326514555,9.39555513689278,11.322974947271009,12.28668485246012,6.0,6.0,6.0
20220927_1,28.0,10.0,13.375345834614205,12.027633233726002,10.6799206328378,10.0060643323937,14.0,16.0,16.0,10.0,-8.0,6.228097141100522,7.636509741179571,9.04492234125862,9.749128641298144,4.0,4.0,4.0
20220927_2,20.0,12.0,15.652046783625732,14.20014250379502,12.74823822396431,12.022286084048956,18.0,18.0,18.0,14.0,4.0,8.539961013645224,9.983472901674885,11.42698478970454,12.148740733719372,6.0,6.0,6.0
20220928_0,30.0,10.0,14.300225733634312,13.111289400779397,11.922353067924483,11.327884901497026,16.0,16.0,16.0,20.0,-4.0,7.287133182844244,8.498277210538225,9.709421238232206,10.314993252079196,6.0,6.0,6.0
20220928_1,20.0,12.0,14.781180928323334,13.758482383728264,12.735783839133196,12.224434566835662,16.0,16.0,16.0,10.0,0.0,7.408272813388065,8.531043398964746,9.653813984541427,10.215199277329768,6.0,6.0,6.0
20220928_2,16.0,8.0,13.014734774066795,11.70636858229065,10.398002390514506,9.743819294626434,14.0,16.0,16.0,10.0,2.0,6.067779960707269,7.436192726111751,8.804605491516234,9.488811874218475,4.0,4.0,4.0
20220929_0,22.0,-2.0,17.97514542570069,16.637862056189284,15.300578686677882,14.63193700192218,20.0,20.0,20.0,14.0,-20.0,10.303543098889476,11.76063752940632,13.217731959923164,13.946279175181584,8.0,8.0,8.0
20220929_1,22.0,12.0,17.876272912423627,16.47491406121723,15.073555210010834,14.372875784407636,20.0,20.0,20.0,14.0,2.0,10.64765784114053,12.171624631371936,13.695591421603346,14.457574816719047,8.0,8.0,8.0
20220929_2,22.0,14.0,18.260794473229705,17.048460427109582,15.836126380989455,15.229959357929395,20.0,20.0,20.0,14.0,6.0,10.870466321243525,12.206645053803214,13.542823786362906,14.21091315264275,10.0,8.0,8.0
20220930_1,20.0,14.0,17.892881355932204,16.44125950265629,14.989637649380375,14.26382672274242,20.0,20.0,20.0,14.0,6.0,10.520677966101696,11.922154521666505,13.323631077231312,14.024369355013718,8.0,8.0,8.0
20220930_2,28.0,14.0,18.601941747572816,17.51184603975156,16.421750331930305,15.876702478019675,20.0,20.0,20.0,14.0,4.0,11.190129449838189,12.327877898844266,13.465626347850346,14.034500572353384,10.0,10.0,10.0
20221010_0,22.0,16.0,18.74820143884892,17.660391670239253,16.57258190162959,16.028677017324757,20.0,20.0,20.0,14.0,8.0,11.190647482014388,12.28427469496794,13.377901907921494,13.92471551439827,10.0,10.0,10.0
20221010_1,52.0,12.0,17.56141402037148,15.22668128125817,12.89194854214486,11.724582172588203,20.0,20.0,20.0,16.0,-22.0,10.707010185739964,12.8200471874483,14.933084189156638,15.989602690010807,8.0,8.0,8.0
20221010_2,22.0,14.0,18.202188639916624,16.80773537797279,15.413282116028956,14.71605548505704,20.0,20.0,20.0,16.0,6.0,11.708181344450235,13.208369298071329,14.708557251692422,15.45865122850297,10.0,10.0,10.0
20221011_0,26.0,12.0,17.98167115902965,16.652694918400364,15.32371867777108,14.65923055745644,20.0,20.0,20.0,14.0,6.0,11.371967654986523,12.710438051543091,14.04890844809966,14.718143646377946,10.0,10.0,10.0
20221011_1,28.0,12.0,18.049199350197263,16.886728142922305,15.724256935647348,15.143021332009866,20.0,20.0,20.0,14.0,0.0,11.450916686006034,12.784093517503388,14.11727034900074,14.783858764749418,10.0,10.0,10.0
20221011_2,22.0,16.0,18.384589614740367,17.383502551056896,16.382415487373425,15.881871955531688,20.0,20.0,20.0,14.0,6.0,11.32931323283082,12.90038263904144,14.47145204525206,15.256986748357368,10.0,8.0,8.0
20221012_0,46.0,-6.0,15.525339043540328,13.878481777948096,12.231624512355864,11.408195879559749,18.0,18.0,18.0,32.0,-14.0,8.875089221984297,10.471931119030105,12.068773016075912,12.867193964598815,6.0,6.0,6.0
20221012_1,22.0,14.0,18.271512560128272,16.910256237668364,15.548999915208457,14.8683717539785,20.0,20.0,20.0,16.0,8.0,11.735435595938002,12.94994306763927,14.164450539340535,14.771704275191173,10.0,10.0,10.0
20221012_2,24.0,14.0,17.303673469387753,15.869096812931764,14.434520156475772,13.717231828247776,18.0,20.0,20.0,14.0,6.0,10.685714285714283,12.175025597338507,13.664336908962731,14.408992564774842,8.0,8.0,8.0
20221013_0,26.0,-4.0,18.65019255455713,16.692148694615835,14.73410483467454,13.755082904703894,22.0,22.0,22.0,20.0,-14.0,12.24390243902439,14.464962743300294,16.6860230475762,17.79655319971415,10.0,8.0,8.0
20221013_1,22.0,12.0,14.833265720081137,13.57380924798906,12.314352775896989,11.684624539850953,16.0,16.0,16.0,12.0,2.0,8.418661257606491,9.573820067412582,10.728978877218674,11.30655828212172,8.0,6.0,6.0
20221013_2,20.0,12.0,15.323152107513744,14.075647866734933,12.828143625956118,12.204391505566711,16.0,18.0,18.0,12.0,4.0,8.383628588882102,9.47568740083616,10.56774621279022,11.113775618767248,8.0,6.0,6.0
20221014_0,134.0,-88.0,18.4112101910828,15.740136484104235,13.06906277712567,11.733525923636387,20.0,20.0,20.0,124.0,-104.0,12.123312101910829,14.915298456451932,17.707284810993034,19.103277988263585,10.0,10.0,10.0
20221014_1,28.0,14.0,18.34956874682902,17.432520224611704,16.51547170239439,16.05694744128573,20.0,20.0,20.0,14.0,0.0,11.919837645865044,13.011276115749176,14.102714585633311,14.64843382057538,10.0,10.0,10.0
20221014_2,22.0,16.0,18.20253164556962,17.359027849742404,16.51552405391519,16.09377215600158,20.0,20.0,20.0,14.0,10.0,11.997106690777576,13.055457955704926,14.113809220632277,14.64298485309595,10.0,10.0,10.0
20221017_0,24.0,-24.0,17.411592076302274,15.96578907851886,14.519986080735446,13.79708458184374,18.0,20.0,20.0,16.0,-36.0,10.740278796771827,12.315094048859232,13.88990930094664,14.677316926990343,10.0,8.0,8.0
20221017_1,26.0,12.0,17.814594425305355,16.352217478510262,14.889840531715167,14.15865205831762,20.0,20.0,20.0,14.0,6.0,10.82555590353899,12.211105503406834,13.596655103274678,14.2894299032086,10.0,8.0,8.0
20221017_2,18.0,12.0,16.079178885630498,14.969147033869636,13.859115182108775,13.304099256228348,18.0,18.0,18.0,14.0,8.0,9.74633431085044,10.792667976117556,11.839001641384671,12.362168474018231,8.0,8.0,8.0
20221018_0,34.0,4.0,16.657949479940566,15.25775204063834,13.857554601336114,13.157455881685,18.0,20.0,20.0,18.0,-4.0,10.437444279346211,11.759992042735254,13.082539806124297,13.743813687818818,10.0,8.0,8.0
20221018_1,22.0,14.0,17.013252555850055,15.466930408939929,13.920608262029798,13.147447188574734,18.0,20.0,20.0,14.0,8.0,10.241575160923892,11.435288974801985,12.629002788680078,13.225859695619125,8.0,8.0,8.0
20221018_2,20.0,14.0,17.015287769784173,15.716220625362352,14.41715348094053,13.76761990872962,18.0,20.0,20.0,14.0,8.0,10.404676258992806,11.800607524017732,13.19653878904266,13.894504421555125,8.0,8.0,8.0
20221019_0,20.0,8.0,13.300408719346049,11.465015672808988,9.629622626271928,8.711926103003398,16.0,16.0,16.0,12.0,-2.0,7.189373297002724,8.74237867558869,10.295384054174653,11.071886743467635,6.0,4.0,4.0
20221019_1,24.0,14.0,16.434880239520957,15.535055146970588,14.635230054420218,14.185317508145031,18.0,18.0,18.0,12.0,4.0,9.955089820359282,11.01393691108042,12.072784001801558,12.602207547162129,8.0,8.0,8.0
20221019_2,20.0,14.0,17.05673451710697,15.82360437153512,14.590474225963266,13.97390915317734,18.0,20.0,20.0,14.0,8.0,10.635773061931571,11.943443597364489,13.251114132797408,13.904949400513866,10.0,8.0,8.0
20221020_0,78.0,-46.0,12.90277777777778,10.708974210009032,8.515170642240285,7.418268858355913,14.0,16.0,16.0,66.0,-56.0,6.712752525252525,8.667288253784452,10.621823982316378,11.599091846582343,6.0,4.0,4.0
20221020_1,18.0,10.0,13.86468112657818,12.721522167210448,11.578363207842711,11.006783728158846,16.0,16.0,16.0,10.0,-8.0,7.557785691162189,8.635097528436114,9.71240936571004,10.251065284347002,6.0,6.0,6.0
20221020_2,18.0,12.0,15.70242214532872,14.484184105126657,13.265946064924591,12.656827044823562,18.0,18.0,18.0,12.0,4.0,8.604053386060306,10.106087411233036,11.608121436405764,12.35913844899213,6.0,6.0,6.0
20221021_0,80.0,10.0,13.933112582781456,12.353337216076191,10.773561849370928,9.983674166018297,16.0,16.0,16.0,68.0,-2.0,7.111920529801324,8.773417843250622,10.43491515669992,11.265663813424569,6.0,6.0,6.0
20221021_1,20.0,10.0,12.412617220801364,11.419050679081868,10.425484137362368,9.92870086650262,14.0,14.0,14.0,10.0,-4.0,6.002841716396704,7.023934163129274,8.045026609861846,8.55557283322813,4.0,4.0,4.0
20221021_2,16.0,10.0,13.717974180734856,12.457191706861227,11.1964092329876,10.566017996050784,16.0,16.0,16.0,10.0,2.0,7.100297914597816,8.488943199899648,9.877588485201482,10.571911127852395,6.0,6.0,6.0
20221024_0,70.0,10.0,13.782923299565846,12.455779657760148,11.128636015954449,10.465064195051596,14.0,16.0,16.0,60.0,2.0,7.506994693680656,8.908725241712,10.310455789743344,11.011321063759016,6.0,6.0,6.0
