date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220916_1,-20.0,-69.0,-56.03053435114504,-66.24209562053113,-76.45365688991724,-81.55943752461029,-43.0,-35.5,-35.5,-63.0,-87.0,-76.2442748091603,-71.40836489867183,-66.57245498818338,-64.15450003293915,-81.0,-84.0,-84.0
20220916_2,-46.0,-101.0,-82.96520146520146,-101.25654091223696,-119.54788035927248,-128.69355008279024,-54.0,-53.0,-53.0,-62.0,-119.0,-96.3021978021978,-78.33489123575478,-60.36758466931175,-51.38393138609024,-111.0,-113.0,-113.0
20220919_1,-82.0,-100.0,-93.43656716417912,-97.00091339337186,-100.5652596225646,-102.34743273716096,-88.0,-87.0,-87.0,-103.0,-158.0,-114.9900497512438,-105.13026562777502,-95.27048150430625,-90.34058944257184,-130.7,-133.0,-133.0
20220919_2,-90.0,-102.0,-95.02054794520548,-97.0358474269525,-99.05114690869952,-100.05879664957304,-93.0,-92.0,-92.0,-102.0,-113.0,-105.93835616438356,-104.30863815390651,-102.67892014342952,-101.864061138191,-108.0,-109.0,-109.0
20220920_1,-77.0,-98.0,-89.47280966767372,-92.98182347114432,-96.49083727461492,-98.24534417635024,-83.0,-82.0,-82.0,-86.0,-113.0,-101.404833836858,-96.82812100442436,-92.25140817199068,-89.96305175577386,-107.0,-108.0,-108.0
20220920_2,-85.0,-98.0,-91.98563218390804,-94.58630166151504,-97.18697113912202,-98.48730587792552,-88.0,-87.0,-87.0,-97.0,-112.0,-103.58045977011494,-100.30591946692364,-97.03137916373232,-95.39410901213668,-107.0,-108.0,-108.0
20220921_1,-68.0,-98.0,-88.67892503536068,-92.70048801689975,-96.72205099843886,-98.7328324892084,-85.0,-83.0,-83.0,-91.0,-117.0,-100.37765205091938,-96.49587087802628,-92.61408970513315,-90.6731991186866,-105.0,-106.0,-106.0
20220921_2,-83.0,-100.0,-92.04874213836476,-95.38064211741734,-98.71254209646992,-100.3784920859962,-88.0,-87.0,-87.0,-97.0,-112.0,-101.43553459119497,-98.34010821698226,-95.24468184276954,-93.69696865566318,-106.0,-107.0,-107.0
20220922_1,-79.0,-102.0,-94.31297709923663,-97.045421382755,-99.77786566627336,-101.14408780803257,-91.0,-89.0,-89.0,-99.0,-117.0,-104.91348600508906,-102.25210447401464,-99.5907229429402,-98.260032177403,-108.0,-111.0,-111.0
20220922_2,-91.0,-104.0,-98.09642857142858,-100.5034050121686,-102.91038145290862,-104.11386967327864,-95.0,-94.0,-94.0,-102.0,-115.0,-110.20714285714286,-107.4675580088841,-104.72797316062533,-103.35818073649595,-113.0,-114.0,-114.0
