date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20221115_0,139.0,19.0,34.34029006013442,14.210591697289807,-5.919106665554807,-15.98395584697711,38.0,100.0,100.0,45.0,-757.0,-15.990095507605234,146.10581255958877,308.2017206267828,389.2496746603798,17.0,-614.0,-614.0
20221115_1,57.0,16.0,21.53649216660298,18.30684230067567,15.077192434748357,13.462367501784698,26.0,27.0,27.0,25.0,-783.0,17.84925487199083,33.76504741112282,49.68083995025482,57.638736219820814,15.0,14.0,14.0
20221115_2,39.0,16.0,20.31664499349805,17.312063788080962,14.307482582663871,12.805191979955328,26.0,27.0,27.0,33.0,9.0,17.054616384915473,19.87894878015649,22.70328117539752,24.115447373018025,15.0,14.0,14.0
20221116_0,51.0,15.0,18.74755069491912,16.26624932963656,13.784947964354002,12.544297281712725,21.0,22.0,22.0,25.0,-85.0,14.964228753702438,17.286065557342564,19.60790236098269,20.76882076280275,13.0,13.0,13.0
20221116_1,47.0,11.0,18.21227417640808,16.166856247832605,14.121438319257134,13.098729354969397,21.0,22.0,22.0,20.0,-14.0,14.721572794899044,16.911480812839688,19.101388830780337,20.196342839750656,13.0,12.0,12.0
20221116_2,36.0,15.0,19.907268170426065,17.876679048444156,15.846089926462248,14.830795365471293,23.0,23.0,23.0,22.0,12.0,16.478696741854638,18.373344830525497,20.26799291919636,21.215316963531784,14.0,14.0,14.0
20221117_0,67.0,9.0,16.123975409836067,12.474457038078624,8.82493866632118,7.000179480442458,20.0,20.0,20.0,20.0,-79.0,12.54815573770492,16.004443539749754,19.460731341794588,21.188875242817005,8.0,8.0,8.0
20221117_1,27.0,11.0,14.853102189781024,13.112374364698258,11.371646539615496,10.501282627074112,17.0,18.0,18.0,17.0,-118.0,11.074817518248176,15.948443942901545,20.822070367554915,23.2588835798816,9.0,9.0,9.0
20221117_2,20.0,10.0,14.48076923076923,12.597802012370163,10.7148347939711,9.773351184771569,18.0,19.0,19.0,17.0,3.0,10.783173076923076,12.916219037195615,15.049264997468152,16.115787977604423,9.0,7.0,7.0
20221118_0,40.0,6.0,11.763651999426688,9.370725264602529,6.977798529778366,5.781335162366285,15.0,15.0,15.0,15.0,-98.0,8.089580048731547,11.243119737289154,14.396659425846762,15.973429270125566,5.0,5.0,5.0
20221118_1,66.0,-4.0,4.854283786822577,-0.0890654553929044,-5.032414697608386,-7.504089318716128,11.0,12.0,12.0,13.0,-30.0,1.4326512255453114,6.1579808675260646,10.88331050950682,13.245975330497195,-4.0,-5.0,-5.0
20221118_2,20.0,-4.0,0.0347526612398246,-2.1829015319227976,-4.40055572508542,-5.509382821666732,3.0,4.0,4.0,4.0,-14.0,-3.7304320601127112,-1.8333871988385988,0.0636576624355136,1.0121800930725695,-6.0,-6.0,-6.0
20221121_0,65.0,0.0,4.859707263186965,1.0912451118438864,-2.677217039499192,-4.561448115170731,9.0,13.0,13.0,10.0,-69.0,0.452085059375863,3.6026763727171582,6.753267686058453,8.328563342729101,-2.0,-2.0,-2.0
20221121_1,56.0,-3.0,6.817746521023492,2.732710292162025,-1.352325936699442,-3.3948440511301765,11.0,12.0,12.0,11.0,-34.0,2.8573993715397275,6.723984316700768,10.590569261861807,12.523861734442328,-1.0,-2.0,-2.0
20221121_2,29.0,1.0,4.026855123674912,2.360609130243187,0.6943631368114622,-0.1387598599044004,6.0,7.0,7.0,4.0,-37.0,0.4574793875147232,2.146383620825357,3.835287854135992,4.679739970791309,-1.0,-1.0,-1.0
20221122_0,33.0,1.0,5.880769230769231,3.6510025488486986,1.421235866928166,0.3063525259678998,8.0,9.0,9.0,8.0,-25.0,2.094688644688645,4.254711354717277,6.414734064745909,7.494745419760227,-1.0,-1.0,-1.0
20221122_1,26.0,0.0,5.084216556860499,3.2118385175361177,1.3394604782117367,0.403271458549546,7.0,8.0,8.0,8.0,-19.0,1.5422515038670868,3.183283213659548,4.824314923452008,5.644830778348239,0.0,-1.0,-1.0
20221122_2,20.0,2.0,4.370558375634518,3.1773468096628728,1.984135243691227,1.3875294607054045,6.0,6.0,6.0,4.0,-18.0,0.5899202320522118,1.828462172397645,3.0670041127430787,3.6862750829157953,-1.0,-1.0,-1.0
20221123_0,50.0,2.0,6.907093292212799,4.819590706381009,2.732088120549218,1.6883368276333224,9.0,9.0,9.0,7.0,-39.0,3.119699306090979,5.266188529968879,7.412677753846778,8.48592236578573,1.0,1.0,1.0
20221124_0,50.0,-3.0,4.61185857321652,2.8838315272860777,1.1558044813556347,0.291790958390413,6.0,7.0,7.0,5.0,-64.0,1.0337922403003754,3.079074521114859,5.124356801929343,6.146997942336585,-1.0,-1.0,-1.0
20221124_1,64.0,1.0,7.123342024713751,4.870457658412013,2.617573292110274,1.4911311089594044,9.0,10.0,10.0,8.0,-15.0,3.9396893776215847,5.976981017953284,8.014272658284982,9.032918478450831,1.0,0.0,0.0
20221124_2,32.0,4.0,8.372618445456078,6.920370479579891,5.468122513703704,4.74199853076561,10.0,10.0,10.0,9.0,-2.0,5.053110773899848,6.3903621207394,7.727613467578953,8.396239140998729,3.0,3.0,3.0
20221125_0,67.0,5.0,9.16741472172352,6.780368562761709,4.3933224037999,3.199799324318996,11.0,12.0,12.0,10.0,-27.0,5.511520047875524,7.78531644943856,10.059112851001595,11.196011051783112,3.0,3.0,3.0
20221125_1,63.0,5.0,8.397195442594215,6.781835096564656,5.166474750535096,4.358794577520316,10.0,11.0,11.0,9.0,-19.0,5.228921998247151,6.709927723294944,8.190933448342738,8.931436310866635,4.0,3.0,3.0
20221125_2,11.0,3.0,6.533271288971615,5.0464004871195005,3.559529685267387,2.8160942843413297,9.0,9.0,9.0,7.0,-14.0,3.4532340623545834,4.8711535613035934,6.289073060252603,6.998032809727107,2.0,1.0,1.0
20221128_0,39.0,2.0,6.837956204379562,5.079909229000919,3.321862253622275,2.4428387659329536,9.0,10.0,10.0,8.0,-28.0,3.280656934306569,5.429539147973238,7.578421361639907,8.652862468473241,1.0,1.0,1.0
20221128_1,19.0,-1.0,4.798996071584461,2.495594519433749,0.192192967283038,-0.959507808792318,7.0,9.0,9.0,8.0,-17.0,1.4042994325622,3.548940162207982,5.693580891853764,6.765901256676655,-1.0,-2.0,-2.0
20221128_2,8.0,1.0,5.026801517067004,3.236367270890526,1.4459330247140478,0.550715901625809,7.0,7.0,7.0,5.0,-4.0,1.581795195954488,3.07772537317572,4.573655550396951,5.321620639007566,0.0,-1.0,-1.0
20221129_0,23.0,-5.0,4.7739682539682535,2.5664548111603827,0.3589413683525118,-0.7448153530514237,6.0,8.0,8.0,10.0,-25.0,0.1813756613756613,3.001016204003028,5.820656746630394,7.230477017944077,-4.0,-5.0,-5.0
20221129_1,15.0,1.0,4.869013112491373,3.150055034127259,1.4310969557631443,0.5716179165810873,7.0,8.0,8.0,6.0,-25.0,1.5449275362318842,3.1538748620854027,4.762822187938921,5.567295850865681,0.0,-1.0,-1.0
20221129_2,12.0,1.0,4.648756524408966,3.799168991892991,2.949581459377016,2.5247876931190283,6.0,6.0,6.0,4.0,-6.0,1.275713847098557,2.1285903509769213,2.9814668548552854,3.407905106794468,0.0,0.0,0.0
20221130_0,16.0,1.0,4.829177980745495,3.1572019071175887,1.4852258334896824,0.6492377966757292,7.0,8.0,8.0,7.0,-5.0,1.8768205381387315,3.4967224897921945,5.1166244414456585,5.92657541727239,0.0,0.0,0.0
20221130_1,19.0,2.0,5.928357395804958,4.437042119926022,2.945726844047086,2.200069206107618,8.0,8.0,8.0,7.0,-5.0,2.6169980931626258,4.201450767638275,5.785903442113925,6.57812977935175,1.0,1.0,1.0
20221130_2,19.0,2.0,5.3837662337662335,3.933677670804844,2.483589107843453,1.7585448263627583,7.0,8.0,8.0,7.0,-10.0,1.934090909090909,3.3905745993627097,4.847058289634511,5.575300134770411,0.0,0.0,0.0
20221201_0,20.0,1.0,4.652800756322383,3.1042969935505287,1.5557932307786753,0.7815413493927483,6.0,7.0,7.0,8.0,-7.0,1.7154337036161664,3.063874899729088,4.41231609584201,5.086536693898471,0.0,0.0,0.0
20221201_1,11.0,2.0,4.725910693301998,3.371639397535768,2.017368101769537,1.3402324538864223,7.0,7.0,7.0,5.0,-5.0,1.8387191539365453,3.1402312851344583,4.441743416332371,5.092499481931328,0.0,0.0,0.0
20221201_2,8.0,1.0,3.2698412698412698,2.2881398830087627,1.3064384961762558,0.8155878027600023,4.0,5.0,5.0,3.0,-1.0,0.5590062111801242,1.44987648256143,2.340746753942736,2.786181889633389,-1.0,-1.0,-1.0
20221202_0,22.0,-2.0,3.130966658671144,1.5601425015111847,-0.0106816556487747,-0.7960937342287546,5.0,5.0,5.0,6.0,-23.0,0.1921324058527224,1.822069313869459,3.4520062218861955,4.266974675894564,-1.0,-2.0,-2.0
20221202_1,11.0,-4.0,-0.2592140590676104,-1.5660017277622191,-2.872789396456828,-3.5261832308041323,1.0,2.0,2.0,0.0,-16.0,-3.197461557237003,-1.9706001684749344,-0.7437387797128658,-0.1303080853318317,-5.0,-5.0,-5.0
20221202_2,9.0,-4.0,-0.9758276405675248,-2.116991303919185,-3.258154967270844,-3.828736798946674,0.0,1.0,1.0,-1.0,-13.0,-3.755123489227536,-2.517378612611218,-1.2796337359949006,-0.6607612976867419,-5.0,-6.0,-6.0
20221205_0,14.0,-5.0,-0.6082334313503732,-2.64263553609226,-4.677037640834146,-5.694238693205089,1.0,2.0,2.0,1.0,-25.0,-3.6953178014023975,-1.4066187756615016,0.8820802500793943,2.0264297629498427,-6.0,-7.0,-7.0
20221205_1,7.0,-6.0,-1.621814475025484,-3.194854057982859,-4.767893640940234,-5.554413432418921,0.0,1.0,1.0,0.0,-10.0,-4.599218484539586,-3.0486242001862545,-1.4980299158329236,-0.7227327736562579,-7.0,-7.0,-7.0
20221205_2,18.0,-5.0,-1.5307132459970887,-2.921203218064191,-4.311693190131294,-5.006938176164845,0.0,0.0,0.0,-1.0,-9.0,-4.631441048034935,-3.387070571847441,-2.142700095659948,-1.5205148575662015,-6.0,-7.0,-7.0
20221206_0,16.0,-5.0,-0.7039864291772688,-2.150728927004537,-3.597471424831805,-4.320842673745439,1.0,1.0,1.0,0.0,-34.0,-3.916595985298276,-2.147997672193424,-0.3793993590885729,0.5048997974638527,-5.0,-6.0,-6.0
20221206_1,18.0,-5.0,-1.2124868835257083,-2.990799158831348,-4.7691114341369865,-5.658267571789807,1.0,1.0,1.0,0.0,-18.0,-4.419989506820567,-2.7762712497497435,-1.13255299267892,-0.3106938641435084,-6.0,-6.0,-6.0
20221206_2,7.0,-7.0,-2.372993119266055,-3.577341415408504,-4.781689711550953,-5.383863859622178,-1.0,0.0,0.0,-2.0,-17.0,-5.211009174311927,-3.9486515891957,-2.6862940040794743,-2.055115211521361,-7.0,-7.0,-7.0
20221207_0,18.0,-6.0,-1.7409683426443203,-3.2450874132457312,-4.749206483847142,-5.501266019147848,0.0,1.0,1.0,0.0,-37.0,-4.645251396648045,-2.9830992244144747,-1.3209470521809044,-0.4898709660641192,-6.0,-7.0,-7.0
20221207_1,1.0,-8.0,-3.2793700787401576,-4.879740107250142,-6.480110135760127,-7.280295150015118,-1.0,-1.0,-1.0,-2.0,-65.0,-6.233385826771654,-3.6007624048976505,-0.9681389830236472,0.3481727279133544,-8.0,-9.0,-9.0
20221207_2,0.0,-8.0,-3.0173391130376794,-4.563504220564603,-6.109669328091528,-6.88275188185499,-1.0,-1.0,-1.0,-3.0,-15.0,-6.266755585195065,-4.645660129153135,-3.024564673111205,-2.21401694509024,-8.0,-9.0,-9.0
20221208_0,16.0,-7.0,-1.3175317796610169,-3.4151671179013894,-5.5128024561417615,-6.561620125261948,1.0,2.0,2.0,1.0,-24.0,-4.3787076271186445,-2.1487224406255288,0.0812627458675869,1.1962553391141446,-7.0,-8.0,-8.0
20221208_1,4.0,-9.0,-5.6389061528899935,-6.89953506344492,-8.160163973999845,-8.790478429277309,-4.0,-4.0,-4.0,-5.0,-56.0,-8.795525170913612,-7.157135895933537,-5.518746620953463,-4.699551983463425,-10.0,-11.0,-11.0
20221208_2,7.0,-10.0,-6.030044843049327,-7.435824586496529,-8.841604329943731,-9.54449420166733,-4.0,-4.0,-4.0,-5.0,-39.0,-9.305829596412556,-7.342799347232633,-5.37976909805271,-4.39825397346275,-11.0,-11.0,-11.0
