date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220916_0,1605.0,70.0,205.67275747508305,117.54278110978817,29.41280474449329,-14.65218343815414,285.0,310.0,310.0,-5.0,-480.0,-182.83222591362127,-112.10041946167544,-41.368613009729614,-6.0027097837567,-275.0,-299.75,-299.7499999999999
20220916_1,1605.0,-10.0,246.07046070460703,-79.5572865842363,-405.1850338730797,-567.9989075175013,451.9999999999999,1155.999999999974,1155.999999999974,-45.0,-480.0,-154.8780487804878,-85.69179433006931,-16.505539879650826,18.087587345558404,-265.0,-290.0,-290.0
20220916_2,315.0,30.0,106.33004926108374,34.40104150662644,-37.52796624783086,-73.49247012505951,245.0,265.0,265.0,0.0,-480.0,-134.05172413793105,-24.14929924648468,85.7531256449617,140.70433809068487,-305.0,-383.75,-383.7499999999999
20220919_0,365.0,20.0,102.56918474195962,30.94924299598327,-40.67069874999308,-76.48066962298125,255.0,290.0,290.0,-20.0,-540.0,-96.3537771129394,-28.960039156525937,38.43369879988754,72.13056777809427,-172.00000000000003,-265.0,-265.0
20220919_1,520.0,0.0,70.46747967479675,23.518619808039126,-23.430240058718496,-46.90466999209731,125.0,140.0,140.0,-5.0,-495.0,-71.58130081300813,-33.161016026311366,5.259268760385396,24.469411153733773,-120.49999999999996,-145.0,-145.0
20220919_2,520.0,10.0,80.34539473684211,15.873423800494637,-48.59854713585284,-80.83453260402658,171.50000000000034,230.0,230.0,-30.0,-495.0,-81.48026315789474,-45.68458260069104,-9.888902043487349,8.008938235114499,-106.5,-125.0,-125.0
20220920_0,1500.0,10.0,79.26622765757291,13.265473955512403,-52.7352797465481,-85.73565659757834,105.0,140.0,140.0,-20.0,-650.0,-85.48447789275635,-33.390152554270855,18.704172784214634,44.75133545345737,-130.0,-189.0,-188.9999999999996
20220920_1,1495.0,5.0,79.12747524752476,-52.70222728927428,-184.5319298260733,-250.4467810944728,95.0,140.0,140.0,-25.0,-640.0,-95.77351485148516,-0.4540457951227239,94.8654232612397,142.52515778942092,-130.0,-280.0,-280.0
20220920_2,150.0,10.0,59.05466970387244,28.51789316647797,-2.018883370916498,-17.287271639613735,86.99999999999989,140.49999999999983,140.49999999999983,-45.0,-325.0,-85.17084282460137,-52.35712385700532,-19.54340488940928,-3.136545405611244,-130.0,-150.0,-150.0
20220921_0,1480.0,10.0,80.79702444208289,8.167446682021989,-64.46213107803891,-100.77691995806936,160.0,205.0,205.0,-10.0,-790.0,-65.63761955366631,-9.687248039034507,46.2631234755973,74.23830923291321,-90.0,-110.0,-110.0
20220921_1,1480.0,0.0,48.22260569456428,-11.051490268780933,-70.32558623212614,-99.96263421379876,85.0,130.0,130.0,-25.0,-545.0,-71.35893011216567,-22.179702317061498,26.99952547804267,51.58913937559476,-105.0,-155.49999999999997,-155.49999999999977
20220921_2,600.0,10.0,72.93304994686504,-29.393891567725348,-131.72083308231572,-182.8843038396109,175.0,300.0,300.0,-25.0,-620.0,-78.1402763018066,-33.051174401942234,12.037927497922126,34.582478447854314,-120.0,-190.0,-189.9999999999996
20220922_0,400.0,-5.0,79.73997833152762,13.859181531668384,-52.02161526819086,-84.96201366812048,184.0000000000004,230.0,230.0,15.0,-600.0,-70.73131094257855,-13.261792802021787,44.20772533853497,72.94248440881336,-100.0,-199.5,-199.49999999999977
20220922_1,850.0,5.0,64.89067524115755,9.078366738177742,-46.73394176480207,-74.64009601629196,120.0,190.0,190.0,15.0,-550.0,-66.81350482315112,-38.90097463844885,-10.988444453746574,2.9678206386045645,-85.0,-96.5,-96.49999999999964
20220922_2,590.0,10.0,99.2127659574468,21.04261199181101,-57.127541973824776,-96.21261895664269,235.0,270.0,270.0,-15.0,-155.0,-60.7872340425532,-38.6008399232376,-16.414445803921993,-5.321248744264196,-85.0,-95.0,-95.0
20220923_0,555.0,-15.0,111.57597173144876,32.5036650054205,-46.56864172060776,-86.1047950836219,230.0,260.0,260.0,0.0,-305.0,-60.86572438162544,-22.0513974977085,16.76292938620844,36.17009282816692,-85.0,-110.0,-110.0
20220923_1,410.0,20.0,81.98107255520505,41.21017538986096,0.4392782245168689,-19.94617035815517,115.0,150.0,150.0,-5.0,-600.0,-50.17981072555205,-1.921157906250848,46.33749491305036,70.46682132270095,-70.0,-115.0,-115.0
20220923_2,370.0,50.0,91.13553113553114,63.02741624671498,34.919301357898824,20.865243913490744,105.0,115.0,115.0,-20.0,-595.0,-71.02564102564102,-5.558911135767971,59.90781875410508,92.6411836990416,-99.0,-211.0,-210.99999999999983
20220926_0,1670.0,1670.0,1670.0,,,,1670.0,1670.0,1670.0,-2150.0,-2150.0,-2150.0,,,,-2150.0,-2150.0,-2150.0
20220926_1,435.0,5.0,90.09361233480176,41.84973259144072,-6.394147151920322,-30.516087023600846,145.0,195.0,195.0,-10.0,-365.0,-66.01321585903084,-21.3878879465027,23.23743996602544,45.550103922289495,-80.0,-105.0,-105.0
20220926_2,1795.0,-25.0,113.54037267080746,-87.10225438597213,-287.7448814427517,-388.0661949711415,220.0,275.0,275.0,15.0,-495.0,-75.48913043478261,-2.8416604622105126,69.80580951036158,106.12954449664764,-141.49999999999991,-195.0,-195.0
20220927_0,1115.0,5.0,92.61789924973203,-23.20411119317756,-139.02612163608717,-196.93712685754195,170.0,265.0,265.0,0.0,-640.0,-81.14147909967846,-3.674652680546629,73.7921737385852,112.52558694815112,-135.0,-240.0,-240.0
20220927_1,1995.0,-10.0,94.05857740585776,-29.507092788225933,-153.0727629823096,-214.8555980793514,135.0,250.0,250.0,25.0,-260.0,-55.2510460251046,-20.460580328980328,14.329885367143945,31.72511821520608,-95.0,-115.0,-115.0
20220927_2,1075.0,-20.0,107.25596529284164,40.9111319754215,-25.433701341998656,-58.60611800070872,200.0,220.0,220.0,30.0,-255.0,-55.65075921908894,-18.33793216996296,18.974894879163017,37.63130840372601,-100.0,-120.0,-120.0
20220928_0,1885.0,45.0,140.96026490066225,-57.29338069724472,-255.54702629515168,-354.67384909410515,206.00000000000023,305.49999999999955,305.49999999999955,35.0,-490.0,-37.10448859455482,0.2685775049195555,37.641643604393934,56.32817665413113,-65.0,-75.0,-75.0
20220928_1,1355.0,15.0,133.76260667183865,24.617424347045585,-84.52775797774746,-139.10034914014398,191.5000000000009,280.0,280.0,75.0,-1090.0,-40.19976726144298,25.44550930888999,91.09078587922296,123.91342416438944,-80.0,-110.0,-110.0
20220928_2,1160.0,45.0,146.98887343532684,-1.4904467110310406,-149.96976685738892,-224.20942693056784,246.00000000000023,390.5000000000001,390.5000000000001,15.0,-1090.0,-67.02364394993046,69.49306351806007,206.0097709860506,274.2681247200459,-110.0,-291.0,-290.99999999999966
20220929_0,1425.0,30.0,110.0979872881356,-17.781267483419256,-145.66052225497413,-209.6001496407516,140.0,215.0,215.0,-5.0,-1665.0,-63.302436440677965,85.78680410832722,234.8760446573324,309.4206649318349,-75.0,-95.0,-95.0
20220929_1,295.0,5.0,72.65320836337419,33.697354105396336,-5.258500152581519,-24.73642728157044,115.0,155.0,155.0,-5.0,-1145.0,-53.52919971160779,-3.2529099161895374,47.02337987922871,72.16152477693784,-105.0,-128.5,-128.49999999999966
20220929_2,255.0,25.0,79.30985915492958,45.58355198283125,11.857244810732922,-5.005908775316243,130.0,145.0,145.0,-5.0,-1145.0,-57.7887323943662,24.65993787812865,107.1086081506235,148.33294328687091,-80.0,-110.0,-110.0
20220930_0,1630.0,20.0,133.5334750265675,-32.97945628837522,-199.49238760331792,-282.7488532607893,230.0,285.0,285.0,10.0,-1040.0,-66.1663124335813,41.28350138792207,148.73331520942543,202.45822212017708,-85.0,-105.0,-105.0
20220930_1,1065.0,15.0,89.51254480286738,-39.84997599261217,-169.21249678809173,-233.8937571858315,120.0,155.0,155.0,-10.0,-385.0,-53.97849462365591,-22.969987496876985,8.038519629901941,23.542773193291403,-90.0,-110.0,-110.0
20220930_2,1015.0,20.0,96.77058823529411,-20.904476270679808,-138.57954077665374,-197.4170730296408,140.0,172.74999999999977,172.74999999999977,-10.0,-380.0,-67.7764705882353,-23.649051360577417,20.478367867080465,42.5420774809094,-85.0,-117.75,-117.7499999999998
20221010_1,1580.0,20.0,115.13090229079008,-28.118364237124183,-171.36763076503846,-242.9922640289956,185.0,280.0,280.0,10.0,-480.0,-68.88966806919122,-0.7651948246392948,67.35927841991263,101.4215150421886,-140.99999999999994,-215.5,-215.4999999999996
20221010_2,270.0,40.0,91.38164754953075,44.3802892762061,-2.621068997118556,-26.121748133780883,145.0,215.0,215.0,-15.0,-275.0,-42.0281543274244,-14.931708631620012,12.16473706418438,25.71295991208657,-65.0,-80.0,-80.0
20221011_0,1200.0,45.0,120.07276507276508,41.87866292381717,-36.31543922513073,-75.41249029960467,215.0,235.0,235.0,0.0,-565.0,-67.8066528066528,-8.077036013017327,51.65258078061815,81.51738917743589,-120.0,-165.0,-164.9999999999999
20221011_1,1015.0,-20.0,73.72511485451761,29.68488319327374,-14.355348467970131,-36.375464298592064,110.0,125.0,125.0,10.0,-105.0,-36.18683001531394,-15.934392226734596,4.318045561844748,14.44426445613442,-65.0,-75.0,-75.0
20221011_2,750.0,50.0,108.45188284518828,70.94058864358836,33.42929444198843,14.67364734118847,145.0,165.0,165.0,120.0,-220.0,-4.567642956764296,40.79504766187998,86.15773828052426,108.83908358984638,-55.0,-95.99999999999996,-95.99999999999984
20221012_0,430.0,50.0,106.71584699453553,71.3913723024165,36.066897610297474,18.40466026423796,140.0,180.0,180.0,40.0,-550.0,-9.595628415300547,41.08734796389287,91.77032434308629,117.11181253268298,-55.0,-95.0,-95.0
20221012_1,310.0,40.0,87.24386113463167,53.96787386441203,20.691886594192383,4.05389295908256,115.0,165.0,165.0,35.0,-545.0,-9.352243861134632,31.769005816441563,72.89025549401777,93.45088033280588,-60.0,-90.0,-90.0
20221012_2,225.0,25.0,91.05737704918032,59.45555964277192,27.85374223636352,12.052833533159315,135.0,155.0,155.0,30.0,-215.0,-19.081967213114755,7.5960651032834114,34.27409741968158,47.61311357788067,-45.0,-65.0,-65.0
20221013_0,600.0,10.0,97.56941176470588,38.93471398841732,-19.69998378787124,-49.01733267601551,165.0,200.0,200.0,20.0,-565.0,-32.25411764705883,12.057433310272051,56.36898426760293,78.52475974626839,-65.0,-80.0,-80.0
20221013_1,235.0,35.0,75.60379918588873,46.1938676583609,16.783936130833077,2.078970367069161,115.0,145.0,145.0,45.0,-535.0,-9.521709633649932,21.08083636583938,51.68338236532869,66.98465536507335,-45.0,-60.0,-60.0
