date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,0.160003662109375,-0.6199951171875,-0.4462504968410585,-0.5244864624840023,-0.6027224281269462,-0.6418404109484181,-0.360015869140625,-0.339996337890625,-0.339996337890625,-0.639984130859375,-2.040008544921875,-0.8368593541587271,-0.7290428431842682,-0.6212263322098093,-0.5673180767225797,-0.899993896484375,-0.94000244140625,-0.94000244140625
20220908_2,-0.019989013671875,-0.6199951171875,-0.4404562264253895,-0.5335208163204144,-0.6265854062154393,-0.6731177011629518,-0.3339996337890611,-0.279998779296875,-0.279998779296875,-0.720001220703125,-2.079986572265625,-0.8548990593940275,-0.746120840517979,-0.6373426216419305,-0.5829535122039061,-0.959991455078125,-1.019989013671875,-1.019989013671875
20220909_0,1.720001220703125,-0.639984130859375,-0.3162317832914055,-0.4593427637379814,-0.6024537441845572,-0.6740092344078452,-0.199981689453125,-0.05999755859375,-0.05999755859375,-0.58001708984375,-3.600006103515625,-0.8973797250997505,-0.7835525446169971,-0.6697253641342438,-0.6128117738928671,-0.96002197265625,-1.02001953125,-1.02001953125
20220909_1,2.67999267578125,-0.52001953125,-0.2944175276176008,-0.5636408529454249,-0.8328641782732488,-0.9674758409371608,-0.17999267578125,-0.040008544921875,-0.040008544921875,-0.6199951171875,-3.239990234375,-0.8793664760690517,-0.6839876242068303,-0.4886087723446089,-0.3909193464134982,-0.980010986328125,-1.0450057983398438,-1.045005798339843
20220909_2,0.600006103515625,-0.55999755859375,-0.3215460293534873,-0.4643708702400146,-0.607195711126542,-0.6786081315698056,-0.1400146484375,-0.0730102539062506,-0.0730102539062506,-0.55999755859375,-3.100006103515625,-0.8030430890511775,-0.6319890873870206,-0.4609350857228638,-0.3754080848907853,-0.899993896484375,-0.94000244140625,-0.94000244140625
20220913_1,31.339996337890625,-0.6199951171875,-0.2350645142305543,-1.4964034906271786,-2.757742467023803,-3.3884119552221152,-0.139984130859375,-0.019989013671875,-0.019989013671875,-0.58001708984375,-31.8800048828125,-0.9168621974007892,0.1489241782179298,1.214710553836649,1.7476037416460086,-1.08001708984375,-1.17999267578125,-1.17999267578125
20220913_2,0.519989013671875,-0.540008544921875,-0.2635588397519258,-0.3751084524614333,-0.4866580651709408,-0.5424328715256945,-0.139984130859375,-0.079986572265625,-0.079986572265625,-0.6199951171875,-2.5,-0.8742057674267392,-0.7511113479846755,-0.6280169285426118,-0.56646971882158,-0.94000244140625,-0.980010986328125,-0.980010986328125
20220914_0,4.399993896484375,-0.720001220703125,-0.1759928885099776,-0.3360863097007306,-0.4961797308914835,-0.5762264414868601,0.0,0.040008544921875,0.040008544921875,-0.5,-2.6400146484375,-0.8588169874041699,-0.7555997884454534,-0.652382589486737,-0.6007739900073787,-0.959991455078125,-1.019989013671875,-1.019989013671875
20220914_1,3.739990234375,-0.5,-0.1751998973683723,-0.4536378829649331,-0.7320758685614939,-0.8712948613597744,-0.029998779296875,0.0550003051757812,0.0550003051757812,-0.540008544921875,-4.459991455078125,-0.7444864185688809,-0.5500228212055664,-0.3555592238422519,-0.2583274251605947,-0.82000732421875,-0.8949966430664062,-0.8949966430664051
20220914_2,0.579986572265625,-0.600006103515625,-0.2759932545032578,-0.3864929446306981,-0.4969926347581385,-0.5522424798218586,-0.160003662109375,-0.100006103515625,-0.100006103515625,-0.44000244140625,-2.800018310546875,-0.7759157868049406,-0.6337506346896297,-0.4915854825743188,-0.4205029065166634,-0.839996337890625,-0.91998291015625,-0.91998291015625
