date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,68.0,19.0,33.935960591133004,27.161361574165337,20.38676255719767,16.99946304871384,41.0,46.0,46.0,32.0,-54.0,16.489092188599578,24.49679450754347,32.50449682648737,36.50834798595931,9.0,6.0,6.0
20220908_2,64.0,34.0,48.41538461538462,42.23739545248039,36.059406289576174,32.97041170812406,56.0,58.0,58.0,36.0,-57.0,15.432167832167831,34.251278006639616,53.0703881811114,62.47994326834728,-2.5999999999999943,-37.3,-37.29999999999997
20220909_0,108.0,36.0,48.16442307692308,41.92267135670009,35.680919636477114,32.560043776365625,54.0,58.0,58.0,36.0,-48.0,22.110576923076923,35.25669012264534,48.40280332221374,54.97585992199795,6.900000000000006,-12.049999999999995,-12.049999999999956
20220909_1,82.0,25.0,47.42004590665646,42.493293391042215,37.56654087542796,35.103164617620834,52.0,57.0,57.0,42.0,-42.0,22.052792654934965,32.58398883030999,43.11518500568501,48.38078309337252,13.0,4.0,4.0
20220909_2,65.0,37.0,45.152,40.06673975151007,34.98147950302015,32.43884937877518,53.0,56.0,56.0,36.0,5.0,20.6624,24.71251997289856,28.762639945797112,30.78769993224639,17.0,15.0,15.0
20220913_1,98.0,24.0,49.98253676470589,40.943837427976206,31.90513809124653,27.385788422881696,62.5,70.0,70.0,42.0,-67.0,20.63051470588235,32.82429367042431,45.01807263496627,51.114962117237255,14.0,6.0,6.0
20220913_2,79.0,35.0,44.09328968903437,36.83163239565015,29.56997510226593,25.93914645557382,56.90000000000009,61.0,61.0,34.0,-30.0,16.626841243862522,26.566208599450142,36.50557595503777,41.47525963283158,1.0,-4.0,-4.0
20220914_0,116.0,34.0,43.98847786537295,37.84977064127792,31.71106341718289,28.641709805135378,50.0,55.0,55.0,33.0,-66.0,19.02607640994542,28.531053348293405,38.036030286641385,42.788518755815375,6.0,-3.0,-3.0
20220914_1,102.0,26.0,43.89168765743073,38.536121428471695,33.18055519951266,30.502772085033143,49.0,54.0,54.0,41.0,-64.0,21.81486146095718,28.925239614772146,36.03561776858711,39.59080684549459,16.0,12.0,12.0
20220914_2,79.0,31.0,42.93862134088763,35.3601091355243,27.78159693016096,23.992340827479293,53.0,57.0,57.0,31.0,-5.0,19.956562795089702,25.81403841933546,31.67151404358121,34.60025185570409,13.0,8.0,8.0
20220915_0,184.0,38.0,46.39039204859194,40.26468348334631,34.138974918100686,31.076120635477867,52.0,56.0,56.0,31.0,-22.0,18.292655991165105,25.50593764541805,32.71921929967101,36.32586012679748,10.0,5.0,5.0
20220915_1,138.0,36.0,47.52268811028145,39.73541755796543,31.948147005649403,28.05451172949139,58.0,62.0,62.0,37.0,-18.0,20.73520964962665,27.196808489549376,33.6584073294721,36.889206749433455,15.0,5.0,5.0
20220915_2,76.0,37.0,47.57786885245902,38.98806679108696,30.39826472971489,26.10336369902886,62.0,66.0,66.0,35.0,-7.0,23.174180327868854,28.017403385282044,32.860626442695235,35.28223797140183,18.0,16.0,16.0
20220916_0,112.0,33.0,45.19722557297949,38.48688499799759,31.776544423015697,28.421374135524747,53.0,59.0,59.0,32.0,-82.0,19.31121833534379,28.47417712183685,37.6371359083299,42.21861530157644,4.0,0.0,0.0
20220916_1,56.0,35.0,41.869565217391305,38.527426868992094,35.18528852059288,33.51421934639328,46.0,47.0,47.0,32.0,-8.0,23.23007246376812,30.85796340031998,38.485854336871846,42.29979980514778,11.0,4.550000000000001,4.550000000000026
20220916_2,123.0,29.0,41.46800947867298,35.42347955976299,29.378949640852987,26.35668468139799,44.0,47.0,47.0,36.0,-38.0,17.172985781990523,27.60964123653648,38.04629669108243,43.26462441835541,4.0,-4.0,-4.0
20220919_0,124.0,29.0,41.86806883365201,35.52601034437279,29.18395185509357,26.012922610453963,48.0,52.0,52.0,31.0,-23.0,20.51434034416826,26.127255431445544,31.740170518722827,34.54662806236147,13.0,11.0,11.0
20220919_1,75.0,28.0,41.90392422192152,35.366579946993646,28.82923567206577,25.56056353460184,49.0,56.0,56.0,39.0,-9.0,22.5,27.92864715052488,33.35729430104975,36.07161787631218,17.0,14.0,14.0
20220919_2,58.0,23.0,36.37956204379562,32.22408340326688,28.068604762738143,25.990865442473773,42.0,43.0,43.0,30.0,-10.0,15.672992700729926,21.528807819824017,27.38462293891811,30.31253049846516,8.0,7.0,7.0
