date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,-4.0,-17.0,-10.356470969834575,-12.456904966284627,-14.55733896273468,-15.607555960959708,-8.0,-7.0,-7.0,-10.0,-22.0,-14.932533246837496,-12.942945904665976,-10.953358562494458,-9.9585648914087,-18.0,-19.0,-19.0
20220908_2,-6.0,-20.0,-14.260159893404396,-17.078071324377028,-19.89598275534966,-21.30493847083597,-10.0,-10.0,-10.0,-12.0,-24.0,-18.525982678214525,-15.874477264923016,-13.222971851631506,-11.897219144985751,-22.0,-22.0,-22.0
20220909_0,5.0,-26.0,-11.5666474321985,-16.788074868801417,-22.00950230540433,-24.620216023705787,-7.0,-7.0,-7.0,-10.0,-41.0,-16.9311406039623,-11.925269707952843,-6.9193988119433865,-4.416463363938657,-25.0,-26.0,-26.0
20220909_1,-1.0,-25.0,-13.195241427571728,-17.54984495078791,-21.90444847400409,-24.081750235612184,-9.0,-9.0,-9.0,-10.0,-35.0,-18.27315138791696,-13.50001680483724,-8.726882221757522,-6.340314930217664,-27.0,-28.0,-28.0
20220909_2,3.0,-20.0,-11.546142754145638,-14.890842353271282,-18.23554195239693,-19.90789175195975,-7.0,-6.0,-6.0,-10.0,-39.0,-16.74729632299928,-13.913401308551704,-11.079506294104132,-9.662558786880345,-20.0,-21.0,-21.0
20220913_1,25.0,-21.0,-11.87450278440732,-14.886177279066176,-17.89785177372503,-19.403689021054458,-8.0,-7.0,-7.0,-4.0,-45.0,-17.861774065234687,-14.697957693935804,-11.534141322636923,-9.952233136987482,-22.0,-22.0,-22.0
20220913_2,-4.0,-17.0,-12.039392695937629,-14.033042127175648,-16.026691558413667,-17.023516274032676,-9.0,-9.0,-9.0,-11.0,-24.0,-16.994665572425113,-14.918238861250192,-12.841812150075272,-11.803598794487812,-20.0,-20.0,-20.0
20220914_0,20.0,-19.0,-8.702713987473905,-12.46198358366951,-16.221253179865116,-18.10088797796292,-3.0,-2.0,-2.0,-1.0,-34.0,-16.31732776617954,-12.370519666817431,-8.423711567455324,-6.45030751777427,-21.0,-23.0,-23.0
20220914_1,2.0,-16.0,-11.668770581778263,-13.56008059143377,-15.451390601089276,-16.39704560591703,-9.0,-8.0,-8.0,-12.0,-43.0,-16.735181119648736,-15.041394555898366,-13.347607992147996,-12.50071471027281,-19.0,-19.0,-19.0
20220914_2,0.0,-14.0,-10.280023432923258,-11.725830078916507,-13.17163672490976,-13.894540047906386,-9.0,-8.0,-8.0,-7.0,-22.0,-16.04042179261863,-14.39903679136561,-12.757651790112591,-11.93695928948608,-18.0,-19.0,-19.0
