date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,130.0,12.0,28.00701754385965,15.667914184723797,3.328810825587944,-2.840740853979984,37.0,51.80000000000001,51.80000000000001,19.0,-153.0,-4.989473684210527,11.197915819578167,27.38530532336686,35.47900007526121,-21.0,-25.8,-25.799999999999983
20220908_2,235.0,10.0,29.426944971537,5.883564681571073,-17.659815608394855,-29.431505753377817,36.400000000000034,54.69999999999999,54.69999999999999,12.0,-291.0,-7.516129032258065,18.683006475176853,44.88214198261177,57.98170973632922,-19.0,-34.4,-34.39999999999996
20220909_0,268.0,13.0,33.75992779783393,9.204971521096963,-15.34998475564,-27.62746289400848,40.0,53.0,53.0,6.0,-194.0,-6.1389891696750905,13.04878090647922,32.23655098263353,41.830436020710685,-15.699999999999996,-22.0,-22.0
20220909_1,268.0,16.0,32.13651315789474,14.97310290779187,-2.190307342311001,-10.772012467362435,41.30000000000007,52.0,52.0,17.0,-94.0,-2.8536184210526314,7.557373428940126,17.968365278932886,23.173861203929263,-16.299999999999997,-23.65,-23.649999999999974
20220909_2,88.0,13.0,24.557275541795665,18.939068006619262,13.32086047144286,10.511756703854658,29.0,31.899999999999977,31.899999999999977,11.0,-107.0,-7.869969040247678,9.61441074098684,27.09879052222136,35.84098041283862,-17.799999999999997,-27.9,-27.899999999999984
20220913_1,270.0,8.0,28.789156626506024,4.5448619270837085,-19.699432772338607,-31.821580122049763,40.0,54.0,54.0,9.0,-254.0,-8.885542168674698,16.224273096678125,41.33408836203095,53.88899599470736,-21.0,-31.0,-31.0
20220913_2,75.0,16.0,26.19796954314721,17.274961997097073,8.35195445104694,3.890450678021871,40.0,45.0,45.0,5.0,-96.0,-5.091370558375634,3.676933878324607,12.445238315024849,16.82939053337497,-18.0,-24.0,-24.0
20220914_0,220.0,14.0,32.08695652173913,12.295265869790558,-7.496424782158016,-17.3922701081323,42.30000000000007,54.0,54.0,3.0,-186.0,-10.536789297658864,8.010298254725136,26.55738580710913,35.830929583301135,-21.0,-27.15,-27.149999999999974
20220914_1,220.0,7.0,27.27337488869101,13.086907424974637,-1.0995600387417357,-8.192793770599923,38.0,45.0,45.0,6.0,-186.0,-7.680320569902048,7.226945812117443,22.134212194136936,29.58784538514668,-20.0,-25.9,-25.89999999999995
20220914_2,110.0,17.0,24.97737556561086,15.578218253591285,6.179060941571709,1.4794822855619216,31.0,39.0,39.0,3.0,-39.0,-10.0,-2.7876397351789777,4.424720529642045,8.030900662052556,-20.0,-24.0,-24.0
20220915_0,215.0,14.0,30.3960113960114,7.692207157454238,-15.01159708110292,-26.363499200381497,39.0,49.0,49.0,9.0,-224.0,-8.552706552706553,14.73044338936682,38.01359333144019,49.65516830247688,-22.0,-32.0,-31.99999999999997
20220915_1,99.0,8.0,29.27272727272728,20.093262133387352,10.91379699404743,6.324064424377468,39.0,46.04999999999996,46.04999999999996,10.0,-224.0,-10.018181818181818,10.126502957334225,30.271187732850265,40.343530120608285,-25.0,-28.0,-28.0
20220915_2,55.0,13.0,30.215238095238096,22.334364774095988,14.453491452953882,10.513054792382828,41.0,45.0,45.0,4.0,-170.0,-10.6,3.5105233860763683,17.621046772152738,24.67630846519092,-24.599999999999994,-30.0,-30.0
20220916_0,216.0,15.0,29.19023779724656,15.417144460283524,1.6440511233204944,-5.242495545161024,39.200000000000045,46.09999999999991,46.09999999999991,14.0,-230.0,-5.359198998748435,13.175260876477644,31.709720751703724,40.976950689316766,-16.0,-20.0,-20.0
20220916_1,147.0,19.0,27.895043731778426,15.39121723274361,2.887390733708795,-3.3645225158086127,38.80000000000001,45.0,45.0,6.0,-226.0,-7.892128279883382,14.989272575534054,37.87067343095149,49.31137385866021,-17.799999999999997,-25.8,-25.79999999999997
20220916_2,102.0,12.0,23.30046948356808,15.04620520713202,6.7919409306959615,2.664808792477931,30.0,41.44999999999993,41.44999999999993,4.0,-174.0,-8.422535211267606,6.044571095558263,20.51167740238413,27.745230555797065,-22.0,-27.0,-27.0
20220919_0,184.0,15.0,26.38695652173913,11.318092699052778,-3.750771123633573,-11.285203034976746,36.0,46.54999999999996,46.54999999999996,8.0,-240.0,-10.227536231884056,15.069057870214383,40.365651972312826,53.013949023362045,-24.0,-31.0,-31.0
20220919_1,133.0,11.0,29.17480314960629,20.46754187997296,11.76028061033961,7.406649975522939,37.0,45.29999999999996,45.29999999999996,9.0,-236.0,-10.533858267716536,10.123250027078988,30.780358321874512,41.10891246927227,-25.0,-32.0,-32.0
20220919_2,89.0,13.0,23.64864864864865,14.503221068415654,5.357793488182658,0.7850796980661592,28.0,38.25,38.25,3.0,-132.0,-14.408783783783784,2.0782462662809014,18.56527631634559,26.808791341377933,-28.0,-33.25,-33.249999999999986
20220920_0,221.0,7.0,31.80195258019526,13.39220453743964,-5.017543505315981,-14.222417526693793,40.0,47.0,47.0,7.0,-186.0,-9.231520223152025,12.530510663880394,34.29254155091281,45.17355699442901,-20.0,-28.0,-28.0
20220920_1,182.0,12.0,29.98107255520505,16.38048637285923,2.779900190513416,-4.020392900659488,38.0,47.0,47.0,7.0,-152.0,-7.537854889589905,7.337593859473785,22.213042608537474,29.65076698306932,-20.0,-24.35,-24.349999999999973
20220920_2,128.0,11.0,28.6675,20.543958681160216,12.420417362320432,8.35864670290054,35.0,41.0,41.0,9.0,-43.0,-7.555,-0.7773295268502016,6.0003409462995965,9.389176182874497,-15.0,-19.05,-19.049999999999983
20220921_0,260.0,15.0,36.5735056542811,6.283125520829238,-24.007254612622624,-39.15244467934856,45.0,54.10000000000002,54.10000000000002,4.0,-230.0,-15.134087237479806,14.813652323103025,44.76139188368585,59.73526166397727,-25.0,-31.1,-31.099999999999973
20220921_1,174.0,24.0,32.80077745383868,19.089462599420035,5.378147745001392,-1.4775096822079306,41.0,46.0,46.0,6.0,-99.0,-6.032069970845481,1.952103436039435,9.93627684292435,13.92836354636681,-13.0,-17.599999999999994,-17.59999999999995
20220921_2,61.0,18.0,31.415335463258785,24.30050444296854,17.18567342267829,13.628257912533163,42.0,46.75,46.75,0.0,-95.0,-16.62619808306709,-6.402263001001073,3.8216720810649454,8.933639622097957,-27.0,-33.0,-33.0
20220922_0,340.0,20.0,34.56568778979907,3.474765541709715,-27.61615670637964,-43.16161783042432,38.0,51.0,51.0,10.0,-220.0,-14.800618238021638,16.052305607765007,46.905229453551655,62.331691376444965,-25.0,-33.0,-33.0
20220922_1,336.0,12.0,36.91173794358508,-0.4959558407524724,-37.903649625090026,-56.6074965172588,49.0,54.09999999999991,54.09999999999991,8.0,-206.0,-11.56596906278435,10.25116227273375,32.06829360825185,42.9768592760109,-22.0,-31.0,-31.0
20220922_2,79.0,16.0,44.21052631578947,32.57780849754041,20.94509067929135,15.12873177016682,56.0,78.0,78.0,15.0,-202.0,-14.257309941520468,15.690554399753877,45.63841874102822,60.6123509116654,-18.0,-23.5,-23.5
