date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,10.5,6.0,7.486016451233842,6.968477798214416,6.450939145194988,6.192169818685274,8.0,8.5,8.5,7.0,2.5,5.308460634547591,5.785457443843125,6.262454253138659,6.500952657786426,4.5,4.5,4.5
20220908_2,11.5,7.0,9.321642580190344,8.708622372623045,8.095602165055748,7.789092061272099,10.0,10.5,10.5,8.5,2.5,7.013041945717307,7.651357078506491,8.289672211295676,8.608829777690266,6.0,6.0,6.0
20220909_0,16.0,8.0,9.46750764525994,8.884677605579064,8.301847565898187,8.01043254605775,10.0,10.0,10.0,8.5,-7.5,7.099388379204893,7.863454959754731,8.627521540304569,9.009554830579487,6.5,6.5,6.5
20220909_1,15.5,8.5,9.70360576923077,9.18896185484859,8.674317940466409,8.416995983275319,10.5,10.5,10.5,9.0,0.5,7.517788461538461,8.022201221319962,8.526613981101463,8.778820360992214,7.0,7.0,7.0
20220909_2,13.5,9.5,11.059012444801285,10.55091528960143,10.042818134401578,9.78876955680165,11.5,12.0,12.0,10.5,7.5,9.02529104777198,9.541458054769324,10.057625061766668,10.31570856526534,8.5,8.0,8.0
20220913_1,38.5,8.5,10.25559622694636,9.147637826195252,8.039679425444143,7.485700225068589,11.5,11.5,11.5,11.0,-4.0,7.968956778825849,8.98670998824717,10.00446319766849,10.513339802379152,7.0,7.0,7.0
20220913_2,14.0,9.5,11.112369337979096,10.625387170754925,10.138405003530757,9.894913919918672,11.5,12.0,12.0,10.5,1.5,9.044279907084784,9.539243597028156,10.03420728697153,10.281689131943214,8.5,8.5,8.5
20220914_0,18.0,9.0,10.71875,9.95133101708345,9.183912034166903,8.800202542708629,11.5,11.5,11.5,11.5,1.0,8.44311797752809,9.335760406160295,10.2284028347925,10.674724049108605,7.5,7.5,7.5
20220914_1,15.0,8.5,10.445127719962157,9.88456140406469,9.323995088167225,9.043711930218493,11.0,11.0,11.0,9.5,4.5,8.21996215704825,8.711295899478193,9.202629641908135,9.448296513123108,7.5,7.5,7.5
20220914_2,15.0,9.0,10.522783251231528,10.086970842424613,9.6511584336177,9.433252229214242,11.0,11.0,11.0,9.5,1.0,8.244252873563218,8.6574189136558,9.07058495374838,9.277167973794672,8.0,7.5,7.5
20220915_0,23.0,10.0,11.479985443959244,10.850226271820636,10.220467099682024,9.90558751361272,12.0,12.0,12.0,11.5,-1.5,9.201874090247452,9.805814848791556,10.40975560733566,10.711725986607712,8.5,8.5,8.5
20220915_1,16.0,10.0,12.228346456692911,11.369871443461054,10.511396430229194,10.082158923613266,13.0,13.5,13.5,12.0,5.5,10.013385826771652,10.899229710562702,11.785073594353747,12.227995536249274,8.5,8.5,8.5
20220915_2,17.0,8.0,10.17862284069098,9.454204668438043,8.729786496185106,8.367577410058638,11.0,11.0,11.0,9.5,4.0,7.913747600767754,8.623520691809524,9.333293782851294,9.68818032837218,7.0,6.5,6.5
20220916_0,16.5,8.0,9.72500889363216,9.097925814634076,8.470842735635992,8.157301196136949,10.5,10.5,10.5,9.0,-1.0,7.619530416221985,8.193172475914912,8.766814535607837,9.0536355654543,7.0,6.5,6.5
20220916_1,11.0,8.5,9.247113997113996,8.793398126809247,8.3396822565045,8.112824321352125,9.5,10.0,10.0,8.0,6.0,7.04004329004329,7.399573265398298,7.759103240753308,7.938868228430811,6.5,6.5,6.5
20220916_2,15.0,9.0,10.74109548039509,10.082652481497735,9.424209482600382,9.094987983151704,11.5,12.0,12.0,10.5,4.0,8.578419634839868,9.18476187720128,9.791104119562693,10.094275240743398,8.0,7.5,7.5
20220919_0,20.5,9.5,10.907105943152455,10.24485444646862,9.582602949784784,9.251477201442867,11.5,11.5,11.5,10.5,2.0,8.641602067183463,9.191491519450006,9.741380971716548,10.016325697849815,8.0,8.0,8.0
20220919_1,16.0,9.0,10.981071818040194,10.300411425064445,9.61975103208869,9.279420835600812,12.0,12.0,12.0,11.5,4.5,8.811808692942826,9.55476826246866,10.297727831994496,10.669207616757411,8.0,7.5,7.5
20220919_2,14.0,9.0,10.471605744125329,9.947218013763798,9.422830283402272,9.160636418221507,11.0,11.0,11.0,10.0,4.5,8.490970409051348,9.062392717142338,9.633815025233329,9.919526179278824,7.5,7.5,7.5
20220920_0,18.0,7.0,9.527461041429117,8.564520892127344,7.601580742825574,7.120110668174688,11.0,11.0,11.0,10.0,-1.0,7.317464842265299,8.25146077867883,9.18545671509236,9.652454683299126,6.0,6.0,6.0
20220920_1,14.0,6.0,10.116166281755197,9.401736439108635,8.687306596462076,8.330091675138794,11.0,11.0,11.0,10.0,4.5,8.05665896843726,8.784334569268738,9.512010170100217,9.875847970515956,7.0,7.0,7.0
20220920_2,12.5,8.0,9.616714150047484,8.88992943305955,8.163144716071615,7.799752357577648,10.5,11.0,11.0,9.5,4.0,7.524501424501424,8.24903608758453,8.973570750667635,9.335838082209188,6.5,6.5,6.5
20220921_0,24.0,7.5,9.069305381727158,8.416830618596459,7.764355855465759,7.438118473900409,9.5,9.5,9.5,8.5,-9.0,6.787938047559449,7.361749776614852,7.935561505670256,8.222467370197958,6.5,6.0,6.0
20220921_1,15.5,7.0,8.49443234083757,8.029301004687149,7.564169668536728,7.331604000461517,9.0,9.0,9.0,8.0,3.5,6.549987896393125,6.943211423945469,7.336434951497812,7.533046715273984,6.0,6.0,6.0
20220921_2,14.0,7.0,9.090537033339988,8.43734820761746,7.7841593818949315,7.457564969033667,10.0,10.0,10.0,8.5,1.5,6.993910960271512,7.667399725931142,8.340888491590773,8.677632874420588,6.0,6.0,6.0
20220922_0,21.0,7.0,9.091592025426175,8.438129631281978,7.784667237137778,7.457936040065679,9.5,10.0,10.0,8.0,-6.0,6.827650967928345,7.57062262236575,8.313594276803157,8.685080104021859,6.5,6.0,6.0
20220922_1,13.5,7.0,9.589152352501866,8.900077985658761,8.211003618815656,7.866466435394104,10.5,11.0,11.0,9.5,-0.5,7.217979835698283,8.029458934096805,8.840938032495329,9.246677581694591,6.5,6.0,6.0
20220922_2,15.0,9.0,10.447050627032048,9.993356695207956,9.539662763383866,9.31281579747182,11.0,11.0,11.0,9.5,6.0,8.182303762192289,8.635347871862052,9.088391981531815,9.314914036366698,7.5,7.5,7.5
20220923_0,19.0,9.0,10.123945578231291,9.525386978183896,8.926828378136497,8.627549078112798,10.5,10.5,10.5,11.5,1.0,7.84530612244898,8.378449993473227,8.911593864497474,9.178165800009598,7.5,7.0,7.0
20220923_1,17.0,9.0,10.907116204690832,10.348888442548224,9.790660680405614,9.511546799334308,11.5,11.5,11.5,10.0,2.0,8.694962686567164,9.165540586945225,9.636118487323284,9.871407437512314,8.0,8.0,8.0
20220923_2,13.0,10.0,11.606241699867198,11.0672060854305,10.5281704709938,10.25865266377545,12.5,12.5,12.5,10.5,6.0,9.326693227091631,9.850886459967544,10.375079692843457,10.63717630928141,8.5,8.5,8.5
20220926_0,15.0,15.0,15.0,,,,15.0,15.0,15.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
20220926_1,13.5,9.0,10.07373497344143,9.707702978346871,9.341670983252316,9.158654985705038,10.5,10.5,10.5,9.5,3.5,7.967151244059267,8.310810336326213,8.65446942859316,8.826298974726633,7.5,7.5,7.5
20220926_2,11.5,8.0,9.663800248653128,9.270128571599876,8.876456894546623,8.679621056019995,10.0,10.0,10.0,9.0,0.5,7.4646705346042275,7.887276887812529,8.309883241020831,8.521186417624982,7.0,7.0,7.0
20220927_0,16.0,8.0,9.374071251666985,8.929065707084877,8.48406016250277,8.261557390211717,10.0,10.0,10.0,8.5,0.0,7.142884358925509,7.625792835317521,8.108701311709533,8.350155549905539,6.5,6.5,6.5
20220927_1,18.5,7.5,9.480452994104873,8.903209729088664,8.325966464072456,8.037344831564353,10.0,10.5,10.5,8.5,0.5,7.174371703381942,7.75006317285278,8.325754642323618,8.613600377059038,6.5,6.0,6.0
20220927_2,14.5,8.5,9.846264367816092,9.348877262329422,8.851490156842752,8.602796604099417,10.5,10.5,10.5,9.5,1.0,7.589994775339603,8.096355363436462,8.602715951533323,8.855896245581754,7.0,7.0,7.0
20220928_0,18.5,9.0,10.148573545757689,9.58292021857886,9.017266891400034,8.73444022781062,10.5,11.0,11.0,10.0,-1.5,7.921174509077436,8.422554807598521,8.923935106119606,9.174625255380148,7.5,7.5,7.5
20220928_1,17.5,9.0,10.185469814609412,9.818951613912498,9.452433413215582,9.269174312867126,10.5,10.5,10.5,9.5,1.5,7.892568531136112,8.31848442949388,8.744400327851649,8.957358277030533,7.5,7.5,7.5
20220928_2,17.0,7.5,9.984763529985374,9.411588974452345,8.838414418919314,8.551827141152799,10.5,10.5,10.5,9.0,1.5,7.673086299366163,8.360807131749713,9.048527964133264,9.39238838032504,7.5,6.5,6.5
20220929_0,15.5,7.0,8.783355176933158,8.165347769899746,7.547340362866336,7.238336659349631,9.5,9.5,9.5,8.0,-3.0,6.657667103538663,7.359173692078993,8.060680280619323,8.411433574889488,6.0,6.0,6.0
20220929_1,13.5,7.5,9.021242613001116,8.579207179267758,8.137171745534399,7.916154028667719,9.5,9.5,9.5,8.0,1.0,6.835808976201885,7.330058920656669,7.824308865111453,8.071433837338844,6.5,6.0,6.0
20220929_2,13.0,7.5,8.968840418428666,8.572216851972522,8.175593285516378,7.977281502288305,9.5,9.5,9.5,8.0,3.5,6.809926552414868,7.208381179549191,7.606835806683514,7.806063120250676,6.5,6.0,6.0
20220930_0,20.5,7.5,8.612608695652174,8.081827805788382,7.551046915924591,7.285656470992695,9.0,9.5,9.5,7.5,1.5,6.472608695652174,6.861083866536502,7.249559037420829,7.443796622862992,6.0,6.0,6.0
20220930_1,14.5,7.0,8.576462765957446,7.961891333196144,7.347319900434843,7.040034184054192,9.0,9.5,9.5,7.5,0.5,6.239228723404255,6.924567871673589,7.6099070199429235,7.95257659407759,5.5,5.0,5.0
20220930_2,12.0,5.0,7.650628306878307,6.76218692629058,5.873745545702853,5.429524855408989,8.5,9.0,9.0,7.5,2.0,5.453373015873016,6.3056676158169855,7.157962215760955,7.584109515732941,4.5,4.0,4.0
20221010_1,48.5,5.0,6.59107734268459,5.699385829896351,4.807694317108112,4.361848560713992,7.0,7.5,7.5,7.0,-11.0,4.367036820572764,5.025897167426868,5.684757514280972,6.014187687708024,4.0,3.5,3.5
20221010_2,14.5,5.5,6.6413276231263385,6.131768502095653,5.622209381064968,5.367429820549624,7.0,7.5,7.5,6.5,0.0,5.077920532952652,5.499475367125693,5.921030201298732,6.131807618385253,4.5,4.5,4.5
20221011_0,15.5,6.5,7.506884681583477,6.372414988310629,5.23794529503778,4.670710448401356,7.5,9.5,9.5,6.0,-9.0,5.100688468158348,6.356268925084558,7.61184938201077,8.239639610473876,5.0,3.5,3.5000000000000124
20221011_1,9.5,5.0,6.439569101418813,5.90803851741065,5.376507933402487,5.110742641398406,7.0,7.0,7.0,6.0,-4.5,4.652741285689262,5.23132569241926,5.809910099149256,6.099202302514255,4.0,4.0,4.0
20221011_2,8.5,4.5,5.936290089569488,5.49666927136294,5.057048453156391,4.837238044053117,6.5,6.5,6.5,5.5,-8.5,4.360300491187518,4.800086726534119,5.239872961880719,5.459766079554019,4.0,4.0,4.0
20221012_0,15.0,5.0,6.439445995275928,5.916164203211367,5.392882411146806,5.131241515114525,7.0,7.0,7.0,6.0,-7.5,4.455336053253167,4.9744529636309816,5.493569874008795,5.753128329197702,4.0,4.0,4.0
20221012_1,12.0,5.0,5.977051835853132,5.562895473856799,5.148739111860468,4.941660930862302,6.5,6.5,6.5,5.5,-2.5,4.502699784017278,4.974107180094688,5.445514576172096,5.681218274210801,4.0,4.0,4.0
20221012_2,8.5,5.0,6.3423347869842335,5.9607549951391965,5.57917520329416,5.388385307371642,7.0,7.0,7.0,5.5,2.5,4.698591076819859,5.097387118331947,5.496183159844034,5.695581180600079,4.0,4.0,4.0
