date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220928_1,409.0,351.0,376.6915887850468,362.3079052702262,347.9242217554056,340.7323799979953,399.9000000000001,403.7,403.7,390.0,346.0,365.196261682243,376.3473278662087,387.4983940501743,393.0739271421571,349.0,348.0,348.0
20220928_2,388.0,365.0,374.25531914893617,366.5813425563373,358.9073659637384,355.07037766743895,387.0,387.0,387.0,377.0,359.0,364.7021276595744,370.6727619337134,376.64339620785233,379.6287133449218,359.0,359.0,359.0
20220929_1,397.0,376.0,389.9710144927536,385.989546338724,382.0080781846945,380.0173441076797,395.0,395.0,395.0,393.0,357.0,378.8840579710145,386.1125478301517,393.3410376892888,396.95528261885744,369.0,365.0,365.0
20220929_2,392.0,381.0,387.11538461538464,382.84149249623215,378.56760037707966,376.4306543175034,392.0,392.0,392.0,385.0,376.0,381.7692307692308,384.8326627310369,387.8960946928431,389.4278106737461,378.5,377.25,377.25
20220930_1,420.0,389.0,399.7705882352941,390.7919637372552,381.8133392392164,377.3240269901969,416.0,418.0,418.0,412.0,364.0,389.3058823529412,399.4329139973524,409.5599456417636,414.6234614639692,377.0,376.0,376.0
20220930_2,424.0,404.0,416.7307692307692,411.81095059746417,406.8911319641592,404.4312226475067,423.0,423.75,423.75,414.0,395.0,403.6538461538461,408.3692872377093,413.08472832157247,415.44244886350407,399.0,398.25,398.25
20221010_1,396.0,336.0,355.61502347417843,342.1939699055887,328.77291633699895,322.0623895527041,377.8,385.0,385.0,362.0,311.0,338.55399061032864,346.17986176624936,353.8057329221701,357.61866850013047,328.0,325.0,325.0
20221010_2,360.0,341.0,351.7407407407408,346.9373728211026,342.1340049014645,339.7323209416454,358.3,359.0,359.0,350.0,332.0,341.7407407407408,345.75792432282367,349.7751079049066,351.78369969594803,335.0,335.0,335.0
20221011_1,371.0,356.0,361.20454545454544,357.10928701959307,353.0140285846407,350.9663993671645,366.7,367.85,367.85,360.0,342.0,351.27272727272725,355.9995120906122,360.7262969084972,363.0896893174397,343.3,343.0,343.0
20221011_2,374.0,361.0,368.54545454545456,365.4673467704169,362.3892389953792,360.85018510786034,372.6,373.0,373.0,363.0,352.0,357.03636363636366,359.81834026088694,362.6003168854102,363.9913051976719,353.0,353.0,353.0
20221012_1,367.0,344.0,359.72527472527474,355.67540248019526,351.6255302351158,349.600594112576,364.0,365.0,365.0,360.0,327.0,347.5274725274725,357.1009783979473,366.674484268422,371.4612372036594,334.0,329.0,329.0
20221012_2,379.0,357.0,368.8269230769231,362.3258789561196,355.8248348353161,352.5743127749144,377.9,378.0,378.0,366.0,352.0,358.6923076923077,363.40165784746296,368.1110080026183,370.4656830801959,352.0,352.0,352.0
20221013_1,362.0,333.0,347.6040268456376,339.5301962534275,331.4563656612175,327.4194503651125,358.0,358.0,358.0,353.0,321.0,338.0536912751678,347.23047251834487,356.407253761522,360.9956443831104,325.0,323.0,323.0
20221013_2,350.0,337.0,342.6,339.26883965959564,335.9376793191912,334.272099148989,347.0,347.0,347.0,340.0,327.0,333.06666666666666,335.69665790858824,338.32664915050987,339.6416447714706,330.0,329.0,329.0
20221014_1,361.0,336.0,348.38461538461536,342.7575408683737,337.1304663521321,334.31692909401124,354.6,359.1,359.1,345.0,319.0,335.61538461538464,341.9880870274221,348.36078943945967,351.5471406454784,325.0,322.9,322.9
20221014_2,345.0,333.0,339.34090909090907,336.4000724608722,333.4592358308353,331.9888175158169,343.0,343.85,343.85,337.0,323.0,331.40909090909093,334.04443371648307,336.67977652387526,337.99744792757133,329.0,326.45,326.45
20221017_1,377.0,344.0,354.2386363636364,348.284801864294,342.3309673649517,339.35405011528053,361.0,365.6,365.6,363.0,335.0,343.9886363636364,349.7451805020907,355.50172464054504,358.3799967097722,337.0,337.0,337.0
20221017_2,363.0,357.0,360.4705882352941,358.4054718021716,356.3403553690489,355.3077971524877,363.0,363.0,363.0,358.0,349.0,352.5882352941176,354.96149316910225,357.33475104408683,358.5213799815792,350.0,349.8,349.8
20221018_1,398.0,362.0,381.9246575342466,372.4370353864248,362.9494132386029,358.205602164692,394.5,397.0,397.0,394.0,346.0,371.74657534246575,381.5070244869048,391.2674736313438,396.1476982035634,358.0,353.25,353.25
20221018_2,390.0,378.0,386.1666666666667,382.6645664564567,379.1624662462467,377.4114161411417,389.3,390.0,390.0,381.0,371.0,376.55555555555554,379.32561017855113,382.09566480154666,383.4806921130444,374.0,373.55,373.55
20221019_1,398.0,377.0,385.8125,381.05218475142425,376.2918695028485,373.9117118785607,393.0,394.0,394.0,387.0,365.0,375.35,379.7424561336542,384.1349122673083,386.3311403341354,370.0,368.9,368.9
20221019_2,399.0,384.0,392.1428571428572,386.6526060426927,381.1623549425282,378.417229392446,397.8,398.4,398.4,388.0,376.0,382.8571428571428,387.3822053402684,391.907267823394,394.1697990649568,378.4,377.2,377.2
20221020_1,386.0,365.0,375.6818181818182,370.0299727625453,364.3781273432723,361.5522046336358,383.0,383.0,383.0,378.0,357.0,365.9848484848485,371.6944690413975,377.4040895979465,380.258899876221,358.5,358.0,358.0
20221020_2,393.0,372.0,384.1428571428572,378.6676382451306,373.192419347404,370.4548098985408,389.0,390.4,390.4,384.0,363.0,375.7857142857143,381.6058196433196,387.42592500092496,390.3359776797277,370.0,367.55,367.55
20221021_1,383.0,361.0,371.768115942029,366.0668649762676,360.3656140105063,357.5149885276256,379.0,381.0,381.0,376.0,338.0,361.5217391304348,368.9073545129202,376.2929698954056,379.98577758664834,352.6,349.4,349.4
20221021_2,385.0,375.0,380.56,376.8510019322374,373.1420038644748,371.2875048305935,385.0,385.0,385.0,378.0,366.0,370.36,372.85799919935937,375.3559983987187,376.6049979983984,367.2,366.0,366.0
20221024_1,390.0,359.0,373.7524752475247,367.0481394256941,360.3438036038635,356.9916356929482,382.0,382.0,382.0,374.0,343.0,361.6732673267327,368.2946099562771,374.9159525858215,378.22662390059367,352.0,351.0,351.0
20221024_2,403.0,368.0,387.11340206185565,378.6013073717253,370.0892126815949,365.8331653365297,398.0,400.2,400.2,394.0,361.0,378.8041237113402,386.7395915289636,394.6750593465869,398.6427932553986,368.0,365.0,365.0
20221025_1,408.0,377.0,389.5434782608696,382.1825074240351,374.8215365872007,371.14105116878346,401.0,405.0,405.0,396.0,369.0,378.6521739130435,384.7576847850214,390.8631956569993,393.9159510929883,371.3,369.0,369.0
20221025_2,382.0,368.0,376.0952380952381,373.4512872276015,370.80733635996495,369.48536092614665,378.0,380.0,380.0,373.0,363.0,368.04761904761904,370.5868352746504,373.1260515016816,374.3956596151973,364.0,364.0,364.0
20221026_1,404.0,371.0,388.7314814814815,381.27743976093706,373.8233980403927,370.0963771801205,398.3,402.65,402.65,396.0,365.0,381.0833333333333,388.1041634890034,395.1249936446735,398.6354087225085,374.0,370.7,370.7
20221026_2,413.0,388.0,402.68932038834953,397.6404821872721,392.5916439861947,390.067224885656,411.0,411.0,411.0,399.0,380.0,393.3495145631068,396.638559772509,399.92760498191126,401.5721275866124,388.2,387.0,387.0
20221027_1,403.0,382.0,393.4125,389.2399745831296,385.067449166259,382.98118645782375,400.1,402.0,402.0,395.0,374.0,383.0125,387.2952110483957,391.5779220967914,393.71927762098926,379.0,378.85,378.85
20221027_2,416.0,393.0,404.2407407407408,397.49765151760727,390.75456229447377,387.3830176829071,414.0,414.0,414.0,413.0,385.0,396.6296296296296,403.4516148890028,410.273600148376,413.68459277806267,386.0,386.0,386.0
20221028_1,423.0,392.0,408.327868852459,401.5807180674352,394.8335672824114,391.4599918898996,414.0,417.0,417.0,408.0,386.0,396.55737704918033,401.9379736399062,407.3185702306321,410.0088685259951,389.0,388.0,388.0
20221028_2,408.0,399.0,404.6764705882353,401.5457761330328,398.4150816778302,396.84973445022894,408.0,408.0,408.0,402.0,387.0,394.02941176470586,397.6599663939906,401.2905210232754,403.10579833791775,389.0,387.65,387.65
20221031_1,398.0,372.0,386.5054945054945,380.48262397102593,374.4597534365574,371.4483181693231,394.0,395.0,395.0,392.0,365.0,378.1868131868132,384.4476475080556,390.708481829298,393.83889898991913,370.0,369.0,369.0
20221031_2,396.0,380.0,390.9090909090909,387.2123407220981,383.5155905351052,381.6672154416088,394.7,395.0,395.0,388.0,373.0,382.8181818181818,387.6274399791872,392.4366981401925,394.8413272206952,376.0,375.15,375.15
20221101_1,392.0,360.0,372.0735294117647,365.1403751908505,358.2072209699363,354.7406438594792,381.5,386.25,386.25,377.0,352.0,362.3455882352941,367.8556849293044,373.36578162331455,376.1208299703196,355.0,354.0,354.0
20221101_2,376.0,358.0,368.9032258064516,363.70479759073305,358.5063693750145,355.90715526715525,375.0,375.0,375.0,372.0,351.0,359.96774193548384,366.63849337225486,373.3092448090259,376.6446205274114,352.0,352.0,352.0
20221102_1,369.0,345.0,353.0854700854701,346.2115154319363,339.3375607784025,335.9005834516356,364.0,366.0,366.0,361.0,331.0,343.15384615384613,350.9967161693172,358.83958618478835,362.7610211925239,333.6,332.0,332.0
20221102_2,380.0,355.0,374.0882352941176,368.302319023165,362.5164027522124,359.6234446167361,379.0,379.35,379.35,375.0,352.0,367.88235294117646,373.6230355417164,379.36371814225646,382.2340594425264,364.0,352.65,352.65
20221103_1,384.0,364.0,375.9428571428571,370.4605709240544,364.9782847052517,362.2371415958504,382.0,384.0,384.0,375.0,357.0,366.25714285714287,371.8583132030346,377.4594835489264,380.2600687218723,359.4,358.7,358.7
20221103_2,361.0,352.0,356.5,354.17425476264253,351.84850952528507,350.6856369066064,360.0,360.0,360.0,356.0,343.0,349.8529411764706,353.89163548198627,357.93032978750193,359.94967694025974,344.3,343.65,343.65
20221104_1,364.0,350.0,356.7368421052632,353.6030316233486,350.46922114143405,348.9023159004768,360.3,361.15,361.15,358.0,343.0,349.44736842105266,353.0768078716376,356.7062473222225,358.520967047515,345.4,343.0,343.0
20221104_2,373.0,352.0,363.3939393939394,358.7434512876177,354.09296318129594,351.7677191281351,368.0,368.0,368.0,361.0,344.0,353.5757575757576,357.22187503055414,360.8679924853508,362.6910512127491,350.5,346.0,346.0
20221107_1,363.0,317.0,335.5128205128205,322.0641030160286,308.61538551923667,301.8910267708407,357.0,361.45,361.45,359.0,309.0,327.9102564102564,341.41951097061195,354.92876553096744,361.6833928111452,313.0,311.0,311.0
20221107_2,327.0,318.0,322.990099009901,321.14002142914256,319.2899438483841,318.364905058005,325.0,326.0,326.0,320.0,310.0,317.46039603960395,319.48534388404846,321.51029172849303,322.52276565071526,314.0,313.0,313.0
20221108_1,327.0,304.0,314.4575163398693,308.26330540916894,302.0690944784686,298.97198901311845,323.0,325.0,325.0,322.0,299.0,308.1830065359477,313.8924607320213,319.60191492809486,322.45664202613165,302.0,301.0,301.0
20221108_2,330.0,320.0,323.3589743589744,320.328539445883,317.2981045327916,315.7828870762459,329.0,329.0,329.0,323.0,315.0,318.84615384615387,321.1805472818349,323.5149407175159,324.6821374353564,316.0,315.9,315.9
20221109_1,334.0,321.0,327.9166666666667,324.53288180352894,321.14909694039125,319.4572045088224,331.5,332.0,332.0,328.0,313.0,320.02777777777777,324.5538048032075,329.0798318286373,331.3428453413522,314.0,314.0,314.0
20221109_2,332.0,324.0,328.1025641025641,325.6020918124928,323.1016195224215,321.8513833773859,331.0,332.0,332.0,330.0,318.0,322.6666666666667,325.3355254148105,328.00438416295435,329.3388135370263,320.0,318.0,318.0
20221110_1,338.0,323.0,329.1320754716981,325.826848051098,322.5216206304979,320.8690069201979,333.8,334.4,334.4,336.0,318.0,324.0188679245283,327.9190186417232,331.81916935891815,333.7692447175156,319.0,318.6,318.6
20221110_2,329.0,319.0,324.22222222222223,322.4775087336423,320.7327952450624,319.86043850077243,326.0,327.0,327.0,324.0,315.0,319.44444444444446,321.22130479472594,322.9981651450075,323.8865953201482,317.3,316.0,316.0
20221111_1,330.0,320.0,323.28,320.5948556835805,317.9097113671609,316.5671392089512,326.0,326.8,326.8,323.0,315.0,318.28,320.4883176100069,322.69663522001383,323.8007940250173,315.4,315.0,315.0
20221111_2,325.0,316.0,319.6744186046512,317.0132254401678,314.35203227568434,313.02143569344264,323.8,324.0,324.0,320.0,310.0,314.95348837209303,317.9610462199482,320.96860406780326,322.47238299173085,311.2,311.0,311.0
20221114_1,348.0,317.0,327.59589041095893,319.93715299171856,312.27841557247814,308.449046862858,341.5,346.0,346.0,342.0,312.0,320.95205479452056,328.70899357196214,336.4659323494037,340.34440173812453,315.0,312.25,312.25
20221114_2,338.0,306.0,316.56048387096774,308.38946449394643,300.2184451169251,296.13293542841444,330.0,333.65,333.65,333.0,295.0,309.76209677419354,318.5853646214691,327.40863246874466,331.82026639238245,300.0,296.35,296.35
20221115_1,322.0,302.0,314.65486725663715,310.7115865532841,306.76830584993115,304.79666549825464,319.0,319.4,319.4,317.0,297.0,309.0265486725664,314.03985271743244,319.0531567622985,321.5598087847316,300.0,299.0,299.0
20221115_2,325.0,313.0,318.2121212121212,315.012926237624,311.81373126312667,310.21413377587805,322.0,323.4,323.4,319.0,308.0,313.6363636363636,316.6963695781285,319.75637551989337,321.2863784907758,310.0,309.6,309.6
20221116_1,330.0,310.0,320.6216216216216,316.0744481726078,311.5272747235939,309.253687999087,327.0,328.35,328.35,324.0,307.0,315.31081081081084,319.5240504639372,323.7372901170635,325.84390994362667,310.0,308.65,308.65
20221116_2,323.0,309.0,315.3636363636364,312.347595333328,309.33155430301963,307.8235337878655,319.0,321.75,321.75,320.0,304.0,310.06060606060606,313.1083229255032,316.1560397904002,317.67989822284875,306.0,306.0,306.0
20221117_1,325.0,304.0,311.74285714285713,305.7400143767663,299.7371716106755,296.73575022763004,323.0,323.04999999999995,323.04999999999995,314.0,297.0,304.65,308.9914101080892,313.3328202161783,315.5035252702229,299.0,298.0,298.0
20221117_2,323.0,311.0,317.7142857142857,314.30561330130035,310.89694088831493,309.1926046818223,322.0,322.0,322.0,318.0,306.0,312.3928571428572,315.48812576297524,318.5833943830934,320.1310286931524,309.0,309.0,309.0
20221118_1,337.0,305.0,319.4382716049383,311.5241821499897,303.6100926950412,299.6530479675669,327.9,331.0,331.0,326.0,300.0,312.5308641975309,319.0261303566916,325.5213965158522,328.7690295954325,303.0,303.0,303.0
20221118_2,334.0,318.0,326.1585365853659,321.23073810815737,316.3029396309489,313.83904039234466,332.0,333.0,333.0,325.0,314.0,319.0121951219512,322.07327659968246,325.13435807741365,326.6648988162793,315.0,314.0,314.0
20221121_1,338.0,293.0,313.95677799607074,301.819031094999,289.68128419392724,283.61241074339137,332.2,334.0,334.0,331.0,285.0,308.1335952848723,318.94250415058946,329.7514130163066,335.1558674491652,295.0,293.0,293.0
20221121_2,304.0,288.0,296.28,292.91605454380453,289.5521090876091,287.8701363595113,302.0,302.8,302.8,300.0,283.0,290.24,294.0782623756742,297.9165247513484,299.8356559391856,285.4,285.0,285.0
20221122_1,313.0,288.0,298.30415754923416,291.8351487548251,285.3661399604161,282.1316355632116,308.0,309.0,309.0,308.0,281.0,292.71772428884026,299.0069148263259,305.2961053638116,308.4407006325544,285.6,284.0,284.0
20221122_2,304.0,294.0,298.7333333333333,295.73985382943994,292.7463743255465,291.24963457359985,302.0,303.1,303.1,299.0,287.0,292.4,295.6968114166936,298.99362283338724,300.642028541734,289.0,288.45,288.45
20221124_1,299.0,283.0,289.0379746835443,285.7624123400653,282.4868499965864,280.8490688248468,293.2,295.0,295.0,291.0,277.0,282.7974683544304,285.5727241607755,288.3479799671207,289.7356078702932,280.0,279.9,279.9
20221124_2,305.0,289.0,297.36962750716333,293.0860991611925,288.8025708152217,286.6608066422363,303.0,304.0,304.0,300.0,280.0,290.6704871060172,295.9443398758533,301.21819264568944,303.8551190306075,284.0,283.0,283.0
20221125_1,310.0,288.0,298.4492307692308,292.7233925623051,286.9975543553794,284.13463525191656,305.0,306.0,306.0,304.0,281.0,291.5015384615385,296.75535812751684,302.0091777934952,304.6360876264844,285.0,284.0,284.0
20221125_2,309.0,286.0,296.5859872611465,290.2603732887291,283.9347593163118,280.7719523301031,303.0,304.0,304.0,301.0,274.0,291.0191082802548,298.36100712775453,305.7029059752543,309.3738553990042,281.0,281.0,281.0
20221128_1,306.0,278.0,289.7801724137931,282.7116131246753,275.6430538355576,272.1087741909987,298.0,300.0,300.0,301.0,271.0,283.1659482758621,289.85080463171585,296.53566098756966,299.87808916549653,274.0,273.0,273.0
