date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,170.0,75.0,104.45859872611464,81.24982208001676,58.04104543391886,46.43665711086992,142.00000000000003,170.0,170.0,10.0,-90.0,-41.21019108280255,-21.150973671139106,-1.091756259475666,8.937852446356054,-65.0,-70.0,-70.0
20220908_2,380.0,60.0,125.91346153846152,45.0391000800891,-35.835261378283334,-76.27244210746956,267.00000000000045,354.25,354.25,10.0,-1885.0,-240.3846153846154,318.3503862853289,877.0853879552732,1156.4528887902452,-1351.4999999999989,-1848.5,-1848.5
20220909_0,545.0,15.0,128.02325581395348,14.07425965773362,-99.87473649848624,-156.8492345765962,190.0,436.7499999999987,436.7499999999987,-30.0,-2200.0,-261.7732558139535,227.75590188722964,717.2850595884128,962.0496384390044,-508.9999999999999,-2067.5,-2067.499999999998
20220909_1,495.0,35.0,122.265625,-16.903534198607076,-156.07269339721415,-225.6572729965177,443.0,475.0,475.0,-20.0,-2180.0,-481.3671875,276.05506620722053,1033.477319914441,1412.188446768051,-2041.0,-2128.0,-2128.0
20220909_2,110.0,35.0,62.93269230769231,43.92055289340519,24.90841347911806,15.4023437719745,90.0,95.0,95.0,-20.0,-500.0,-85.09615384615384,28.227381548678864,141.55091694351157,198.2126846409279,-264.0,-403.25,-403.2499999999998
20220913_1,1975.0,60.0,249.76525821596243,-108.56806188705366,-466.90138199006975,-646.0680420415779,507.5,993.75,993.75,0.0,-2295.0,-304.9765258215962,309.45893915754783,923.894404136692,1231.112136626264,-1882.5,-1975.0,-1975.0
20220913_2,915.0,75.0,273.74015748031496,-9.862633509332625,-293.4654244989802,-435.266819993804,857.0,885.0,885.0,-35.0,-2145.0,-433.1496062992126,257.1749099667099,947.4994262326323,1292.6616843655936,-2049.0,-2107.0,-2107.0
20220914_0,2150.0,80.0,239.901185770751,-115.05478360714386,-470.0107529850387,-647.4887376739862,425.0,705.0,705.0,-30.0,-1395.0,-207.11462450592884,54.33579930453649,315.7862231150018,446.5114350202344,-613.9999999999999,-675.0,-675.0
20220914_1,495.0,75.0,149.00763358778627,21.58885123947548,-105.82993110883532,-169.5393222829907,415.0,480.0,480.0,-35.0,-1270.0,-285.1145038167939,69.43963962842804,423.99378307365,601.270854796261,-920.0,-945.0,-945.0
20220914_2,495.0,85.0,166.16666666666666,43.39966501443992,-79.36733663778682,-140.75083746390018,450.50000000000006,470.25,470.25,-35.0,-1270.0,-373.75,11.564043041135337,396.8780860822706,589.5351076028384,-1171.0,-1225.5,-1225.5
20220915_0,2190.0,80.0,224.6153846153846,-175.3514332595257,-575.318251134436,-775.3016600718911,362.00000000000017,706.9999999999999,706.9999999999999,-30.0,-2235.0,-197.50663129973475,192.6807085708338,582.8680484414024,777.9617183766867,-534.0,-715.0,-715.0
20220915_1,420.0,60.0,164.7554347826087,53.59503783260155,-57.56535911740559,-113.14555759240916,368.5000000000001,385.0,385.0,-30.0,-2225.0,-341.33152173913044,264.4380911657947,870.2077040707197,1173.0925105231822,-660.5,-2165.0,-2165.0
20220915_2,400.0,50.0,125.44444444444444,26.580625347829724,-72.283193748785,-121.71510329709236,353.00000000000006,381.5,381.5,-35.0,-2195.0,-451.55555555555554,212.16964682763432,875.8948492108242,1207.7574504024192,-2093.0,-2143.0,-2143.0
20220916_0,540.0,55.0,147.35714285714286,52.078478162637154,-43.20018653186855,-90.8395188791214,315.5000000000001,320.0,320.0,-25.0,-2235.0,-184.7428571428572,143.67842019356328,472.0996975299837,636.3103361981939,-425.5,-618.25,-618.2499999999998
20220916_1,470.0,65.0,193.67283950617283,63.8595560006093,-65.95372750495423,-130.86036925773598,404.5,434.75,434.75,-40.0,-745.0,-238.67283950617283,-5.179391123033355,228.31405726010613,345.0607814516758,-644.0,-699.75,-699.75
20220916_2,550.0,40.0,143.12101910828025,2.563049029024654,-137.99492105023094,-208.2739060898588,494.00000000000006,521.0,521.0,-30.0,-2060.0,-401.8152866242039,192.2901475743973,786.3955817729985,1083.448298872299,-1936.0,-2012.0,-2012.0
20220919_0,1475.0,50.0,139.02573529411765,-29.88357946050525,-198.7928942151281,-283.24755159243955,228.5,339.2500000000001,339.2500000000001,-20.0,-1495.0,-114.8345588235294,86.56105575952425,287.9566703425779,388.6544776341048,-288.5,-523.5,-523.4999999999998
20220919_1,175.0,35.0,76.87022900763358,48.78837147906465,20.70651395049571,6.665585186211246,105.0,115.0,115.0,-10.0,-635.0,-80.49618320610686,15.920091676524336,112.33636655915554,160.54450400047114,-135.0,-282.5,-282.5
20220919_2,545.0,50.0,147.6086956521739,-30.363646551248365,-208.33598875467064,-297.32215985638175,527.5,535.0,535.0,-15.0,-970.0,-197.3913043478261,154.94965919370125,507.29062273522857,683.4611045059922,-945.0,-950.0,-950.0
20220920_0,555.0,50.0,125.15748031496064,29.076287278621933,-67.00490575771677,-115.04550227588614,145.0,386.75,386.75,-5.0,-1595.0,-95.31496062992126,120.16065818793732,335.63627700579593,443.3740864147253,-132.0,-319.25,-319.2499999999994
20220920_1,555.0,50.0,144.30962343096235,11.445867349366864,-121.41788873222862,-187.8497667730264,386.0000000000001,526.0,526.0,5.0,-1585.0,-190.418410041841,201.58199811583063,593.5824062735023,789.5826103523382,-691.0,-1402.0,-1401.9999999999998
20220920_2,545.0,55.0,133.61702127659575,8.03578283272499,-117.54545561114575,-180.3360748330812,153.5,535.0,535.0,0.0,-1000.0,-103.40425531914892,168.90784105403822,441.2199374272254,577.375985613819,-124.99999999999996,-981.75,-981.75
20220921_0,550.0,50.0,103.82911392405065,30.711183438802703,-42.40674704644522,-78.96571228906919,163.0000000000001,200.0,200.0,-5.0,-1915.0,-82.46835443037975,179.32162973147842,441.1116138933366,572.0066059742658,-105.0,-312.5,-312.49999999999966
20220921_1,550.0,50.0,96.72690763052208,6.568949701680921,-83.58900822716025,-128.66798719158083,135.0,160.0,160.0,15.0,-1815.0,-98.27309236947792,216.10935033546133,530.4917930404006,687.6830143928702,-87.99999999999999,-218.0,-218.0
20220921_2,550.0,40.0,99.33333333333331,4.250391825585567,-90.8325496821622,-138.37402043603606,133.00000000000006,155.0,155.0,10.0,-450.0,-102.93333333333334,71.96836363843315,246.87006061019963,334.32090909608286,-433.0,-441.5,-441.5
20220922_0,550.0,65.0,128.0427046263345,43.35054173320714,-41.34162115992024,-83.68770260648392,165.0,245.0,245.0,-10.0,-2245.0,-141.65480427046262,157.82155728186794,457.2979188341985,607.0360996103639,-275.0,-375.0,-375.0
20220922_1,550.0,55.0,149.48818897637796,26.847071346661124,-95.7940462830557,-157.11460509791414,398.5000000000001,478.5,478.5,-10.0,-1035.0,-183.3464566929134,67.59568513405719,318.5378269610278,444.0088978745131,-582.0,-696.75,-696.75
20220922_2,470.0,75.0,148.25757575757575,40.33304592008672,-67.59148391740231,-121.55374883614684,419.00000000000006,449.4999999999999,449.4999999999999,-40.0,-1035.0,-293.4469696969697,10.482218379452206,314.4114064558741,466.3760004940851,-914.9999999999995,-989.5,-989.5
20220923_0,550.0,25.0,124.61290322580643,-8.83349157765899,-142.2798863811244,-209.00308378285712,390.5000000000001,477.75000000000006,477.75000000000006,-40.0,-1110.0,-197.01612903225808,34.87712645323404,266.77038193872613,382.7170096814723,-520.5,-672.75,-672.7499999999999
20220923_1,500.0,15.0,83.13993174061433,2.9334075893104483,-77.27311656199343,-117.37637863764536,120.0,191.9999999999999,191.9999999999999,20.0,-1110.0,-96.3310580204778,42.80375498342222,181.93856798732224,251.50597448927223,-198.0,-293.99999999999994,-293.9999999999996
20220923_2,500.0,55.0,234.52380952380952,71.96496642980742,-90.59387666419468,-171.87329821119573,480.0,489.75,489.75,-30.0,-500.0,-112.38095238095238,30.66192919587604,173.70481077270446,245.2262515611187,-420.0,-477.0,-476.9999999999999
20220926_0,655.0,655.0,655.0,,,,655.0,655.0,655.0,-1525.0,-1525.0,-1525.0,,,,-1525.0,-1525.0,-1525.0
20220926_1,420.0,20.0,56.550632911392405,20.522061894306844,-15.506509122778716,-33.5207946313215,85.0,85.75000000000003,85.75000000000003,-40.0,-735.0,-140.15822784810126,11.521770629749284,163.20176910759983,239.0417683465251,-422.5,-505.75,-505.75
