date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,587.0,33.0,55.17330210772834,9.492454382126269,-36.1883933434758,-59.028817206276834,58.0,62.0,62.0,8.0,-93.0,-7.611241217798595,3.1446356605827326,13.90051253896406,19.278450978154723,-18.0,-24.4,-24.399999999999963
20220908_2,580.0,37.0,66.66768292682927,-6.318528695431894,-79.30474031769306,-115.79784612882364,64.30000000000001,72.0,72.0,2.0,-157.0,-18.914634146341463,5.01630687343545,28.947247893212364,40.91271840310082,-31.0,-49.149999999999984,-49.14999999999983
20220909_0,705.0,31.0,55.41385135135136,-9.614732841526134,-74.64331703440362,-107.15760913084236,55.0,62.0,62.0,3.0,-164.0,-9.405405405405403,10.942362183670744,31.29012977274689,41.464013567284965,-17.0,-22.45,-22.44999999999997
20220909_1,751.0,30.0,57.648648648648646,-16.836792062072433,-91.32223277279353,-128.56495312815406,58.0,69.0,69.0,16.0,-138.0,-4.821321321321322,9.105217266873442,23.031755855068205,29.995025149165585,-15.0,-26.75,-26.74999999999997
20220909_2,512.0,44.0,60.082687338501295,6.984641503311003,-46.11340433187929,-72.66242724947443,60.400000000000034,62.69999999999999,62.69999999999999,42.0,-64.0,-2.7235142118863047,11.392164061244916,25.50784233437614,32.56568147094175,-15.4,-30.0,-30.0
20220913_1,754.0,42.0,58.42330097087379,5.994627058088327,-46.43404685469714,-72.64838381108987,64.0,71.0,71.0,20.0,-586.0,-3.2975728155339805,33.5086983461265,70.31496950778698,88.71810508861722,-8.0,-13.0,-13.0
20220913_2,201.0,43.0,56.375,40.05593609639648,23.73687219279295,15.577340240991193,66.0,71.64999999999998,71.64999999999998,9.0,-53.0,-3.0972222222222223,7.296973051725353,17.69116832567293,22.88826596264672,-13.0,-22.599999999999994,-22.59999999999995
20220914_0,226.0,46.0,56.87912087912088,41.94605780350461,27.012994727888337,19.546463190080203,66.0,70.0,70.0,20.0,-88.0,-2.3736263736263736,6.62159582529177,15.616818024209914,20.114429123668987,-9.199999999999989,-13.0,-13.0
20220914_1,680.0,42.0,56.89903181189488,29.437711007251284,1.9763902026076887,-11.754270199714108,71.0,84.0,84.0,14.0,-68.0,-1.8492392807745504,6.59173773085206,15.032714742478673,19.25320324829197,-8.0,-11.0,-11.0
20220914_2,197.0,43.0,61.0749063670412,39.57036043456737,18.06581450209353,7.313541535856622,81.00000000000003,93.39999999999998,93.39999999999998,14.0,-129.0,-0.1198501872659176,13.742546180612832,27.604942548491582,34.53614073243096,-3.0,-14.199999999999996,-14.199999999999932
20220915_0,657.0,43.0,56.74652777777778,19.647295556598703,-17.451936664580366,-36.001552775169905,64.5,73.0,73.0,11.0,-145.0,-2.642361111111111,11.530504966370929,25.703371043852968,32.78980408259398,-8.0,-12.0,-12.0
20220915_1,662.0,42.0,53.88671875,21.43313853131293,-11.02044168737413,-27.24723179671767,64.0,68.0,68.0,17.0,-98.0,0.703125,10.865965542924632,21.028806085849265,26.110226357311586,-6.0,-11.0,-11.0
20220915_2,173.0,35.0,58.5130890052356,43.62298990128767,28.732890797339746,21.287841245365776,71.0,82.94999999999999,82.94999999999999,14.0,-132.0,-0.5890052356020943,11.423507250372444,23.436019736346985,29.44227597933425,-6.0,-16.95,-16.94999999999998
20220916_0,217.0,36.0,52.213592233009706,42.91640726507778,33.61922229714585,28.970629813179887,59.0,63.0,63.0,13.0,-208.0,0.6726768377253814,13.110899275353734,25.549121712982085,31.768232931796263,-4.0,-8.0,-8.0
20220916_1,199.0,38.0,54.28852459016394,33.76095013309458,13.233375676025233,2.9695884474905583,68.0,92.0,92.0,14.0,-182.0,2.80327868852459,27.12867249783492,51.45406630714525,63.61676321180041,3.0,0.0,0.0
20220916_2,216.0,43.0,55.23890063424947,39.93768736201535,24.636474089781235,16.985867453664177,63.0,70.39999999999998,70.39999999999998,8.0,-47.0,-2.953488372093023,4.327054647586969,11.607597667266962,15.24786917710696,-14.0,-17.0,-17.0
20220919_0,673.0,40.0,60.15824915824916,-8.046619353216478,-76.2514878646821,-110.35392212041492,59.0,63.0,63.0,15.0,-676.0,-11.124579124579125,62.357207644343546,135.83899441326622,172.57988779772757,-10.0,-17.349999999999998,-17.349999999999973
20220919_1,610.0,41.0,63.74014155712841,-8.22090993295815,-80.18196142304471,-116.162487168088,61.0,72.0,72.0,9.0,-586.0,-11.790697674418604,65.29095151735795,142.37260070913453,180.91342530502283,-7.0,-13.0,-13.0
20220919_2,165.0,39.0,55.32409381663113,38.90850178230795,22.49290974798477,14.285113730823191,61.0,75.0,75.0,7.0,-126.0,-4.616204690831556,9.478174746330492,23.57255418349254,30.61974390207356,-11.0,-15.0,-15.0
20220920_0,596.0,42.0,62.56743002544529,-6.338927221373695,-75.24528446819268,-109.69846309160216,62.0,69.0,69.0,9.0,-693.0,-10.91687871077184,72.90771103231805,156.73230077540794,198.6445956469529,-6.0,-13.0,-13.0
20220920_1,588.0,40.0,61.27803203661328,-11.12216540110638,-83.52236283882604,-119.72246155768588,57.0,61.0,61.0,9.0,-665.0,-13.743707093821511,73.34363165810228,160.43097041002608,203.974639785988,-9.0,-15.0,-15.0
20220920_2,223.0,41.0,82.91169977924945,41.407875773983264,-0.095948231282918,-20.84786023391601,144.60000000000002,175.0,175.0,6.0,-585.0,-24.31788079470199,62.94370622358656,150.20529324187513,193.8360867510194,-42.6,-73.6,-73.59999999999992
20220921_0,658.0,44.0,69.80701754385964,-8.875620655485278,-87.5582588548302,-126.89957795450266,64.0,110.19999999999982,110.19999999999982,14.0,-626.0,-12.78328173374613,75.06585929628935,162.91500032632482,206.8395708413425,-8.0,-13.0,-13.0
20220921_1,669.0,41.0,60.56911447084233,-3.894032987127524,-68.35718044509738,-100.58875417408233,60.0,80.75,80.75,12.0,-590.0,-6.794816414686825,53.80921534057932,114.41324709584548,144.71526297347853,-6.0,-9.0,-9.0
20220921_2,198.0,74.0,106.73360655737704,83.26107602410387,59.78854549083069,48.05228022419411,141.60000000000002,176.64999999999998,176.64999999999998,11.0,-57.0,-5.940573770491803,9.22472195136281,24.39001767321742,31.97266553414473,-30.0,-44.0,-44.0
20220922_0,664.0,43.0,63.0746887966805,-5.2304921103345166,-73.53567301734952,-107.68826347085704,59.0,63.0,63.0,20.0,-642.0,-8.597510373443983,69.88398822361607,148.36548682067613,187.60623611920616,-5.0,-8.0,-8.0
20220922_1,479.0,40.0,65.37679932260797,11.780479215076106,-41.81584089245575,-68.61400094622168,94.0,112.0,112.0,10.0,-614.0,-12.33869602032176,65.41898124842359,143.17665851716896,182.05549715154163,-9.0,-24.0,-23.99999999999985
20220922_2,195.0,43.0,91.34285714285714,48.290651306878985,5.238445470900828,-16.28765744708825,175.30000000000007,190.0,190.0,10.0,-224.0,-18.81714285714286,5.8094843064033626,30.436111469949584,42.749425051722696,-46.0,-53.0,-53.0
20220923_0,728.0,21.0,62.019404915912034,-23.17706650240701,-108.37353792072606,-150.9717736298856,58.0,61.0,61.0,9.0,-551.0,-12.547218628719277,56.14207889234933,124.83137641341794,159.17602517395227,-8.0,-12.4,-12.399999999999965
