date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,0.0,-35.0,-16.33709861657571,-21.43998354938759,-26.54286848219947,-29.09431094860541,-10.0,-10.0,-10.0,-15.0,-50.0,-26.676608706688665,-21.48111591586478,-16.2856231250409,-13.687876729628956,-35.0,-35.0,-35.0
20220908_2,100.0,-30.0,-18.15673289183223,-21.974941412935788,-25.793149934039345,-27.702254194591127,-15.0,-15.0,-15.0,-20.0,-50.0,-29.03237674760853,-25.797321038058104,-22.562265328507674,-20.94473747373246,-35.0,-35.0,-35.0
20220909_0,175.0,-30.0,-18.608861726508785,-22.875148762841867,-27.141435799174943,-29.274579317341487,-15.0,-15.0,-15.0,-25.0,-115.0,-29.95569136745608,-25.829082055231883,-21.702472743007693,-19.6391680868956,-35.0,-35.0,-35.0
20220909_1,60.0,-25.0,-9.494775823303796,-12.58127234842844,-15.667768873553085,-17.211017136115405,-5.0,-5.0,-5.0,-10.0,-55.0,-20.577304589340034,-17.47509797010877,-14.372891350877506,-12.821788041261874,-25.0,-25.0,-25.0
20220909_2,90.0,-35.0,-11.23838630806846,-17.61382856443046,-23.98927082079246,-27.17699194897346,-5.0,-5.0,-5.0,-10.0,-75.0,-22.345965770171148,-16.220684927338453,-10.095404084505756,-7.03276366308941,-30.0,-35.0,-35.0
20220913_1,85.0,-25.0,-5.683892531173672,-10.5180101020325,-15.352127672891328,-17.769186458320743,0.0,0.0,0.0,-5.0,-160.0,-17.880833011955264,-12.194005990777292,-6.507178969599321,-3.6637654590103352,-25.0,-30.0,-30.0
20220913_2,40.0,-15.0,0.202416918429003,-3.075029360151507,-6.352475638732017,-7.991198778022271,5.0,5.0,5.0,0.0,-60.0,-12.012084592145015,-8.701683099455332,-5.391281606765649,-3.736080860420806,-15.0,-15.0,-15.0
20220914_0,75.0,-25.0,-0.1536360532604984,-4.680258072671691,-9.206880092082883,-11.47019110178848,5.0,5.0,5.0,0.0,-150.0,-12.382212359166951,-7.379545723022359,-2.376879086877766,0.1244542311945302,-15.0,-20.0,-20.0
20220914_1,95.0,-10.0,5.543412993875346,-0.1492528504728465,-5.841918694821039,-8.688251616995135,10.0,15.0,15.0,5.0,-70.0,-5.784796445298427,-0.3398306454195996,5.105135154459227,7.82761805439864,-15.0,-15.0,-15.0
20220914_2,205.0,-5.0,5.362927414517096,-0.6423417175477901,-6.6476108496126765,-9.65024541564512,10.0,10.0,10.0,10.0,-50.0,-5.2799440111977605,-0.0548492104435558,5.170245590310649,7.782792990687752,-10.0,-15.0,-15.0
20220915_0,290.0,10.0,25.15500916310324,18.57493795869705,11.994866754290856,8.704831152087763,30.0,30.0,30.0,25.0,-120.0,12.603848503359805,17.793167688559386,22.982486873758965,25.577146466358755,10.0,5.0,5.0
20220915_1,290.0,15.0,22.34749398346761,13.989722677835864,5.631951372204114,1.4530657193882384,25.0,45.0,45.0,50.0,-50.0,10.88416867217746,18.002280440365823,25.120392208554183,28.679448092648364,5.0,5.0,5.0
20220915_2,95.0,35.0,48.15440289505428,43.85307853760919,39.55175418016411,37.40109200144157,55.0,55.0,55.0,45.0,5.0,35.577000402090874,39.621395322554655,43.66579024301844,45.68798770325033,30.0,30.0,30.0
20220916_0,230.0,45.0,59.75020080321285,52.8692987765395,45.98839674986616,42.547945736529485,65.0,70.0,70.0,65.0,-100.0,47.51726907630522,54.15897140059757,60.80067372488993,64.1215248870361,40.0,40.0,40.0
20220916_1,145.0,50.0,69.42219152854511,64.40495498466687,59.38771844078862,56.8791001688495,75.0,75.0,75.0,70.0,0.0,56.62062615101289,62.38129889870107,68.14197164638924,71.02230802023333,50.0,50.0,50.0
20220916_2,140.0,50.0,70.99362119725221,64.57192825612552,58.15023531499881,54.939388844435456,80.0,80.0,80.0,75.0,15.0,58.59093882891724,65.17920050313467,71.76746217735209,75.06159301446081,50.0,50.0,50.0
20220919_0,910.0,55.0,76.9768962510898,56.519691809630885,36.062487368171965,25.83388514744251,85.0,85.0,85.0,85.0,-95.0,64.33812845103168,72.24701755296536,80.15590665489904,84.1103512058659,55.0,55.0,55.0
20220919_1,600.0,40.0,59.75791182039492,46.05038806462417,32.34286430885342,25.48910243096805,75.0,85.0,85.0,90.0,-15.0,47.10779010008115,58.07159126229456,69.03539242450798,74.51729300561468,35.0,35.0,35.0
20220919_2,115.0,50.0,60.88278388278388,54.57420425591205,48.26562462904022,45.11133481560431,70.0,75.0,75.0,70.0,30.0,49.03296703296704,54.8223950410782,60.61182304918936,63.50653705324494,40.0,40.0,40.0
20220920_0,165.0,55.0,81.19350686498856,74.86188565467747,68.53026444436637,65.36445383921081,85.0,90.0,90.0,80.0,-55.0,68.10354691075514,74.29568611332192,80.48782531588868,83.58389491717207,60.0,60.0,60.0
20220920_1,160.0,65.0,77.70212765957447,73.60122853866231,69.50032941775014,67.44987985729406,80.0,85.0,85.0,75.0,0.0,66.33268858800774,70.6143574319412,74.89602627587466,77.03686069784139,60.0,60.0,60.0
20220920_2,100.0,70.0,85.28002757194554,78.96583696952203,72.65164636709852,69.49455106588677,95.0,95.0,95.0,90.0,35.0,74.4278821299328,81.25212173869092,88.07636134744904,91.4884811518281,65.0,65.0,65.0
20220921_0,190.0,50.0,68.36666200531394,58.54893426753493,48.73120652975592,43.822342660866425,85.0,85.0,85.0,85.0,-30.0,55.51181652915676,64.20894853375154,72.90608053834632,77.2546465406437,45.0,45.0,45.0
20220921_1,125.0,50.0,63.58226134055518,56.11704517749165,48.65182901442812,44.91922093289635,75.0,75.0,75.0,65.0,-5.0,51.37305348679756,58.08375262234584,64.79445175789411,68.14980132566825,45.0,40.0,40.0
20220921_2,260.0,70.0,80.43470079036507,72.51196262692382,64.58922446348257,60.62785538176193,85.0,90.0,90.0,125.0,50.0,67.5790365073391,73.71031421137474,79.84159191541038,82.90723076742819,60.0,60.0,60.0
