date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,6500.0,270.0,1575.4048140043765,1037.767058046141,500.12930208790567,231.31042410878808,2255.999999999999,2490.0,2490.0,50.0,-3490.0,-981.5711159737418,-377.47460003742367,226.62191589889449,528.6701738670536,-1920.0,-2240.0,-2240.0
20220908_2,6170.0,1260.0,2088.3344851416723,1532.2508881164658,976.1672910912592,698.1254925786559,2554.000000000001,2740.0,2740.0,-290.0,-3940.0,-1051.4029025570146,-441.41443696769545,168.5740286216237,473.56826141628335,-1944.0,-2514.0,-2513.999999999998
20220909_0,11850.0,910.0,2010.345860566449,1465.6992809460469,921.0527013256444,648.7294115154434,2600.0,2750.0,2750.0,110.0,-18850.0,-1027.8186274509803,-246.9634593353843,533.8917087802117,924.3192928380096,-1790.0,-2090.0,-2090.0
20220909_1,12090.0,590.0,1511.736666666667,959.0168005448752,406.2969344230837,129.93700136218786,2130.0,2400.0,2400.0,-200.0,-18800.0,-975.03,-131.98355513310116,711.0628897337976,1132.5861121672472,-1420.0,-1940.0,-1940.0
20220909_2,2810.0,390.0,1448.864711447493,1026.525404488737,604.186097529981,393.016444050603,1924.0,2110.0,2110.0,-330.0,-3710.0,-1201.693472090823,-519.9873982560814,161.71867557866017,502.5717124960311,-2214.0,-2712.0,-2711.9999999999995
20220913_1,24890.0,410.0,1648.5566805638275,409.8692196971101,-828.8182411696075,-1448.1619716029663,2330.0,2651.999999999998,2651.999999999998,-10.0,-22510.0,-1104.2803255906294,38.036248619386015,1180.3528228294017,1751.5111099344092,-1800.0,-2230.0,-2230.0
20220913_2,4230.0,50.0,1447.569331158238,970.7176179247044,493.8659046911706,255.44004807440365,2060.0,2260.0,2260.0,-100.0,-3890.0,-1136.6965742251225,-485.7296192811166,165.2373356628891,490.72081313489207,-2080.0,-2495.0,-2494.999999999999
20220914_0,7950.0,240.0,1598.8445667125172,998.6575780594565,398.47058940639545,98.37709507986506,2330.0,2670.0,2670.0,350.0,-22610.0,-906.0137551581844,334.0386319451443,1574.0910190484728,2194.117212600137,-1450.0,-1740.0,-1740.0
20220914_1,7840.0,580.0,1499.512,1015.7587480838016,532.0054961676034,290.12887020950416,2110.0,2360.0,2360.0,320.0,-12630.0,-622.128,294.2525830358825,1210.6331660717651,1668.8234575897063,-1210.0,-1750.0,-1750.0
20220914_2,2980.0,660.0,1239.4947994056463,919.5328684674494,599.5709375292524,439.589972060154,1700.0,1864.0,1864.0,-110.0,-2760.0,-622.3922734026746,-248.75377586130367,124.88472168006729,311.7039704507528,-1030.0,-1494.0,-1493.9999999999998
