date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,140.0,90.0,104.0543970988214,99.36236266898094,94.67032823914047,92.32431102422026,108.0,110.0,110.0,104.0,42.0,85.52855847688123,90.03091220775883,94.53326593863645,96.78444280407524,80.0,78.0,78.0
20220908_2,146.0,88.0,103.86760716223549,97.7978133045942,91.72801944695289,88.69312251813224,110.0,114.0,114.0,98.0,64.0,84.94953879544221,89.35059897198052,93.75165914851884,95.95218923678796,80.0,76.0,76.0
20220909_0,184.0,76.0,96.05522914218568,85.19827325397677,74.34131736576788,68.91283942166342,110.0,116.0,116.0,86.0,-264.0,71.72502937720328,85.7501037931987,99.77517820919412,106.78771541719183,68.0,62.10000000000002,62.100000000000165
20220909_1,182.0,80.0,94.1021377672209,86.91536572429835,79.72859368137581,76.13520765991454,98.0,104.0,104.0,88.0,-264.0,74.5106888361045,87.79367773836711,101.07666664062972,107.71816109176105,68.0,66.0,66.0
20220909_2,170.0,76.0,94.57250470809792,86.47019489806515,78.36788508803238,74.31673018301598,100.0,104.0,104.0,80.0,-122.0,72.53107344632768,80.64318111544289,88.75528878455809,92.81134261911568,68.0,66.0,66.0
20220913_1,188.0,74.0,105.98857142857145,93.5275439693531,81.06651651013479,74.83600278052563,122.0,130.0,130.0,120.0,-134.0,81.66012422360248,93.91364899278052,106.16717376195857,112.2939361465476,68.0,62.0,62.0
20220913_2,138.0,82.0,95.18849840255592,88.85706635669689,82.52563431083789,79.35991828790839,102.0,106.0,106.0,86.0,-134.0,73.61448349307774,84.70013774996751,95.78579200685726,101.32861913530216,68.0,66.0,66.0
20220914_0,204.0,74.0,94.45739046701974,81.73989006398756,69.02238966095537,62.66363945943928,112.0,118.0,118.0,96.0,2.0,70.1646605681271,79.21737724501646,88.27009392190583,92.7964522603505,62.0,58.0,58.0
20220914_1,906.0,76.0,95.1694828469022,60.722082183157525,26.27468151941285,9.050981187540517,102.0,108.79999999999971,108.79999999999971,86.0,-224.0,70.63082437275986,85.60455178065816,100.57827918855646,108.0651428925056,64.0,60.0,60.0
20220914_2,404.0,70.0,89.28937007874016,69.88902664577247,50.48868321280477,40.78851149632092,106.0,110.5,110.5,78.0,-224.0,64.70669291338582,75.87670001316208,87.04670711293832,92.63171066282646,58.0,56.0,56.0
20220915_0,320.0,70.0,93.17533252720678,81.95501810262144,70.73470367803608,65.12454646574342,102.0,108.0,108.0,94.0,-14.0,71.59854897218864,82.3274696927995,93.05639041341034,98.42085077371576,58.0,54.0,54.00000000000023
20220915_1,252.0,68.0,83.54555198285102,73.0871413550983,62.62873072734558,57.39952541346921,88.0,90.0,90.0,80.0,22.0,64.73419078242229,72.35151823688886,79.96884569135545,83.77750941858874,56.0,56.0,56.0
20220915_2,136.0,70.0,85.47705146036161,79.839992040839,74.20293262131638,71.38440291155507,92.0,94.0,94.0,82.0,40.0,68.25312934631432,73.15635857479664,78.05958780327896,80.51120241752012,62.0,62.0,62.0
20220916_0,450.0,70.0,81.82028665931642,65.50024200890013,49.18019735848384,41.02017503327569,86.0,88.0,88.0,78.0,-60.0,61.22050716648291,69.22125854919896,77.22200993191501,81.22238562327303,54.0,50.0,50.0
20220916_1,450.0,68.0,85.98275862068965,57.84733088472913,29.71190314876862,15.644189280788368,86.0,92.0,92.0,68.0,-60.0,61.15086206896552,71.18034771921593,81.20983336946634,86.22457619459155,58.0,58.0,58.0
20220916_2,140.0,74.0,95.15713796644984,86.96440660576044,78.77167524507104,74.67530956472635,104.0,108.0,108.0,96.0,-18.0,77.90277302293735,86.77161156596146,95.64045010898558,100.07486938049765,64.0,62.0,62.0
20220919_0,154.0,78.0,92.52189781021896,84.44722306173085,76.37254831324273,72.33521093899867,102.0,106.0,106.0,92.0,-20.0,69.7214111922141,79.24277475878316,88.7641383253522,93.52482010863672,62.0,52.30000000000001,52.30000000000015
20220919_1,288.0,86.0,95.83389450056116,88.23713580272326,80.64037710488535,76.84199775596639,100.0,102.0,102.0,86.0,12.0,76.69248035914703,81.27238907670993,85.85229779427283,88.14225215305427,74.0,72.0,72.0
20220919_2,284.0,88.0,97.34017094017094,89.93946744057207,82.5387639409732,78.83841219117377,100.0,102.0,102.0,96.0,56.0,79.46153846153847,84.20010754734729,88.9386766331561,91.30796117606052,76.0,74.0,74.0
20220920_0,178.0,70.0,89.4974642692485,80.74649605572411,71.99552784219972,67.62004373543752,98.0,104.0,104.0,88.0,-14.0,68.17888427846934,75.14038200522403,82.10187973197873,85.58262859535607,62.0,56.0,56.0
20220920_1,178.0,68.0,86.35706914344685,79.49863229602653,72.6401954486062,69.21097702489604,90.0,92.0,92.0,84.0,34.0,71.80185758513932,77.63643458369162,83.47101158224393,86.3883000815201,66.0,62.0,62.0
20220920_2,132.0,62.0,76.8313856427379,71.20127302683143,65.57116041092496,62.756104102971726,82.0,86.0,86.0,80.0,16.0,61.9432387312187,67.28199741589421,72.62075610056972,75.29013544290748,56.0,56.0,56.0
20220921_0,346.0,58.0,76.16092907507259,63.15646830961356,50.152007544154536,43.64977716142502,86.0,94.0,94.0,82.0,-226.0,54.5931148900871,63.52391956142922,72.45472423277134,76.9201265684424,48.0,46.0,46.0
20220921_1,270.0,58.0,74.09590973201692,63.733484179360175,53.37105862670344,48.189845850375065,82.0,84.0,84.0,70.0,-122.0,54.212976022567,62.21736993236864,70.22176384217029,74.2239607970711,48.0,46.0,46.0
20220921_2,272.0,62.0,75.83081570996978,68.60762366876791,61.38443162756603,57.772835606965096,82.0,84.0,84.0,74.0,-62.0,58.941389728096674,65.1060643588684,71.27073898964011,74.35307630502598,54.0,52.0,52.0
20220922_0,114.0,66.0,76.98378378378378,71.37139341578668,65.75900304778958,62.95280786379104,84.0,89.09999999999991,89.09999999999991,70.0,-26.0,57.72864864864865,63.48086888553649,69.23308912242432,72.10919924086824,52.0,52.0,52.0
20220922_1,234.0,64.0,74.98313598851811,66.59617795188747,58.20921991525682,54.01574089694151,78.0,82.0,82.0,68.0,-418.0,57.42016505202727,70.38107855360767,83.34199205518807,89.82244880597827,54.0,50.0,50.0
20220922_2,176.0,70.0,84.82362592288762,76.6463475600599,68.46906919723219,64.38043001581833,92.0,96.0,96.0,82.0,-54.0,65.61115668580804,72.6079708957116,79.60478510561515,83.10319221056693,60.0,58.0,58.0
20220923_0,418.0,72.0,90.5066977285964,73.11039870601535,55.7140996834343,47.015950172143775,98.0,100.0,100.0,82.0,-354.0,68.49737914967967,84.51578417808207,100.53418920648446,108.54339172068566,62.0,59.60000000000002,59.600000000000165
20220923_1,416.0,68.0,83.08881137644218,71.72509342274482,60.36137546904746,54.67951649219879,88.0,90.0,90.0,84.0,-354.0,63.7976925140864,74.24783306377367,84.69797361346093,89.92304388830456,60.0,56.0,56.0
20220923_2,256.0,74.0,82.33859397417504,70.72112225397363,59.10365053377223,53.29491467367152,86.0,88.0,88.0,76.0,-144.0,62.39311334289813,76.0304673300241,89.66782131715004,96.48649831071302,58.0,56.0,56.0
20220926_0,142.0,142.0,142.0,,,,142.0,142.0,142.0,-388.0,-388.0,-388.0,,,,-388.0,-388.0,-388.0
20220926_1,148.0,92.0,105.34935897435898,99.24722518523558,93.14509139611218,90.09402450155048,114.0,116.0,116.0,106.0,68.0,89.57884615384616,94.8981053792164,100.21736460458663,102.87699421727174,84.0,82.0,82.0
20220926_2,128.0,70.0,90.95953757225432,84.68887195684891,78.41820634144351,75.2828735337408,100.0,102.0,102.0,96.0,52.0,76.88469729236385,83.1223155883671,89.35993388437035,92.47874303237197,70.0,68.0,68.0
20220927_0,154.0,74.0,88.16294578138591,81.48054984506305,74.7981539087402,71.45695594057878,96.0,98.0,98.0,86.0,-10.0,70.15656712090461,76.24341569524184,82.33026426957906,85.37368855674768,64.0,62.0,62.0
20220927_1,164.0,76.0,92.26285240464344,85.13470889831876,78.00656539199407,74.44249363883173,100.0,102.0,102.0,96.0,-86.0,79.94734660033167,87.92032899566385,95.89331139099605,99.87980258866212,72.0,70.0,70.0
20220927_2,166.0,80.0,98.82709677419356,93.3823310324704,87.93756529074723,85.21518241988565,104.0,106.0,106.0,100.0,-88.0,86.3916129032258,92.94786001796982,99.5041071327138,102.7822306900858,80.0,78.0,78.0
20220928_0,164.0,78.0,93.40244265713434,87.16467035218172,80.92689804722909,77.80801189475277,98.0,98.0,98.0,92.0,-30.0,79.61453678879953,86.2689825189246,92.92342824904968,96.25065111411222,72.0,70.0,70.0
20220928_1,144.0,80.0,94.9919322307382,90.42495201298972,85.85797179524126,83.57448168636702,100.0,100.0,100.0,94.0,-86.0,81.80435659540137,87.11249769109367,92.42063878678594,95.07470933463208,78.0,76.0,76.0
20220928_2,158.0,80.0,93.56525037936268,88.88650937001601,84.20776836066938,81.86839785599605,98.0,98.0,98.0,92.0,-34.0,82.08725341426404,88.31846979445373,94.54968617464344,97.66529436473829,74.0,74.0,74.0
20220929_0,140.0,82.0,91.03991068936644,85.90060906276209,80.76130743615772,78.19165662285553,98.0,100.0,100.0,92.0,-8.0,78.74965113033771,82.93966734982592,87.12968356931415,89.22469167905825,74.0,74.0,74.0
20220929_1,200.0,80.0,92.7766323024055,87.75688667226547,82.73714104212543,80.22726822705542,98.0,100.0,100.0,92.0,-6.0,80.7248215701824,85.86012825399352,90.99543493780465,93.5630882797102,76.0,74.0,74.0
20220929_2,196.0,84.0,96.16537937301229,91.75445275894955,87.34352614488685,85.1380628378555,100.0,100.0,100.0,94.0,8.0,84.79509313948205,88.85042560012215,92.90575806076224,94.9334242910823,82.0,80.0,80.0
20220930_0,166.0,82.0,99.4400895856663,93.99223389156307,88.54437819745986,85.82045035040825,106.0,110.0,110.0,98.0,-82.0,83.34210526315789,89.87971905646593,96.41733284977396,99.68613974642798,80.0,76.0,76.0
20220930_1,294.0,82.0,96.27936821322804,89.6587881949456,83.03820817666315,79.72791816752192,100.0,102.0,102.0,96.0,-334.0,84.54639684106614,96.35623585583036,108.16607487059458,114.07099437797667,80.0,78.0,78.0
20220930_2,244.0,78.0,101.26138490330632,96.67629207199175,92.0911992406772,89.79865282501993,106.0,108.0,108.0,100.0,-40.0,88.82782283218964,92.93887707534068,97.04993131849174,99.10545844006728,86.0,84.0,84.0
20221010_1,266.0,84.0,99.6564039408867,89.01546954836964,78.37453515585258,73.05406795959405,110.0,114.0,114.0,112.0,38.0,84.65147783251231,91.31714853796429,97.98281924341624,101.3156545961422,78.0,76.0,76.0
20221010_2,126.0,90.0,96.605654048874,93.39893372044988,90.19221339202576,88.5888532278137,100.0,100.0,100.0,96.0,50.0,85.19597508385242,88.69031005479043,92.18464502572844,93.93181251119744,82.0,80.0,80.0
20221011_0,178.0,92.0,104.56592592592592,95.04538618295588,85.52484643998582,80.76457656850079,114.0,118.0,118.0,96.0,-202.0,80.70518518518519,94.30220069009398,107.89921619500278,114.69772394745718,76.0,70.0,70.0
20221011_1,124.0,84.0,93.11862160371106,89.57508828040962,86.03155495710817,84.25978829545745,98.0,100.0,100.0,94.0,-6.0,82.36978131212723,87.12227178846537,91.87476226480352,94.2510075029726,78.0,78.0,78.0
20221011_2,154.0,84.0,95.2986753311672,90.8295567665268,86.36043820188641,84.1258789195662,100.0,102.0,102.0,98.0,-10.0,83.73756560859785,88.24623625217525,92.75490689575264,95.00924221754136,78.0,78.0,78.0
20221012_0,146.0,92.0,102.382842135979,97.64026532914632,92.89768852231364,90.52640011889731,108.0,110.0,110.0,102.0,-214.0,88.86489641085498,97.6844940602098,106.50409170956463,110.91389053424206,84.0,84.0,84.0
20221012_1,220.0,92.0,100.74348534201954,97.0800653822751,93.41664542253064,91.5849354426584,104.0,106.0,106.0,98.0,-206.0,89.5871335504886,95.31130854438086,101.03548353827313,103.89757103521929,86.0,86.0,86.0
20221012_2,220.0,74.0,97.6294458229942,92.21802261329532,86.80659940359644,84.10088779874698,104.0,104.0,104.0,98.0,-36.0,86.62531017369727,92.3929614789658,98.1606127842343,101.04443843686856,82.0,80.0,80.0
20221013_0,418.0,84.0,99.45892951775303,92.16423291798228,84.86953631821153,81.22218801832615,104.0,104.0,104.0,100.0,-302.0,87.86380498145203,96.8343223441628,105.80483970687358,110.29009838822896,80.0,76.0,76.0
20221013_1,418.0,86.0,97.6733449477352,91.23725738331228,84.80116981888938,81.58312603667792,102.0,102.0,102.0,96.0,-302.0,85.8170731707317,94.09989704338966,102.3827209160476,106.52413285237658,80.0,80.0,80.0
20221013_2,176.0,84.0,95.59414792739096,91.80784993795152,88.02155194851211,86.1284029537924,98.0,100.0,100.0,96.0,34.0,84.46870766729883,88.01603139363063,91.5633551199624,93.33701698312832,80.0,80.0,80.0
20221014_0,180.0,82.0,92.47065217391304,86.32905864384672,80.18746511378042,77.11666834874727,98.0,100.0,100.0,90.0,46.0,77.99510869565218,83.08254510604823,88.1699815164443,90.71369972164231,72.0,70.0,70.0
20221014_1,180.0,86.0,94.3221590909091,90.37196218678017,86.42176528265124,84.44666683058676,98.0,98.0,98.0,92.0,24.0,82.1625,86.38785984433889,90.6132196886778,92.72589961084724,78.0,74.0,74.0
20221014_2,164.0,82.0,92.97824987354578,88.3161233630814,83.65399685261704,81.32293359738485,96.0,98.0,98.0,92.0,26.0,82.14516944865959,86.07423543287771,90.00330141709584,91.9678344092049,78.0,76.0,76.0
20221017_0,166.0,80.0,100.25824640541302,96.24911109924422,92.23997579307542,90.235408139991,104.0,104.0,104.0,100.0,36.0,89.5303073019453,94.97949037418957,100.4286734464338,103.15326498255592,82.0,80.0,80.0
20221017_1,206.0,84.0,96.38459865129433,92.5243318148115,88.6640649783287,86.73393156008729,100.0,102.0,102.0,102.0,4.0,85.60452469001523,89.28086170506518,92.95719872011512,94.7953672276401,82.0,80.0,80.0
20221017_2,210.0,88.0,97.0939818631492,92.01365505593265,86.93332824871605,84.39316484510776,98.0,100.0,100.0,94.0,4.0,85.01401483924155,88.80099870536155,92.58798257148156,94.48147450454154,84.0,82.0,82.0
20221018_0,486.0,82.0,97.9269406392694,81.27270627927777,64.61847191928614,56.29135473929032,100.0,102.0,102.0,92.0,-210.0,81.81050228310502,94.98656156912492,108.16262085514482,114.75065049815476,80.0,78.0,78.0
20221018_1,486.0,84.0,95.97210976158344,86.33215095660714,76.69219215163085,71.8722127491427,102.0,104.0,104.0,98.0,-148.0,83.26900584795321,93.37508292697238,103.48116000599154,108.53419854550114,78.0,76.0,76.0
20221018_2,122.0,82.0,89.65547877591312,87.19417086448517,84.73286295305721,83.50220899734323,92.0,94.0,94.0,104.0,-146.0,79.07996051332675,85.07407476216035,91.06818901099392,94.06524613541072,76.0,74.0,74.0
20221019_0,478.0,84.0,92.5491961414791,83.25077748153805,73.95235882159702,69.3031494916265,96.0,96.0,96.0,90.0,-222.0,80.29324758842444,90.14771380463092,100.0021800208374,104.92941312894064,76.0,74.0,74.0
20221019_1,478.0,88.0,100.51793674379113,93.50081733272816,86.48369792166515,82.97513821613367,106.0,106.0,106.0,106.0,-222.0,89.04181702398641,95.6585102225981,102.27520342120977,105.5835500205156,82.0,82.0,82.0
