date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20220908_1,275.0,120.0,176.74576271186442,149.3812837223414,122.0168047328184,108.33456523805688,210.0,225.0,225.0,120.0,-130.0,13.21186440677966,47.63997204921285,82.06807969164603,99.28213351286264,-25.0,-50.0,-50.0
20220908_2,1660.0,130.0,220.03846153846155,54.46572786396854,-111.10700581052448,-193.893372647771,255.0,275.0,275.0,105.0,-1540.0,-36.11538461538461,180.08212224698,396.27962910934457,504.3783825405269,-60.49999999999997,-293.24999999999994,-293.2499999999998
20220909_0,1870.0,165.0,224.040074557316,160.11008080253,96.18008704774408,64.21509017035112,264.00000000000034,276.9999999999999,276.9999999999999,45.0,-1990.0,-29.040074557315936,75.74342326042068,180.5269210781573,232.9186699870256,-80.0,-140.0,-140.0
20220909_1,1835.0,100.0,221.20280474649405,45.871172437828,-129.46045987083806,-217.12627602517108,271.9999999999999,300.0,300.0,55.0,-1985.0,-36.3915857605178,162.49843576762476,361.3884572957673,460.8334680598386,-75.0,-105.0,-105.0
20220909_2,235.0,130.0,173.0078125,148.8826480335866,124.75748356717318,112.69490133396648,210.0,220.0,220.0,70.0,-55.0,3.3203125,32.40258341874599,61.48485433749197,76.02598979686496,-40.0,-45.0,-45.0
20220913_1,1535.0,15.0,209.03422273781905,71.4770442484666,-66.08013424088583,-134.85872348556202,270.0,449.2499999999996,449.2499999999996,130.0,-700.0,-51.61252900232019,45.64250477840541,142.89753855913102,191.52505544949383,-100.0,-195.0,-195.0
20220913_2,370.0,145.0,217.7147239263804,158.45330907463014,99.1918942228799,69.56118679700478,305.0,335.0,335.0,70.0,-465.0,-82.82208588957056,39.23280316237124,161.28769221431304,222.31513674028392,-282.5,-405.0,-405.0
20220914_0,2650.0,85.0,226.4966216216216,98.16078139837452,-30.175058824872565,-94.34297893649608,310.0,365.2499999999998,365.2499999999998,80.0,-1650.0,-53.06418918918919,28.62098168857778,110.30615256634474,151.1487380052282,-125.0,-145.0,-145.0
20220914_1,880.0,85.0,210.6685552407932,136.19111985654473,61.71368447229628,24.474966780172053,270.0,305.0,305.0,80.0,-1650.0,-52.24929178470255,113.32805022114871,278.905392227,361.6940632299256,-105.0,-155.0,-155.0
20220914_2,645.0,145.0,225.24953789279112,166.2785577040941,107.30757751539709,77.82208742104856,295.0,325.0,325.0,20.0,-580.0,-89.24214417744916,32.344886678769285,153.93191753498775,214.7254329630969,-265.0,-410.0,-409.9999999999999
20220915_0,745.0,115.0,246.99606040709128,169.75987479325465,92.523689179418,53.90559637249967,315.0,349.4999999999993,349.4999999999993,65.0,-2690.0,-85.68942875902823,137.52773935122482,360.74490746147785,472.3534915166045,-125.0,-199.5,-199.4999999999997
20220915_1,2215.0,105.0,294.72075869336146,167.42495960617043,40.12916051897943,-23.51873902461608,365.0,427.9999999999996,427.9999999999996,40.0,-2725.0,-123.21390937829294,205.34089113012584,533.8956916385447,698.1730918927541,-215.0,-470.9999999999998,-470.9999999999986
20220915_2,2010.0,100.0,193.0785340314136,116.10758256972332,39.136631108033015,0.6511553771878482,250.0,291.4999999999998,291.4999999999998,90.0,-390.0,-26.26178010471204,20.08262103225434,66.42702216922072,89.59922273770391,-87.99999999999997,-105.0,-105.0
20220916_0,2365.0,135.0,272.2689573459716,71.87572013081788,-128.5175170843358,-228.71413569191265,330.0,410.0,410.0,115.0,-2975.0,-108.75,229.52690554927813,567.8038110985564,736.9422638731954,-258.49999999999994,-544.25,-544.2499999999998
20220916_1,380.0,120.0,236.16304347826087,188.4209355347342,140.67882759120755,116.8077736194442,295.0,325.0,325.0,55.0,-1845.0,-127.1304347826087,182.3980286257531,491.9264920341149,646.6907237382958,-330.5,-530.25,-530.2499999999999
