date,max(buy),min(buy),mean(buy),mean-std(buy),mean-2std(buy),mean-2.5std(buy),price_quantile_90(buy),price_quantile_95(buy),price_quantile_N(buy),max(sell),min(sell),mean(sell),mean+std(sell),mean+2std(sell),mean+2.5std(sell),price_quantile_90(sell),price_quantile_95(sell),price_quantile_N(sell)
20221115_0,333.0,52.0,171.70619946091645,106.74327914850385,41.78035883609124,9.298898679884928,250.0,321.0,321.0,6.0,-942.0,-158.81132075471697,44.54454355012629,247.9004078549696,349.5783400073912,-185.0,-928.5,-928.5
20221115_1,87.0,18.0,52.306338028169016,38.99936854901054,25.69239906985206,19.038914330272817,70.0,77.69999999999993,77.69999999999993,6.0,-920.0,-17.464788732394368,76.79908133994718,171.06295141228873,218.1948864484595,-23.7,-32.85,-32.84999999999999
20221115_2,54.0,12.0,28.966542750929367,22.033844194704205,15.101145638479045,11.634796360366463,35.0,37.0,37.0,10.0,-892.0,-11.45724907063197,66.25281189952999,143.96287286969195,182.8179033547729,-31.0,-40.0,-39.999999999999936
20221116_0,152.0,25.0,41.62676056338028,22.1342790608004,2.6417975582205244,-7.104443193069415,47.0,63.75,63.75,8.0,-475.0,-29.281690140845072,57.95931744811311,145.2003250370713,188.8208288315504,-86.0,-161.5,-161.49999999999997
20221116_1,84.0,6.0,33.87714285714286,20.1441468963278,6.411150935512744,-0.4553470448947863,43.0,62.05000000000035,62.05000000000035,10.0,-463.0,-38.10857142857143,65.30427789311614,168.71712721480372,220.42355187564752,-63.3,-211.1,-211.1
20221116_2,35.0,15.0,30.943548387096776,26.474499599862483,22.00545081262819,19.770926419011044,34.0,34.0,34.0,18.0,-440.0,-5.282258064516129,64.76366885337474,134.8095957712656,169.83255923021105,2.0,-31.85,-31.849999999999994
20221117_0,506.0,5.0,38.315834767642,-5.880667647167186,-50.07717006197637,-72.17542126938096,49.0,52.0,52.0,27.0,-456.0,-0.536144578313253,42.88218770066507,86.3005199796434,108.00968611913255,-15.0,-25.95,-25.949999999999942
20221117_1,53.0,11.0,28.655555555555555,20.90379342668372,13.152031297811869,9.276150233375944,37.0,40.0,40.0,26.0,-40.0,4.547222222222223,16.767408584183453,28.98759494614468,35.0976881271253,-8.0,-24.05,-24.04999999999997
20221117_2,42.0,16.0,34.415162454873645,30.5247914367964,26.634420418719152,24.68923490968053,39.0,40.0,40.0,15.0,-1.0,7.595667870036101,10.442427279551922,13.28918668906774,14.71256639382565,4.0,2.0,2.0
20221118_0,68.0,11.0,27.675895765472312,19.32915799464877,10.982420223825237,6.809051338413468,38.0,42.0,42.0,16.0,-493.0,-2.623778501628665,34.585126325360605,71.79403115234987,90.39848356584451,-20.0,-23.0,-23.0
20221118_1,45.0,2.0,21.932876712328767,13.46979534846748,5.006713984606193,0.775173302675551,32.0,34.0,34.0,15.0,-555.0,-17.72876712328767,36.252994465343406,90.23475605397448,117.22563684829,-40.0,-45.0,-45.0
20221118_2,78.0,14.0,34.2390350877193,22.71257768894325,11.186120290167205,5.42289159077918,48.0,62.0,62.0,20.0,-520.0,-1.280701754385965,43.289383077528285,87.85946790944254,110.14451032539966,-19.5,-27.0,-27.0
20221121_0,55.0,7.0,29.69882659713168,21.747487239706302,13.796147882280932,9.820478203568246,39.0,42.0,42.0,21.0,-403.0,-1.6166883963494132,33.09509217869429,67.80687275373798,85.16276304125982,-23.0,-31.0,-31.0
