pairs_id,indate_date,first_instrument,second_instrument,prime_instrument,boundary_unit_num,region_drift,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,up_boundary_5,up_boundary_4,up_boundary_3,up_boundary_2,up_boundary_1,down_boundary_1,down_boundary_2,down_boundary_3,down_boundary_4,down_boundary_5,today_fee,wait_window,favor_times,unfavor_times,abs_threshold,boundary_tick_lock,wait2_windows,after_tick,night_type,if_add,limitcoef,abs_threshold_after,kind,before_tick,before_cancel_flag,before_cancel_num,max_position,min_position,region_tick_lock,region_unit_num,If_SP,SP_InstrumentID,Min_Step
AG2408-2409,20230811_0,AG2408.XSGE,AG2409.XSGE,AG2408.XSGE,0,0,-16.0,-17.0,-17.0,-18,-18,-24,-29,-29,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AG,0,1,1,14,0,15,2,0,Null,1
AG2409-2410,20230811_0,AG2409.XSGE,AG2410.XSGE,AG2409.XSGE,0,0,-16.0,-17.0,-17.0,-18,-18,-24,-29,-29,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AG,0,1,1,14,0,15,2,0,Null,1
AG2410-2411,20230811_0,AG2410.XSGE,AG2411.XSGE,AG2410.XSGE,0,0,-16.0,-17.0,-17.0,-18,-18,-24,-29,-29,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AG,0,1,1,14,0,15,2,0,Null,1
AO2407-2408,20221017_0,AO2407.XSGE,AO2407.XSGE,AO2408.XSGE,0,0,-20.0,-23.0,-25.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,1,5,8,AO,0,1,1,50,0,11,4,0,Null,1
AO2408-2409,20221017_0,AO2408.XSGE,AO2409.XSGE,AO2409.XSGE,0,0,-12.0,-15.0,-20.0,-30,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,1,5,8,AO,0,1,1,50,0,11,6,0,Null,1
AO2409-2410,20221017_0,AO2409.XSGE,AO2410.XSGE,AO2409.XSGE,0,0,-15.0,-20.0,-25.0,-30,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,1,5,8,AO,0,1,1,50,0,11,6,0,Null,1
AU2408-2410,20230815_2,AU2408.XSGE,AU2410.XSGE,AU2408.XSGE,0,0,-2.2,-2.4,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AU,0,1,1,14,0,25,2,0,Null,1
AU2410-2412,20230815_2,AU2410.XSGE,AU2412.XSGE,AU2410.XSGE,0,0,-2.2,-2.5,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AU,0,1,1,14,0,25,2,0,Null,1
AU2412-2502,20230815_2,AU2412.XSGE,AU2502.XSGE,AU2412.XSGE,0,0,-2.6,-2.8,-3.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AU,0,1,1,21,0,25,2,0,Null,1
AU2502-2504,20230815_2,AU2502.XSGE,AU2504.XSGE,AU2502.XSGE,0,0,-2.7,-2.8,-3.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AU,0,1,1,21,0,25,2,0,Null,1
AU2504-2506,20230815_2,AU2504.XSGE,AU2506.XSGE,AU2504XSGE,0,0,-2.7,-2.8,-3.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AU,0,1,1,21,0,25,2,0,Null,1
CF2411-2409,20220926_0,CF2411.XZCE,CF2409.XZCE,CF2409.XZCE,0,0,100.0,-99999.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,0,8,8,CF,0,1,1,9,0,20,3,0,Null,1
CS2407-2409,20220908_0,CS2405.XDCE,CS2407.XDCE,CS2407.XDCE,0,0,-65.0,-70.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,8,32,CS,0,1,1,9,0,15,3,0,Null,1
LC2409-2411,20220906_1,LC2409.GFEX,LC2411.GFEX,LC2411.GFEX,0,0,-900.0,-1000.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,6,0,15,2,0,Null,1
LC2411-2412,20220906_1,LC2411.GFEX,LC2412.GFEX,LC2411.GFEX,0,0,-1300.0,-1550.0,-2000.0,-2300,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,15,1,1,5,12,LC,1,1,1,9,0,11,3,0,Null,1
M2407-2408,20230919_2,M2407.XDCE,M2408.XDCE,M2408.XDCE,0,0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,M,0,1,1,6,0,20,2,0,Null,1
MA2409-2410,20230811_0,MA2409.XZCE,MA2410.XZCE,MA2409.XZCE,0,0,-20.0,-25.0,-35.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,15,3,0,Null,1
MA2410-2411,20230811_0,MA2410.XZCE,MA2411.XZCE,MA2410.XZCE,0,0,-20.0,-25.0,-35.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,MA,0,1,1,12,0,15,3,0,Null,1
NI2407-2408,20230925_0,NI2407.XSGE,NI2408.XSGE,NI2407.XSGE,0,0,-400.0,-550.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,1,5,32,NI,0,1,1,28,0,22,4,0,Null,1
NI2408-2407,20230925_0,NI2408.XSGE,NI2407.XSGE,NI2407.XSGE,0,0,400.0,400.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,0,5,32,NI,0,1,1,28,0,50,3,0,Null,1
NI2408-2409,20230925_0,NI2408.XSGE,NI2409.XSGE,NI2408.XSGE,0,0,-750.0,-800.0,-900.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,1,5,32,NI,0,1,1,28,0,23,4,0,Null,1
NI2409-2408,20230925_0,NI2409.XSGE,NI2408.XSGE,NI2408.XSGE,0,0,450.0,-99999.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,3,0,5,32,NI,0,1,1,28,0,50,3,0,Null,1
P2409-2501,20230904_0,P2409.XDCE,P2501.XDCE,P2409.XDCE,0,0,-10.0,-40.0,-56.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,P,0,1,1,6,0,20,2,0,Null,1
PB2408-2409,20230925_0,PB2408.XSGE,PB2409.XSGE,PB2408.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,PB,0,1,1,8,0,20,2,0,Null,1
PB2409-2410,20230925_0,PB2409.XSGE,PB2410.XSGE,PB2409.XSGE,0,0,-10.0,-20.0,-30.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,5,32,PB,0,1,1,8,0,20,2,0,Null,1
PP2409-2501,20230811_0,PP2409.XDCE,PP2501.XDCE,PP2409.XDCE,0,0,-15.0,-20.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,20,1,1,5,32,PP,0,1,1,12,0,20,3,0,Null,1
RB2410-2411,20220907_1,RB2410.XSGE,RB2411.XSGE,RB2410.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,1,8,32,RB,0,1,1,9,0,20,1,0,Null,1
RU2409-2501,20220906_1,RU2409.XSGE,RU2501.XSGE,RU2409.XSGE,0,0,-1210.0,-99999.0,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,1,8,8,RU,0,1,1,9,0,10,2,0,Null,1
SC2407-2408,20240605_2,SC2407.XINE,SC2408.XINE,SC2407.XINE,0,0,-99999,-99999,-99999.0,-99999,-99999,-99999,-99999,-99999,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,SC,0,1,1,4,0,20,1,0,Null,1
