pairs_id,indate_date,first_instrument,second_instrument,prime_instrument,boundary_unit_num,region_drift,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,up_boundary_5,up_boundary_4,up_boundary_3,up_boundary_2,up_boundary_1,down_boundary_1,down_boundary_2,down_boundary_3,down_boundary_4,down_boundary_5,today_fee,wait_window,favor_times,unfavor_times,abs_threshold,boundary_tick_lock,wait2_windows,after_tick,night_type,if_add,limitcoef,abs_threshold_after,kind,before_tick,before_cancel_flag,before_cancel_num,max_position,min_position,region_tick_lock,region_unit_num
SP2304-2305,20220914_0,SP2304.XSGE,SP2305.XSGE,SP2305.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,133,0,33,20
SP2305-2306,20220914_0,SP2305.XSGE,SP2306.XSGE,SP2305.XSGE,0,0,10.0,-10.0,-20.0,-30.0,-40.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2306-2307,20220914_0,SP2306.XSGE,SP2307.XSGE,SP2306.XSGE,0,0,12.0,6.0,-10.0,-20.0,-30.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2307-2308,20220914_0,SP2307.XSGE,SP2308.XSGE,SP2307.XSGE,0,0,16.0,16.0,10.0,0.0,-10.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2308-2309,20220914_0,SP2308.XSGE,SP2309.XSGE,SP2309.XSGE,0,0,16.0,10.0,0.0,-10.0,-20.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2309-2310,20220914_0,SP2309.XSGE,SP2310.XSGE,SP2309.XSGE,0,0,16.0,10.0,0.0,-10.0,-20.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2310-2311,20220914_0,SP2310.XSGE,SP2311.XSGE,SP2310.XSGE,0,0,16.0,10.0,0.0,-10.0,-20.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2311-2312,20220914_0,SP2311.XSGE,SP2312.XSGE,SP2311.XSGE,0,0,16.0,10.0,0.0,-10.0,-20.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2312-2401,20220914_0,SP2312.XSGE,SP2401.XSGE,SP2312.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
SP2309-2401,20220914_0,SP2309.XSGE,SP2401.XSGE,SP2309.XSGE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,400,0,50,40
