pairs_id,indate_date,first_instrument,second_instrument,prime_instrument,boundary_unit_num,region_drift,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,up_boundary_5,up_boundary_4,up_boundary_3,up_boundary_2,up_boundary_1,down_boundary_1,down_boundary_2,down_boundary_3,down_boundary_4,down_boundary_5,today_fee,wait_window,favor_times,unfavor_times,abs_threshold,boundary_tick_lock,wait2_windows,after_tick,night_type,if_add,limitcoef,abs_threshold_after,kind,before_tick,before_cancel_flag,before_cancel_num,max_position,min_position,region_tick_lock,region_unit_num,if_SP,SP_InstruemntID
SP2306-2307,20220914_0,SP2306.XSGE,SP2307.XSGE,SP2307.XSGE,0,0,-110.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,-112.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,1,1,1,667,0,35,33,0,
SP2307-2308,20220914_0,SP2307.XSGE,SP2308.XSGE,SP2307.XSGE,0,0,40.0,30.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,667,0,50,57,0,
SP2308-2309,20220914_0,SP2308.XSGE,SP2309.XSGE,SP2309.XSGE,0,0,40.0,30.0,20.0,10.0,0.0,-10.0,-20.0,-30.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,1333,0,65,90,0,
SP2309-2310,20220914_0,SP2309.XSGE,SP2310.XSGE,SP2309.XSGE,0,0,32.0,32.0,32.0,32.0,20.0,20.0,10.0,10.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,667,0,35,20,0,
SP2310-2311,20220914_0,SP2310.XSGE,SP2311.XSGE,SP2310.XSGE,0,0,20.0,18.0,16.0,14.0,12.0,10.0,4.0,0.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,1,1,1,667,0,100,40,0,
SP2311-2312,20220914_0,SP2311.XSGE,SP2312.XSGE,SP2311.XSGE,0,0,20.0,10.0,10.0,10.0,10.0,8.0,6.0,4.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,1,1,1,667,0,100,40,0,
SP2312-2401,20220914_0,SP2312.XSGE,SP2401.XSGE,SP2401.XSGE,0,0,-20.0,-30.0,-40.0,-50.0,-80.0,-110.0,-140.0,-170.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,0,1,1,667,0,50,20,0,
SP2401-2402,20220914_0,SP2401.XSGE,SP2402.XSGE,SP2401.XSGE,0,0,14.0,14.0,12.0,12.0,10.0,6.0,0.0,-6.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,1,1,1,667,0,100,40,0,
SP2402-2403,20220914_0,SP2402.XSGE,SP2403.XSGE,SP2402.XSGE,0,0,14.0,14.0,12.0,12.0,10.0,6.0,0.0,-6.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,1,1,1,667,0,100,40,0,
SP2403-2404,20220914_0,SP2403.XSGE,SP2404.XSGE,SP2403.XSGE,0,0,14.0,14.0,12.0,12.0,10.0,6.0,0.0,-6.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,1,1,1,667,0,100,40,0,
SP2404-2405,20220914_0,SP2404.XSGE,SP2405.XSGE,SP2404.XSGE,0,0,12.0,10.0,8.0,8.0,4.0,0.0,-4.0,-10.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,20,1,1,8,16,SP,1,1,1,667,0,100,40,0,
CF2307-2309,20220926_0,CF2307.XZCE,CF2309.XZCE,CF2309.XZCE,0,0,-190.0,-190.0,-215.0,-280.0,-320.0,-360.0,-400.0,-440.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,CF,0,1,1,333,0,28,40,1,SPD CF307&CF309
CF2309-2311,20220926_0,CF2309.XZCE,CF2311.XZCE,CF2309.XZCE,0,0,-155.0,-160.0,-180.0,-190.0,-200.0,-200.0,-210.0,-220.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,CF,0,1,1,333,0,15,17,1,SPD CF309&CF311
CF2311-2401,20220926_0,CF2311.XZCE,CF2401.XZCE,CF2401.XZCE,0,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,CF,0,1,1,333,0,8,33,0,
CF2401-2403,20220926_0,CF2401.XZCE,CF2403.XZCE,CF2401.XZCE,0,0,-180.0,-200.0,-220.0,-240.0,-260.0,-280.0,-300.0,-320.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,10,1,1,8,8,CF,0,1,1,333,0,8,33,0,
CS2307-2309,20220908_0,CS2307.XDCE,CS2309.XDCE,CS2307.XDCE,0,0,-70.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,CS,0,1,1,333,0,35,33,0,
CS2309-2311,20220908_0,CS2309.XDCE,CS2311.XDCE,CS2309.XDCE,0,0,-10.0,-20.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,CS,0,1,1,333,0,40,40,0,
CS2311-2401,20220908_0,CS2311.XDCE,CS2401.XDCE,CS2311.XDCE,0,0,-30.0,-50.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,CS,0,1,1,333,0,20,33,0,
CS2401-2403,20220908_0,CS2401.XDCE,CS2403.XDCE,CS2401.XDCE,0,0,-10.0,-20.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999.0,99999.0,99999.0,99999.0,99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,2,3000000,3,1,50,99999,2000,40,1,1,8,32,CS,0,1,1,333,0,20,40,0,
