pairs_id,indate_date,first_instrument,second_instrument,prime_instrument,boundary_unit_num,region_drift,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,up_boundary_5,up_boundary_4,up_boundary_3,up_boundary_2,up_boundary_1,down_boundary_1,down_boundary_2,down_boundary_3,down_boundary_4,down_boundary_5,today_fee,wait_window,favor_times,unfavor_times,abs_threshold,boundary_tick_lock,wait2_windows,after_tick,night_type,if_add,limitcoef,abs_threshold_after,kind,before_tick,before_cancel_flag,before_cancel_num,max_position,min_position,region_tick_lock,region_unit_num,If_SP,SP_InstrumentID
A2405-2407,20221017_0,A2405.XDCE,A2407.XDCE,A2405.XDCE,0,0,20.0,20.0,20.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,1,0,5,32,A,0,1,1,12,0,0,3,0,Null
AG2404-2405,20221017_0,AG2404.XSGE,AG2405.XSGE,AG2405.XSGE,0,0,-15.0,-16.0,-17.0,-17.0,-18.0,-24.0,-29.0,-29.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,2,1,1,32,AG,0,1,1,14,0,15,2,0,Null
AG2405-2406,20221017_0,AG2405.XSGE,AG2406.XSGE,AG2406.XSGE,0,0,-15.0,-16.0,-17.0,-17.0,-18.0,-24.0,-29.0,-29.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,2,1,1,32,AG,0,1,1,14,0,15,2,0,Null
AG2406-2407,20230811_0,AG2406.XSGE,AG2407.XSGE,AG2406.XSGE,0,0,-15.0,-16.0,-17.0,-17.0,-18.0,-24.0,-29.0,-29.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AG,0,1,1,14,0,15,2,0,Null
AG2407-2408,20230811_0,AG2407.XSGE,AG2408.XSGE,AG2407.XSGE,0,0,-15.0,-16.0,-17.0,-17.0,-18.0,-24.0,-29.0,-29.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AG,0,1,1,14,0,15,2,0,Null
AG2408-2409,20230811_0,AG2408.XSGE,AG2409.XSGE,AG2408.XSGE,0,0,-15.0,-16.0,-17.0,-17.0,-18.0,-24.0,-29.0,-29.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AG,0,1,1,14,0,15,2,0,Null
AG2409-2410,20230811_0,AG2409.XSGE,AG2410.XSGE,AG2409.XSGE,0,0,-15.0,-16.0,-17.0,-17.0,-18.0,-24.0,-29.0,-29.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AG,0,1,1,14,0,15,2,0,Null
AL2403-2404,20220908_1,AL2403.XSGE,AL2404.XSGE,AL2403.XSGE,0,0,-50.0,-75.0,-100.0,-120.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,0,8,8,AL,0,1,1,19,0,25,1,0,Null
AO2404-2405,20221017_0,AO2404.XSGE,AO2405.XSGE,AO2404.XSGE,0,0,15.0,5.0,0.0,-10.0,-99999.0,-99999.0,-99999.0,-99999.0,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,10,1,1,5,8,AO,0,1,1,50,3,10,7,0,Null
AU2404-2406,20230815_2,AU2404.XSGE,AU2406.XSGE,AU2406.XSGE,0,0,-1.2,-1.28,-1.32,-1.36,-1.4,-1.5,-1.56,-1.6,99999,99999,99999,99999,99999,-99999,-99999,-99999,-99999,-99999,2,3000000,3,1,50,99999,2000,40,2,1,5,32,AU,0,1,1,14,0,30,4,0,Null
