seq,time,sell_pair,sell_pair_volume,buy_pair,buy_pair_volume
24221,21:00:00:500,[289],[1000],[429],[2000]
24222,21:00:01:000,[330],[1000],[400],[1000]
24223,21:00:01:500,[329],[1000],[420],[1000]
24224,21:00:02:000,[340],[8000],[420],[5000]
24225,21:00:02:500,[350],[1000],[420],[2000]
24226,21:00:03:000,[370],[4000],[429],[2000]
24227,21:00:03:500,[350],[1000],[389],[7000]
24228,21:00:04:000,[360],[2000],[429],[2000]
24229,21:00:04:500,[340],[2000],[419],[2000]
24230,21:00:05:000,[310],[1000],[379],[3000]
24231,21:00:05:500,[359],[1000],[409],[6000]
24232,21:00:06:000,[369],[1000],[429],[2000]
24233,21:00:06:500,[359],[1000],[429],[4000]
24234,21:00:07:000,[369],[1000],[410],[1000]
24235,21:00:07:500,[359],[2000],[409],[2000]
24236,21:00:08:000,[359],[2000],[400],[1000]
24237,21:00:08:500,[359],[1000],[390],[2000]
24238,21:00:09:000,[359],[2000],[400],[1000]
24239,21:00:09:500,[359],[2000],[400],[1000]
24240,21:00:10:000,[360],[1000],[390],[1000]
24241,21:00:10:500,[370],[2000],[400],[2000]
24242,21:00:11:000,[370],[3000],[409],[1000]
24243,21:00:11:500,[380],[1000],[409],[2000]
24244,21:00:12:000,[370],[2000],[420],[1000]
24245,21:00:12:500,[359],[1000],[400],[1000]
24246,21:00:13:000,[370],[2000],[410],[1000]
24247,21:00:13:500,[360],[2000],[410],[1000]
24248,21:00:14:000,[370],[1000],[420],[5000]
24249,21:00:14:500,[370],[2000],[430],[4000]
24250,21:00:15:000,[370],[2000],[420],[1000]
24251,21:00:15:500,[379],[1000],[430],[4000]
24252,21:00:16:000,[370],[2000],[409],[2000]
24253,21:00:16:500,[359],[1000],[409],[5000]
24254,21:00:17:000,[369],[3000],[420],[2000]
24255,21:00:17:500,[369],[5000],[409],[5000]
24256,21:00:18:000,[379],[4000],[429],[2000]
24257,21:00:18:500,[370],[1000],[420],[5000]
24258,21:00:19:000,[370],[1000],[430],[5000]
24259,21:00:19:500,[370],[2000],[409],[1000]
24260,21:00:20:000,[379],[1000],[409],[1000]
24261,21:00:20:500,[379],[2000],[420],[4000]
24262,21:00:21:000,[379],[2000],[400],[1000]
24263,21:00:21:500,[389],[1000],[420],[4000]
24264,21:00:22:000,[379],[3000],[420],[4000]
24265,21:00:22:500,[370],[1000],[409],[4000]
24266,21:00:23:000,[359],[1000],[420],[4000]
24267,21:00:23:500,[370],[1000],[409],[4000]
24268,21:00:24:000,[370],[2000],[409],[4000]
24269,21:00:24:500,[380],[1000],[400],[2000]
24270,21:00:25:000,[370],[5000],[409],[4000]
24271,21:00:25:500,[370],[2000],[400],[1000]
24272,21:00:26:000,[370],[1000],[390],[1000]
24273,21:00:26:500,[370],[1000],[400],[6000]
24274,21:00:27:000,[370],[3000],[409],[1000]
24275,21:00:27:500,[370],[2000],[400],[3000]
24276,21:00:28:000,[380],[1000],[409],[3000]
24277,21:00:28:500,[370],[3000],[409],[4000]
24278,21:00:29:000,[370],[3000],[409],[3000]
24279,21:00:29:500,[370],[1000],[400],[5000]
24280,21:00:30:000,[359],[5000],[400],[3000]
24281,21:00:30:500,[360],[2000],[400],[6000]
24282,21:00:31:000,[360],[4000],[400],[3000]
24283,21:00:31:500,[370],[3000],[400],[2000]
24284,21:00:32:000,[370],[4000],[409],[2000]
24285,21:00:32:500,[359],[2000],[410],[2000]
24286,21:00:33:000,[369],[5000],[420],[4000]
24287,21:00:33:500,[390],[5000],[430],[5000]
24288,21:00:34:000,[390],[3000],[420],[5000]
24289,21:00:34:500,[379],[2000],[420],[5000]
24290,21:00:35:000,[370],[2000],[420],[2000]
24291,21:00:35:500,[370],[2000],[420],[5000]
24292,21:00:36:000,[369],[1000],[409],[6000]
24293,21:00:36:500,[370],[2000],[420],[7000]
24294,21:00:37:000,[359],[2000],[400],[5000]
24295,21:00:37:500,[370],[4000],[400],[3000]
24296,21:00:38:000,[370],[3000],[409],[1000]
24297,21:00:38:500,[359],[4000],[409],[7000]
24298,21:00:39:000,[369],[2000],[400],[4000]
24299,21:00:39:500,[359],[3000],[400],[4000]
24300,21:00:40:000,[370],[2000],[410],[5000]
24301,21:00:40:500,[370],[4000],[400],[1000]
24302,21:00:41:000,[370],[5000],[409],[3000]
24303,21:00:42:000,[379],[2000],[409],[2000]
24304,21:00:42:500,[370],[5000],[409],[4000]
24305,21:00:43:000,[370],[3000],[400],[1000]
24306,21:00:43:500,[360],[2000],[400],[4000]
24307,21:00:44:000,[370],[2000],[390],[6000]
24308,21:00:44:500,[370],[3000],[400],[6000]
24309,21:00:45:000,[370],[5000],[400],[3000]
24310,21:00:45:500,[380],[1000],[420],[2000]
24311,21:00:46:000,[380],[1000],[420],[2000]
24312,21:00:46:500,[370],[1000],[419],[4000]
24313,21:00:47:000,[370],[4000],[409],[4000]
24314,21:00:47:500,[370],[5000],[400],[2000]
24315,21:00:48:000,[370],[2000],[400],[1000]
24316,21:00:48:500,[370],[1000],[390],[2000]
24317,21:00:49:000,[360],[2000],[390],[1000]
24318,21:00:49:500,[350],[2000],[400],[5000]
24319,21:00:50:000,[360],[2000],[389],[5000]
24320,21:00:50:500,[360],[2000],[400],[5000]
24321,21:00:51:000,[360],[4000],[400],[5000]
24322,21:00:51:500,[370],[4000],[400],[4000]
24323,21:00:52:000,[370],[3000],[389],[4000]
24324,21:00:52:500,[370],[2000],[400],[2000]
24325,21:00:53:000,[370],[2000],[400],[5000]
24326,21:00:53:500,[359],[3000],[400],[4000]
24327,21:00:54:000,[369],[2000],[390],[4000]
24328,21:00:54:500,[369],[1000],[400],[7000]
24329,21:00:55:000,[359],[2000],[389],[6000]
24330,21:00:55:500,[350],[1000],[389],[7000]
24331,21:00:56:000,[359],[1000],[379],[1000]
24332,21:00:56:500,[359],[2000],[379],[3000]
24333,21:00:57:000,[350],[3000],[379],[2000]
24334,21:00:57:500,[359],[1000],[389],[2000]
24335,21:00:58:000,[359],[3000],[389],[2000]
24336,21:00:58:500,[359],[5000],[400],[1000]
24337,21:00:59:000,[370],[2000],[400],[1000]
24338,21:00:59:500,[370],[3000],[409],[1000]
24339,21:01:00:000,[389],[1000],[420],[4000]
24340,21:01:00:500,[359],[4000],[400],[6000]
24341,21:01:01:000,[350],[4000],[390],[2000]
24342,21:01:01:500,[350],[3000],[400],[5000]
24343,21:01:02:000,[350],[1000],[379],[1000]
24344,21:01:02:500,[350],[5000],[400],[7000]
24345,21:01:03:000,[370],[1000],[410],[7000]
24346,21:01:03:500,[360],[2000],[410],[8000]
24347,21:01:04:000,[370],[2000],[400],[4000]
24348,21:01:04:500,[370],[2000],[409],[1000]
24349,21:01:05:000,[369],[1000],[400],[3000]
24350,21:01:05:500,[339],[2000],[400],[1000]
24351,21:01:06:000,[359],[2000],[419],[4000]
24352,21:01:06:500,[360],[1000],[400],[2000]
