SeqNo,Datetime,Motion,Ask1_p,Ask1_v,Bid1_p,Bid1_v
24222,21:00:01:000,1000,4,1000,3.3,1000
24223,21:00:01:500,0,4.2,1000,3.29,1000
24224,21:00:02:000,3000,4.2,5000,3.4,8000
24225,21:00:02:500,-4000,4.2,2000,3.5,1000
24226,21:00:03:000,3000,4.29,2000,3.7,4000
24227,21:00:03:500,-8000,3.89,7000,3.5,1000
24228,21:00:04:000,6000,4.29,2000,3.6,2000
24229,21:00:04:500,0,4.19,2000,3.4,2000
24230,21:00:05:000,-2000,3.79,3000,3.1,1000
24231,21:00:05:500,-3000,4.09,6000,3.59,1000
24232,21:00:06:000,4000,4.29,2000,3.69,1000
24233,21:00:06:500,-2000,4.29,4000,3.59,1000
24234,21:00:07:000,3000,4.1,1000,3.69,1000
24235,21:00:07:500,0,4.09,2000,3.59,2000
24236,21:00:08:000,1000,4,1000,3.59,2000
24237,21:00:08:500,-2000,3.9,2000,3.59,1000
24238,21:00:09:000,2000,4,1000,3.59,2000
24239,21:00:09:500,0,4,1000,3.59,2000
24240,21:00:10:000,-1000,3.9,1000,3.6,1000
24241,21:00:10:500,0,4,2000,3.7,2000
24242,21:00:11:000,2000,4.09,1000,3.7,3000
24243,21:00:11:500,-3000,4.09,2000,3.8,1000
24244,21:00:12:000,2000,4.2,1000,3.7,2000
24245,21:00:12:500,-1000,4,1000,3.59,1000
24246,21:00:13:000,1000,4.1,1000,3.7,2000
24247,21:00:13:500,0,4.1,1000,3.6,2000
24248,21:00:14:000,-5000,4.2,5000,3.7,1000
24249,21:00:14:500,2000,4.3,4000,3.7,2000
24250,21:00:15:000,3000,4.2,1000,3.7,2000
24251,21:00:15:500,-4000,4.3,4000,3.79,1000
24252,21:00:16:000,3000,4.09,2000,3.7,2000
24253,21:00:16:500,-4000,4.09,5000,3.59,1000
24254,21:00:17:000,5000,4.2,2000,3.69,3000
24255,21:00:17:500,-1000,4.09,5000,3.69,5000
24256,21:00:18:000,2000,4.29,2000,3.79,4000
24257,21:00:18:500,-6000,4.2,5000,3.7,1000
24258,21:00:19:000,0,4.3,5000,3.7,1000
24259,21:00:19:500,5000,4.09,1000,3.7,2000
24260,21:00:20:000,-1000,4.09,1000,3.79,1000
24261,21:00:20:500,-2000,4.2,4000,3.79,2000
24262,21:00:21:000,3000,4,1000,3.79,2000
24263,21:00:21:500,-4000,4.2,4000,3.89,1000
24264,21:00:22:000,2000,4.2,4000,3.79,3000
24265,21:00:22:500,-2000,4.09,4000,3.7,1000
24266,21:00:23:000,0,4.2,4000,3.59,1000
24267,21:00:23:500,0,4.09,4000,3.7,1000
24268,21:00:24:000,1000,4.09,4000,3.7,2000
24269,21:00:24:500,1000,4,2000,3.8,1000
24270,21:00:25:000,2000,4.09,4000,3.7,5000
24271,21:00:25:500,0,4,1000,3.7,2000
24272,21:00:26:000,-1000,3.9,1000,3.7,1000
