buyable,buy_vol,sellable,sell_vol,passive_vol,true_vol
126.0,2,124.0,45,3,9.60435073841345
127.0,3,124.0,53,19,24.553658575484036
127.0,3,124.0,52,20,25.253460814647063
127.0,4,124.0,52,18,23.703757455902526
127.0,4,124.0,52,20,25.403559695065553
128.0,8,124.0,57,15,22.504944020924377
127.0,4,124.0,64,8,17.005932825109248
127.0,5,124.0,64,14,22.255438423016813
127.0,6,123.0,2,25,22.448319032885713
127.0,12,124.0,3,5,6.500988804184876
127.0,16,123.0,8,13,14.651087684603363
128.0,16,123.0,8,23,23.15009888041849
128.0,26,123.0,9,20,22.251483206277314
128.0,31,123.0,8,19,22.00197760836975
127.0,5,124.0,8,14,13.849901119581512
126.0,4,123.0,1,13,11.7992089566521
126.0,10,122.0,3,14,13.849901119581512
126.0,15,123.0,2,19,18.699802239163024
127.0,15,123.0,2,34,31.44831903288571
126.0,2,123.0,12,27,25.048714554559663
126.0,3,122.0,85,28,37.00593282510925
126.0,23,123.0,4,33,32.099406717489074
126.0,23,123.0,4,34,32.949307837070585
126.0,30,123.0,26,39,41.55168096711429
127.0,19,123.0,31,40,41.50098880418488
125.0,19,122.0,31,52,51.69980223916303
125.0,4,122.0,49,56,55.54970335874454
125.0,4,122.0,39,57,54.898615674141176
124.0,5,122.0,7,14,13.699802239163024
124.0,5,122.0,12,24,22.949307837070585
124.0,6,122.0,12,23,22.249505597907564
124.0,8,122.0,12,24,23.399604478326047
124.0,8,122.0,7,41,37.097429109119325
124.0,8,122.0,7,49,43.89663806577143
124.0,9,121.0,14,51,46.79723134828235
124.0,9,121.0,14,50,45.947330228700835
124.0,9,121.0,14,54,49.34693470702689
124.0,10,122.0,4,43,38.64713246786386
123.0,15,121.0,9,13,14.651087684603363
123.0,13,121.0,9,22,22.0
123.0,8,121.0,9,18,17.849901119581514
123.0,6,121.0,9,18,17.549703358744537
123.0,4,121.0,9,17,16.39960447832605
123.0,3,121.0,9,21,19.64911007623361
124.0,5,121.0,9,53,47.146143663678984
124.0,4,121.0,2,46,39.9960447832605
124.0,13,121.0,31,44,44.0
124.0,10,120.0,49,81,77.69782463079326
123.0,7,121.0,2,24,21.748516793722686
124.0,42,120.0,2,63,60.14812127204874
124.0,22,121.0,2,67,60.54574814200504
124.0,22,121.0,2,68,61.39564926158655
124.0,24,121.0,13,46,44.64911007623361
124.0,24,121.0,21,17,21.202768651717648
123.0,24,120.0,21,19,22.902570890880675
123.0,25,120.0,39,12,19.80514178176135
123.0,25,120.0,39,14,21.504944020924377
123.0,10,119.0,45,92,86.44634142451596
123.0,10,120.0,12,95,84.04278172945041
123.0,12,119.0,44,95,89.14614366367898
123.0,10,120.0,12,92,81.49307837070587
123.0,12,119.0,44,92,86.59644030493445
122.0,9,119.0,45,73,70.14812127204874
122.0,9,120.0,26,73,67.29624254409748
122.0,3,120.0,26,73,66.39564926158656
122.0,6,120.0,36,101,92.14416605530924
122.0,6,120.0,36,116,104.89268284903193
123.0,36,120.0,2,75,69.44634142451596
123.0,27,120.0,11,22,24.4015820866958
123.0,35,120.0,10,74,69.64713246786386
122.0,30,120.0,2,20,21.80118656502185
122.0,4,119.0,46,40,41.50098880418488
122.0,4,119.0,46,66,63.5984179133042
122.0,9,119.0,48,65,63.799208956652095
122.0,10,119.0,48,65,63.949307837070585
122.0,6,119.0,14,66,59.095451500749576
122.0,6,120.0,14,50,45.49703358744537
122.0,6,119.0,44,49,49.15009888041849
121.0,1,119.0,44,50,49.24950559790756
121.0,1,119.0,44,51,50.099406717489074
123.0,16,120.0,31,24,27.452274249625212
122.0,2,120.0,24,23,23.450296641255463
122.0,3,120.0,14,27,25.499011195815125
123.0,46,120.0,4,25,28.75247201046219
123.0,45,120.0,4,25,28.6023731300437
123.0,45,120.0,2,25,28.302175369206722
123.0,18,119.0,46,33,37.65306529297311
122.0,2,119.0,41,33,34.50098880418488
123.0,18,120.0,46,21,27.45425185799496
122.0,2,120.0,41,21,24.302175369206722
122.0,2,120.0,36,18,21.00197760836975
123.0,38,119.0,43,41,47.0039552167395
122.0,26,119.0,53,20,28.855833944690765
122.0,8,120.0,26,50,47.598417913304196
122.0,7,120.0,31,50,48.19881343497815
122.0,32,120.0,2,28,28.900593282510926
122.0,17,120.0,3,43,39.54772575037479
122.0,7,120.0,3,41,36.34693470702689
122.0,5,120.0,3,41,36.04673694618991
122.0,9,120.0,3,40,35.79723134828235
122.0,9,120.0,3,41,36.64713246786386
122.0,6,119.0,52,42,44.4015820866958
122.0,10,119.0,59,39,43.50296641255462
122.0,8,119.0,59,37,41.50296641255463
122.0,9,119.0,59,37,41.65306529297311
122.0,9,119.0,57,38,42.20276865171765
122.0,9,119.0,56,38,42.052669771299165
122.0,9,119.0,57,37,41.35286753213614
122.0,9,119.0,56,37,41.20276865171765
122.0,31,119.0,12,24,26.85187872795126
122.0,41,119.0,11,24,28.202768651717648
122.0,37,119.0,10,30,32.55168096711429
123.0,42,119.0,10,26,29.902570890880675
122.0,13,120.0,8,17,17.60039552167395
122.0,15,119.0,50,17,24.204746260087397
122.0,23,119.0,50,14,22.855833944690765
122.0,12,119.0,11,49,45.097429109119325
122.0,12,119.0,29,47,46.099406717489074
122.0,13,119.0,36,47,47.30019776083697
121.0,13,119.0,29,26,28.4015820866958
122.0,32,119.0,46,29,36.35484514050589
122.0,33,119.0,51,25,33.85583394469076
123.0,33,119.0,49,60,63.30217536920673
123.0,32,120.0,1,60,55.94733022870084
122.0,13,120.0,14,49,45.69782463079328
122.0,13,119.0,14,62,56.74653918535294
122.0,36,120.0,6,20,23.302175369206726
121.0,36,119.0,6,16,19.902570890880675
122.0,38,119.0,7,33,34.80118656502185
122.0,40,120.0,7,18,22.352867532136138
123.0,40,121.0,2,18,21.602373130043702
122.0,13,120.0,15,19,20.35088992376639
123.0,16,120.0,9,31,30.099406717489074
124.0,32,122.0,3,20,22.251483206277314
124.0,31,122.0,4,16,18.851878727951263
123.0,31,121.0,4,14,17.15207648878824
123.0,13,121.0,4,13,13.60039552167395
123.0,8,121.0,4,13,12.849901119581514
122.0,1,120.0,42,18,21.75247201046219
123.0,1,121.0,42,29,31.101384325858824
124.0,24,121.0,31,23,27.8031641733916
123.0,10,121.0,41,21,25.502966412554624
123.0,10,121.0,41,20,24.653065292973114
124.0,11,121.0,26,25,26.80118656502185
124.0,26,121.0,12,33,33.75049440209244
124.0,31,122.0,7,22,24.4015820866958
124.0,31,122.0,11,16,19.902570890880675
124.0,32,122.0,11,16,20.052669771299165
125.0,32,122.0,1,38,37.249505597907564
124.0,10,121.0,15,38,36.04871455455966
124.0,9,121.0,8,52,46.74653918535294
124.0,40,122.0,3,31,32.80118656502185
124.0,39,122.0,3,33,34.35088992376639
124.0,22,122.0,5,13,15.101384325858826
124.0,2,122.0,5,21,18.898615674141173
124.0,7,122.0,9,28,26.19881343497815
125.0,47,122.0,2,39,40.50098880418487
125.0,41,122.0,2,40,40.45029664125546
124.0,20,122.0,2,18,18.60039552167395
124.0,20,122.0,2,33,31.34891231539664
125.0,35,122.0,37,24,31.204746260087397
124.0,2,122.0,30,23,24.35088992376639
124.0,2,122.0,30,30,30.300197760836976
125.0,45,122.0,37,31,38.65504290134286
126.0,45,124.0,8,17,22.40355969506555
124.0,3,122.0,10,17,16.39960447832605
125.0,13,122.0,13,15,16.651087684603365
125.0,39,122.0,13,12,18.0039552167395
126.0,43,122.0,13,39,41.55168096711429
126.0,43,123.0,13,33,36.45227424962521
125.0,10,123.0,6,34,31.298220152467223
125.0,2,123.0,6,26,23.298220152467223
125.0,9,123.0,7,29,27.048714554559663
125.0,10,123.0,7,29,27.19881343497815
124.0,2,122.0,12,9,9.750494402092437
124.0,1,122.0,14,14,14.150098880418486
125.0,10,123.0,7,22,21.24950559790756
125.0,3,122.0,14,37,33.99802239163025
125.0,5,122.0,14,37,34.29822015246722
125.0,4,122.0,14,39,35.84792351121176
125.0,4,122.0,14,40,36.69782463079328
125.0,5,122.0,14,41,37.69782463079328
125.0,8,123.0,7,31,28.5984179133042
125.0,8,123.0,6,30,27.5984179133042
125.0,7,123.0,7,31,28.44831903288571
126.0,7,123.0,2,33,29.3976268699563
125.0,19,123.0,28,22,25.75247201046219
125.0,23,123.0,32,23,27.8031641733916
125.0,22,123.0,32,25,29.352867532136138
126.0,22,123.0,20,40,40.30019776083698
126.0,22,123.0,25,39,40.2007910433479
126.0,22,124.0,13,22,23.951285445440337
126.0,28,124.0,9,21,23.401582086695797
126.0,28,123.0,9,44,42.949307837070585
126.0,8,124.0,9,22,21.24950559790756
126.0,8,123.0,9,47,42.49703358744537
126.0,8,123.0,9,48,43.34693470702688
126.0,5,124.0,36,24,26.551680967114287
126.0,31,124.0,18,31,33.70177984753278
126.0,31,124.0,18,32,34.55168096711429
126.0,32,124.0,23,38,40.55168096711429
126.0,32,124.0,23,40,42.251483206277314
126.0,20,123.0,8,25,25.450296641255463
126.0,24,123.0,10,24,25.50098880418487
125.0,9,122.0,27,27,28.35088992376639
125.0,9,122.0,42,24,28.05266977129916
124.0,2,122.0,33,25,26.500988804184875
124.0,2,122.0,33,23,24.80118656502185
125.0,30,121.0,29,50,51.35088992376639
124.0,20,122.0,8,19,20.35088992376639
124.0,2,122.0,4,24,21.298220152467223
125.0,51,121.0,7,38,41.00197760836975
124.0,39,122.0,3,18,21.602373130043702
124.0,29,122.0,3,24,25.2007910433479
124.0,29,122.0,8,23,25.101384325858824
124.0,29,122.0,8,25,26.80118656502185
123.0,14,121.0,14,23,23.75049440209244
123.0,8,121.0,14,28,27.099406717489074
123.0,8,121.0,13,30,28.64911007623361
123.0,8,121.0,8,31,28.748516793722686
123.0,13,120.0,42,29,32.902570890880675
124.0,13,121.0,42,88,83.04673694618991
123.0,6,121.0,27,94,84.84396829447226
123.0,6,121.0,27,93,83.99406717489074
124.0,33,121.0,27,101,94.84594590284202
123.0,33,120.0,27,26,31.103361934228577
123.0,27,121.0,2,30,29.849901119581514
123.0,13,121.0,5,26,24.7992089566521
123.0,13,121.0,5,27,25.649110076233615
123.0,16,121.0,22,36,36.30019776083698
124.0,41,121.0,2,39,39.600395521673946
124.0,8,121.0,44,20,24.8031641733916
123.0,2,121.0,27,22,23.050692162929412
123.0,14,121.0,27,23,25.701779847532777
123.0,13,121.0,27,28,29.80118656502185
124.0,10,122.0,24,34,34.0
123.0,2,121.0,27,35,34.099406717489074
123.0,2,121.0,36,30,31.200791043347902
123.0,2,121.0,31,19,21.101384325858824
124.0,15,121.0,26,34,35.05069216292941
124.0,15,121.0,26,35,35.900593282510926
124.0,15,121.0,28,34,35.35088992376639
124.0,15,121.0,27,33,34.35088992376639
124.0,15,122.0,22,23,25.101384325858824
124.0,20,122.0,25,14,18.65306529297311
124.0,13,122.0,20,19,21.101384325858824
125.0,15,122.0,3,49,44.34693470702689
123.0,1,121.0,2,20,17.448319032885713
123.0,1,121.0,2,21,18.298220152467223
124.0,7,122.0,5,23,21.34891231539664
124.0,7,122.0,5,19,17.949307837070588
125.0,37,121.0,7,26,28.701779847532777
123.0,2,121.0,7,23,20.898615674141176
123.0,2,121.0,7,27,24.298220152467227
124.0,27,122.0,2,29,29.0
125.0,22,122.0,34,24,28.8031641733916
125.0,28,122.0,10,45,43.949307837070585
125.0,31,123.0,3,42,40.799208956652095
125.0,22,123.0,4,43,40.44831903288571
125.0,26,123.0,7,51,48.29822015246723
125.0,26,123.0,4,52,48.69782463079328
125.0,26,123.0,4,54,50.397626869956305
126.0,31,122.0,48,47,51.8031641733916
125.0,2,122.0,31,58,54.247527989537815
125.0,2,122.0,31,59,55.097429109119325
126.0,41,122.0,38,60,62.85187872795127
126.0,45,123.0,2,59,57.19881343497815
